IDA	IDB	neighborhood	fusion	cooccurence	coexpression	textmining	score	Label
YLR295C	YOR341W	0	0	0	0	0	0.113591	negative
YGR134W	YKL029C	0	0	0	0	0	-0.006173	negative
YFR031C-A	YIL094C	0	0	0	0	0	-0.013588	negative
YDL201W	YJL066C	0	0	0	0	0	0.160896	negative
YKL080W	YOR151C	0	0	0	0	0	0.005737	negative
YCL037C	YPL254W	0	0	0	0	0	0.042797	negative
YDL185W	YIL094C	0	0	0	0	173	-0.012789	negative
YHR098C	YPL023C	0	0	0	0	0	0.143596	negative
YBR031W	YDL056W	0	0	0	0	0	-0.003530	negative
YIL075C	YPL237W	0	0	0	0	0	0.093118	negative
YDR165W	YMR287C	0	0	0	0	0	0.139339	negative
YGL125W	YOR224C	0	0	0	0	0	0.166896	negative
YKL135C	YNL002C	0	0	0	0	0	0.043351	negative
YAL026C	YOR293W	0	0	0	0	0	-0.004689	negative
YBR234C	YLR039C	0	0	0	0	0	0.002193	negative
YAL043C	YDL075W	0	0	0	0	0	0.015574	negative
YKL080W	YPR184W	0	0	0	0	0	0.115146	negative
YDR165W	YPR181C	0	0	0	0	0	0.091397	negative
YDR092W	YGL125W	0	0	0	0	0	0.037185	negative
YNL037C	YOR281C	0	0	0	0	0	0.004074	negative
YER025W	YOL096C	0	0	0	0	0	0.030195	negative
YEL051W	YKL080W	0	0	0	791	971	-0.006511	positive
YBR279W	YGR240C	0	0	0	0	0	0.229114	negative
YCL014W	YNL113W	0	0	0	0	0	0.196653	negative
YFR051C	YML069W	0	0	0	0	0	0.313349	negative
YIR003W	YKL028W	0	0	0	0	0	0.000884	negative
YGL106W	YKL013C	0	0	0	0	0	0.014244	negative
YDR388W	YOR317W	0	0	0	0	0	0.463295	negative
YIL115C	YMR275C	0	0	0	0	0	0.028084	negative
YDL056W	YMR083W	0	0	0	0	0	0.012405	negative
YDR430C	YOR164C	0	0	0	0	0	0.188673	negative
YIL075C	YNL138W	0	0	0	0	0	0.464135	negative
YDL030W	YPR182W	0	0	0	75	231	0.134403	positive
YDL051W	YKL013C	0	0	0	0	0	0.223734	negative
YER025W	YPL237W	0	0	0	400	967	0.587587	positive
YFR033C	YJR014W	0	0	0	0	0	-0.002756	negative
YCR030C	YJL190C	0	0	0	0	0	-0.007338	negative
YCR084C	YDR044W	0	0	0	0	523	0.866266	negative
YER094C	YPR103W	0	0	0	903	289	0.677922	positive
YJL001W	YPR103W	0	0	103	920	147	0.815008	positive
YER133W	YLR028C	0	0	0	0	93	0.093180	positive
YHR051W	YLR060W	0	0	0	0	0	0.001976	negative
YAL034C	YJL190C	0	0	0	0	0	0.115660	negative
YBR109C	YDR233C	0	0	0	0	0	-0.012930	negative
YKL009W	YNL037C	0	0	0	0	168	0.001534	negative
YBR009C	YLR207W	0	0	0	0	0	0.004371	negative
YGR253C	YOR362C	0	0	0	963	148	0.710845	positive
YNL071W	YNL139C	0	0	0	0	0	0.283870	negative
YML092C	YOL038W	0	0	36	941	138	0.684372	positive
YFL018C	YKL009W	0	0	0	0	0	-0.004338	negative
YER090W	YOR123C	0	0	0	0	0	0.025537	negative
YDR457W	YMR309C	0	0	0	155	0	0.084570	negative
YER178W	YHR170W	0	0	0	0	0	0.021525	negative
YER178W	YOR069W	0	0	0	0	0	0.021546	negative
YHL030W	YML077W	0	0	0	0	0	0.322280	negative
YGR135W	YML092C	0	0	43	985	124	0.560827	positive
YOR362C	YPR103W	0	0	0	863	781	0.748933	positive
YDR363W-A	YOL076W	0	0	0	0	0	-0.005963	negative
YGR083C	YPL031C	0	0	0	0	0	0.412314	negative
YBR039W	YJR121W	654	0	497	994	950	0.052588	positive
YIL070C	YLR200W	0	0	0	0	0	-0.002237	negative
YGR275W	YMR242C	0	0	0	0	0	-0.009429	negative
YKL054C	YML028W	0	0	0	0	0	0.094003	negative
YGL106W	YOL076W	0	0	0	0	0	0.030420	negative
YDR361C	YGL125W	0	0	0	0	0	0.018508	negative
YCR084C	YGR086C	0	0	0	0	0	-0.005831	negative
YIL034C	YJL033W	0	0	0	0	0	0.002248	negative
YJL148W	YNL244C	0	0	0	152	0	0.032852	negative
YFR033C	YPR191W	0	0	0	685	876	-0.006071	positive
YER022W	YJR009C	0	0	0	0	0	-0.000214	negative
YDL097C	YGL245W	0	0	0	0	0	0.293061	negative
YAL012W	YGR167W	0	0	0	0	0	0.021569	negative
YIL070C	YOR133W	0	0	0	0	0	-0.000972	negative
YER091C	YGL195W	0	0	0	0	0	-0.009210	negative
YDL165W	YGR134W	0	0	0	0	831	0.009322	positive
YDR341C	YHR128W	0	0	0	652	0	0.087816	positive
YEL003W	YNL246W	0	0	0	0	0	-0.006795	negative
YIL075C	YMR242C	0	0	0	0	0	0.213625	negative
YDL185W	YDR019C	0	0	0	0	0	0.134726	negative
YDR148C	YOR234C	0	0	0	0	0	-0.004032	negative
YER007C-A	YLR207W	0	0	0	0	0	0.226234	negative
YOL145C	YPR055W	0	0	0	0	0	0.562103	negative
YIL026C	YJL029C	0	0	0	0	0	0.239516	negative
YGR078C	YJL041W	0	0	0	0	0	0.057364	negative
YDR027C	YDR381W	0	0	0	0	0	0.033015	negative
YDL055C	YDR041W	0	0	0	0	0	0.069944	negative
YKL007W	YKL182W	0	0	0	0	0	0.537415	negative
YFR030W	YNL172W	0	0	0	0	0	0.090092	negative
YGR063C	YHR019C	0	0	0	0	0	0.004627	negative
YDR283C	YKL028W	0	0	0	0	0	0.408000	negative
YMR224C	YOL124C	0	0	0	0	0	-0.001227	negative
YHR098C	YHR128W	0	0	0	0	0	0.428954	negative
YGR013W	YPR182W	0	0	0	0	572	-0.015224	positive
YML028W	YPR074C	0	0	0	0	177	0.046584	positive
YCR009C	YDR388W	0	0	0	0	325	0.270475	positive
YHR039C-A	YPR036W	0	0	0	91	681	0.079538	positive
YCR031C	YNL037C	0	0	0	0	0	-0.004206	negative
YBR011C	YMR189W	0	0	0	0	0	0.240228	negative
YGL195W	YHR027C	0	0	0	0	0	0.550659	negative
YLR430W	YMR125W	0	0	0	0	187	0.447163	positive
YHR039C-A	YJR089W	0	0	0	0	0	0.137679	negative
YDL195W	YPL011C	0	0	0	0	0	0.054433	negative
YDR027C	YGL147C	0	0	0	0	0	-0.012686	negative
YDR390C	YLR295C	0	0	0	0	0	0.133108	negative
YGL200C	YPL023C	0	0	0	0	0	0.080538	negative
YGR238C	YPL031C	0	0	0	0	0	0.240352	negative
YGR264C	YIL075C	0	0	0	0	0	0.356358	negative
YGR232W	YKL211C	0	0	0	0	0	0.034359	negative
YGR253C	YPR036W	0	0	0	0	0	0.019173	negative
YGR180C	YJL026W	0	0	19	988	35	0.611742	positive
YBR169C	YHR200W	0	0	0	79	0	0.021136	negative
YBR189W	YPL085W	0	0	0	0	0	-0.001862	negative
YNL230C	YOL096C	0	0	0	0	0	0.000142	negative
YGR275W	YHR174W	0	0	0	0	0	-0.014557	negative
YGL195W	YJL014W	0	0	0	0	0	0.398010	negative
YIL070C	YMR315W	0	0	0	0	0	-0.003177	negative
YFL039C	YHR099W	0	0	0	0	113	0.576351	positive
YDL056W	YLR295C	0	0	0	0	0	0.164440	negative
YDL185W	YMR275C	0	0	0	0	0	-0.006611	negative
YBR221C	YER103W	0	0	0	0	289	0.158264	negative
YBL050W	YJR045C	0	0	0	0	0	0.115411	negative
YER133W	YLR115W	0	0	0	0	525	0.226674	positive
YBL050W	YIL070C	0	0	0	0	0	-0.003467	negative
YER090W	YKL211C	655	874	523	674	945	0.228586	positive
YIL070C	YJR132W	0	0	0	0	0	-0.003235	negative
YJL034W	YKL085W	0	38	0	0	287	-0.015564	negative
YIL125W	YLR180W	0	0	0	0	0	0.090744	negative
YER094C	YFR050C	0	0	0	995	723	0.703566	positive
YHR075C	YPL231W	0	0	0	0	0	0.085216	negative
YNL301C	YOR261C	0	0	0	0	0	-0.003478	negative
YJL101C	YOR272W	0	0	0	0	0	0.302581	negative
YBL003C	YBR009C	0	56	0	972	963	-0.023216	positive
YBR169C	YLR335W	0	0	0	112	120	-0.006676	negative
YBR221C	YGR253C	0	0	0	0	0	0.141123	negative
YDL181W	YDR418W	0	0	0	0	0	-0.000536	negative
YJL190C	YLL004W	0	0	0	0	0	-0.010518	negative
YDR127W	YDR439W	0	0	0	0	0	0.112587	negative
YHR039C-A	YOR110W	0	0	0	0	0	0.032734	negative
YDL075W	YIL115C	0	0	0	0	0	0.013620	negative
YEL003W	YMR005W	0	0	0	0	0	0.011816	negative
YAL035W	YDR429C	0	0	0	118	756	0.129812	positive
YGL200C	YGR078C	0	0	0	0	0	0.038673	negative
YJL179W	YKL054C	0	0	0	0	0	0.095633	negative
YFR010W	YJR132W	0	0	0	0	0	0.043004	negative
YJR007W	YOR361C	0	0	0	505	728	0.044151	positive
YDL181W	YJL115W	0	0	0	0	0	-0.004749	negative
YLR208W	YPL220W	0	0	0	0	0	-0.007128	negative
YBL099W	YGR034W	0	0	0	401	143	-0.004446	negative
YDR502C	YJL148W	0	0	0	0	0	0.003229	negative
YDL201W	YPR191W	0	0	0	0	0	0.320176	negative
YGL106W	YOR181W	0	0	0	0	0	0.023446	negative
YKL172W	YPR043W	0	0	0	151	0	0.340525	negative
YDL171C	YDR092W	0	0	0	0	0	0.003856	negative
YAR003W	YHR098C	0	0	0	0	0	0.431012	negative
YDL029W	YJR065C	0	0	0	256	149	0.760774	positive
YDR129C	YPL011C	0	0	0	0	0	0.038971	negative
YBR279W	YFL022C	0	0	0	0	0	0.028072	negative
YKL067W	YLL018C	0	0	0	0	412	-0.015149	positive
YER093C	YMR143W	0	0	0	0	0	-0.009790	negative
YDR165W	YMR158W	0	0	0	0	0	0.040339	negative
YBR112C	YER091C	0	0	0	0	0	0.004235	negative
YKL007W	YOL038W	0	0	0	0	0	0.583235	negative
YMR125W	YNL251C	0	0	0	0	0	0.677359	positive
YIL115C	YKL067W	0	0	0	0	0	-0.006142	negative
YER022W	YNL025C	0	0	0	0	738	0.071793	positive
YDL195W	YDR148C	0	0	0	0	0	0.104551	negative
YDL143W	YLR028C	75	0	0	140	199	0.093964	negative
YLR321C	YNL064C	0	0	0	0	0	0.038851	negative
YGR178C	YMR197C	0	0	0	0	0	0.059291	negative
YBR215W	YMR309C	0	0	0	0	0	-0.006215	negative
YGL187C	YOR293W	0	0	0	0	0	-0.001578	negative
YDL029W	YDR221W	0	0	0	0	0	0.405745	negative
