@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,0,0,0,0,0.018508,negative
0,0,0,0,0,-0.005831,negative
0,0,0,0,0,0.002248,negative
0,0,0,152,0,0.032852,negative
0,0,0,685,876,-0.006071,positive
0,0,0,0,0,-0.000214,negative
0,0,0,0,0,0.293061,negative
0,0,0,0,0,0.021569,negative
0,0,0,0,0,-0.000972,negative
0,0,0,0,0,-0.009210,negative
0,0,0,0,831,0.009322,positive
0,0,0,652,0,0.087816,positive
0,0,0,0,0,-0.006795,negative
0,0,0,0,0,0.213625,negative
0,0,0,0,0,0.134726,negative
0,0,0,0,0,-0.004032,negative
0,0,0,0,0,0.226234,negative
0,0,0,0,0,0.562103,negative
0,0,0,0,0,0.239516,negative
0,0,0,0,0,0.057364,negative
0,0,0,0,0,0.033015,negative
0,0,0,0,0,0.069944,negative
0,0,0,0,0,0.537415,negative
0,0,0,0,0,0.090092,negative
0,0,0,0,0,0.004627,negative
0,0,0,0,0,0.408000,negative
0,0,0,0,0,-0.001227,negative
0,0,0,0,0,0.428954,negative
0,0,0,0,572,-0.015224,positive
0,0,0,0,177,0.046584,positive
0,0,0,0,325,0.270475,positive
0,0,0,91,681,0.079538,positive
0,0,0,0,0,-0.004206,negative
0,0,0,0,0,0.240228,negative
0,0,0,0,0,0.550659,negative
0,0,0,0,187,0.447163,positive
0,0,0,0,0,0.137679,negative
0,0,0,0,0,0.054433,negative
0,0,0,0,0,-0.012686,negative
0,0,0,0,0,0.133108,negative
0,0,0,0,0,0.080538,negative
0,0,0,0,0,0.240352,negative
0,0,0,0,0,0.356358,negative
0,0,0,0,0,0.034359,negative
0,0,0,0,0,0.019173,negative
0,0,19,988,35,0.611742,positive
0,0,0,79,0,0.021136,negative
0,0,0,0,0,-0.001862,negative
0,0,0,0,0,0.000142,negative
0,0,0,0,0,-0.014557,negative
0,0,0,0,0,0.398010,negative
0,0,0,0,0,-0.003177,negative
0,0,0,0,113,0.576351,positive
0,0,0,0,0,0.164440,negative
0,0,0,0,0,-0.006611,negative
0,0,0,0,289,0.158264,negative
0,0,0,0,0,0.115411,negative
0,0,0,0,525,0.226674,positive
0,0,0,0,0,-0.003467,negative
655,874,523,674,945,0.228586,positive
0,0,0,0,0,-0.003235,negative
0,38,0,0,287,-0.015564,negative
0,0,0,0,0,0.090744,negative
0,0,0,995,723,0.703566,positive
0,0,0,0,0,0.085216,negative
0,0,0,0,0,-0.003478,negative
0,0,0,0,0,0.302581,negative
