russel_U1 snRNP	LUC7
YBL007C	russel_Cytoskeleton-regulatory Lsb3/Las17 complex
YJL041W	russel_Nup82/Nsp1/Nup159 nuclear pore subcomplex
YIL115C	russel_Nup82/Nsp1/Nup159 nuclear pore subcomplex
YJL061W	russel_Nup82/Nsp1/Nup159 nuclear pore subcomplex
YOR326W	russel_Actin-associated motorproteins 1 complex
YOR035C	russel_Actin-associated motorproteins 1 complex
YAL035W	russel_Translation initiation factor eIF3 complex
YLR192C	russel_Translation initiation factor eIF3 complex
YMR309C	russel_Translation initiation factor eIF3 complex
YOR361C	russel_Translation initiation factor eIF3 complex
YDR091C	russel_Translation initiation factor eIF3 complex
YBR079C	russel_Translation initiation factor eIF3 complex
YMR146C	russel_Translation initiation factor eIF3 complex
YDR429C	russel_Translation initiation factor eIF3 complex
YPR041W	russel_Translation initiation factor eIF3 complex
YGL206C	russel_Clathrin
YGR167W	russel_Clathrin
YKR048C	russel_Complex 47
YNL078W	russel_Complex 47
YOL070C	russel_Complex 47
YOL144W	russel_Complex 48
YKL014C	russel_Complex 48
YJR041C	russel_Complex 48
YGL106W	russel_Actin-associated motorproteins 2 complex
YAL029C	russel_Actin-associated motorproteins 2 complex
YKL130C	russel_Actin-associated motorproteins 2 complex
YBR130C	russel_Actin-associated motorproteins 2 complex
YGL099W	russel_Complex 50
YHR170W	russel_Complex 50
YBR267W	russel_Complex 50
YPR184W	russel_Complex 51
YJR077C	russel_Complex 51
YML105C	russel_Signal recognition complex
YDL092W	russel_Signal recognition complex
YPR088C	russel_Signal recognition complex
YPL243W	russel_Signal recognition complex
YPL210C	russel_Signal recognition complex
YML130C	russel_Erv41/Erv46 complex
YML067C	russel_Erv41/Erv46 complex
YAL042W	russel_Erv41/Erv46 complex
YFR001W	russel_Complex 55
YOL077C	russel_Complex 56
YMR049C	russel_Complex 56
YDR060W	russel_Complex 56
YOR206W	russel_Complex 56
YPL043W	russel_Complex 56
YDR496C	russel_Complex 56
YFL024C	russel_NuA4 Histone Acetyltransferase Complex
YOR244W	russel_NuA4 Histone Acetyltransferase Complex
YPL204W	russel_Complex 58
YKL143W	russel_Complex 58
YOR056C	russel_Complex 58
YNL207W	russel_Complex 58
YDL060W	russel_Complex 58
YPR036W	russel_V1 vacuolar ATPase complex
YOR332W	russel_V1 vacuolar ATPase complex
YKL080W	russel_V1 vacuolar ATPase complex
YGR020C	russel_V1 vacuolar ATPase complex
YEL051W	russel_V1 vacuolar ATPase complex
YLR189C	russel_Mitochondrial ribosomal large subunit
YCL014W	russel_Mitochondrial ribosomal large subunit
YNL284C	russel_Mitochondrial ribosomal large subunit
YBL038W	russel_Mitochondrial ribosomal large subunit
YOR150W	russel_Mitochondrial ribosomal large subunit
YLR439W	russel_Mitochondrial ribosomal large subunit
YPR100W	russel_Mitochondrial ribosomal large subunit
YJR109C	russel_Arginine-specific carbamoyl-phosphate synthase complex
YHR052W	russel_Complex 62
YKL172W	russel_Complex 62
YHR085W	russel_Complex 62
YLR406C	russel_Complex 62
YDR473C	russel_U4/U6.U5 tri-snRNP
YGR091W	russel_U4/U6.U5 tri-snRNP
YPR178W	russel_U4/U6.U5 tri-snRNP
YBR055C	russel_U4/U6.U5 tri-snRNP
YOR308C	russel_U4/U6.U5 tri-snRNP
YBR152W	russel_U4/U6.U5 tri-snRNP
YJL050W	russel_Complex 64
YPL190C	russel_Complex 64
YNL251C	russel_Complex 64
YLR430W	russel_Complex 64
YMR125W	russel_Complex 64
YBR114W	russel_DNA repair complex
YKL029C	russel_Complex 66
YHL011C	russel_Complex 66
YDR457W	russel_Complex 66
YOL139C	russel_Pab1/eIF4G/eIF4E complex
YHL034C	russel_Pab1/eIF4G/eIF4E complex
YGR162W	russel_Pab1/eIF4G/eIF4E complex
YGL049C	russel_Pab1/eIF4G/eIF4E complex
YFR013W	russel_ISW1/IOC3 complex
YBR245C	russel_ISW1/IOC3 complex
YOR250C	russel_Pre-mRNA cleavage and polyadenylation factor IA
YDR228C	russel_Pre-mRNA cleavage and polyadenylation factor IA
YMR061W	russel_Pre-mRNA cleavage and polyadenylation factor IA
YGL044C	russel_Pre-mRNA cleavage and polyadenylation factor IA
YPL126W	russel_Small subunit  processome
YJL109C	russel_Small subunit  processome
YMR093W	russel_Small subunit  processome
YDR324C	russel_Small subunit  processome
YGR128C	russel_Small subunit  processome
YHR196W	russel_Small subunit  processome
YHR114W	russel_Complex 72
YJL201W	russel_Complex 72
YDL115C	russel_RNA polymerase II complex
YOL005C	russel_RNA polymerase II complex
YOR151C	russel_RNA polymerase II complex
YIL021W	russel_RNA polymerase II complex
YJL140W	russel_RNA polymerase II complex
YDR404C	russel_RNA polymerase II complex
YGL070C	russel_RNA polymerase II complex
YGR186W	russel_RNA polymerase II complex
YGR005C	russel_RNA polymerase II complex
YGL130W	russel_mRNA guanylyl transferase complex
YPL228W	russel_mRNA guanylyl transferase complex
YHL030W	russel_19/22S regulator
YHR027C	russel_19/22S regulator
YHR200W	russel_19/22S regulator
YFR004W	russel_19/22S regulator
YFR052W	russel_19/22S regulator
YLR421C	russel_19/22S regulator
YDL147W	russel_19/22S regulator
YDL097C	russel_19/22S regulator
YPR108W	russel_19/22S regulator
YOR261C	russel_19/22S regulator
YDR427W	russel_19/22S regulator
YKL145W	russel_19/22S regulator
YLR153C	russel_Complex 76
YDR301W	russel_Polyadenylation Factor I
YLR115W	russel_Polyadenylation Factor I
YJR093C	russel_Polyadenylation Factor I
YKL059C	russel_Polyadenylation Factor I
YKR002W	russel_Polyadenylation Factor I
YNL317W	russel_Polyadenylation Factor I
YAL043C	russel_Polyadenylation Factor I
YLR277C	russel_Polyadenylation Factor I
YPR107C	russel_Polyadenylation Factor I
YML016C	russel_Ppz1 protein phosphate complex
YKL088W	russel_Ppz1 protein phosphate complex
YLR028C	russel_Protein phosphatase 1 complex
YER133W	russel_Protein phosphatase 1 complex
YCR073W-A	russel_Protein phosphatase 1 complex
YDR364C	russel_Prp19-associated complex
YMR213W	russel_Prp19-associated complex
YLR117C	russel_Prp19-associated complex
YDL209C	russel_Prp19-associated complex
YGR278W	russel_Prp19-associated complex
