russel_U1 snRNP	LUC7
YOL031C	russel_Complex 241
YLL048C	russel_Complex 241
YMR083W	russel_Complex 242
YMR080C	russel_Complex 242
YKL181W	russel_Phosphoribosyl diphosphate  synthase complex
YHL011C	russel_Phosphoribosyl diphosphate  synthase complex
YKR018C	russel_Complex 244
YHR169W	russel_Complex 245
YLR029C	russel_Complex 245
YDL160C	russel_Complex 246
YDR170C	russel_Complex 246
YDR127W	russel_Complex 247
YLR180W	russel_Complex 247
YGL190C	russel_Protein phosphatase 2A complex
YAL016W	russel_Protein phosphatase 2A complex
YMR273C	russel_Protein phosphatase 2A complex
YML109W	russel_Protein phosphatase 2A complex
YPL048W	russel_Translation elongation factor EF1
YAL003W	russel_Translation elongation factor EF1
YBR118W	russel_Translation elongation factor EF1
YPL217C	russel_Complex 250
YPR112C	russel_Complex 250
YNL231C	russel_Complex 251
YDL082W	russel_Complex 252
YFR031C-A	russel_Complex 252
YIL056W	russel_Complex 253
YGR204W	russel_Complex 254
YLL018C	russel_Complex 254
YPL218W	russel_Complex 254
YJL052W	russel_Complex 254
YDR341C	russel_Complex 254
YKL067W	russel_Complex 254
YGL171W	russel_Complex 255
YML063W	russel_Complex 255
YML102W	russel_Chromatin assembly complex
YBR195C	russel_Chromatin assembly complex
YJL066C	russel_Complex 257
YLR333C	russel_Complex 257
YMR203W	russel_Complex 257
YGR130C	russel_Complex 257
YOL123W	russel_Kap104/Hrp1 complex
YBR017C	russel_Kap104/Hrp1 complex
YKL182W	russel_Complex 259
YDL112W	russel_Complex 259
YOR173W	russel_Complex 260
YDR460W	russel_Complex 260
YPL195W	russel_Clathrin-associated protein AP-3 complex
YGR261C	russel_Clathrin-associated protein AP-3 complex
YBR288C	russel_Clathrin-associated protein AP-3 complex
YBL074C	russel_Complex 263
YDR283C	russel_Complex 263
YOR308C	russel_Complex 263
YGR061C	russel_Complex 264
YOR158W	russel_Complex 264
YAL035W	russel_Complex 265
YDR418W	russel_Complex 265
YPR112C	russel_Complex 266
YGR090W	russel_Complex 266
YER082C	russel_Complex 266
YLR003C	russel_Complex 266
YHR216W	russel_Complex 267
YBR115C	russel_Complex 267
YDR395W	russel_Complex 267
YOL086C	russel_Complex 268
YMR297W	russel_Complex 268
YBR136W	russel_Complex 269
YLR386W	russel_Complex 269
YMR012W	russel_Complex 270
YBL039C	russel_Complex 270
YBR115C	russel_alpha-Aminoadipate-semialdehyde dehydrogenase complex
YGL154C	russel_alpha-Aminoadipate-semialdehyde dehydrogenase complex
YMR116C	russel_Complex 272
YDL040C	russel_Complex 272
YNL023C	russel_Complex 273
YML072C	russel_Complex 274
YLR044C	russel_Complex 275
YKL039W	russel_Complex 275
YLR362W	russel_Ste50/Ste11 complex
YCL032W	russel_Ste50/Ste11 complex
YAL036C	russel_Complex 278
YPR184W	russel_Complex 279
YJL039C	russel_Complex 279
YBL056W	russel_Complex 280
YDR071C	russel_Complex 280
YDR037W	russel_"Cytoplasmic mRNA processing body"
YJL124C	russel_"Cytoplasmic mRNA processing body"
YER146W	russel_"Cytoplasmic mRNA processing body"
YCR077C	russel_"Cytoplasmic mRNA processing body"
YGR240C	russel_Complex 282
YMR205C	russel_Complex 282
YBR169C	russel_Complex 283
YOR164C	russel_Complex 283
YDL165W	russel_Complex 284
YPR112C	russel_Complex 284
YMR230W	russel_Complex 284
YMR116C	russel_Complex 285
YDR471W	russel_Complex 285
YBL061C	russel_Complex 285
YNL112W	russel_Complex 286
YOR260W	russel_Translation initiation factor eIF2B complex
YER025W	russel_Translation initiation factor eIF2B complex
YGR083C	russel_Translation initiation factor eIF2B complex
YDR211W	russel_Translation initiation factor eIF2B complex
YLR291C	russel_Translation initiation factor eIF2B complex
YKR026C	russel_Translation initiation factor eIF2B complex
YNL084C	russel_Complex 288
YJL011C	russel_Complex 288
YNL192W	russel_Complex 289
YHR174W	russel_Complex 289
YCR012W	russel_Complex 289
YNR033W	russel_Complex 290
YNL249C	russel_Complex 290
YML028W	russel_Complex 290
YDL191W	russel_Complex 291
YBR181C	russel_Complex 291
YBL039C	russel_Complex 291
YKR031C	russel_Complex 292
YGL223C	russel_Golgi transport complex
YGR120C	russel_Golgi transport complex
YER157W	russel_Golgi transport complex
YPR105C	russel_Golgi transport complex
YNL051W	russel_Golgi transport complex
YNL041C	russel_Golgi transport complex
YGL005C	russel_Golgi transport complex
YML071C	russel_Golgi transport complex
YJR138W	russel_Golgi transport complex
YDL166C	russel_Complex 294
YDR300C	russel_Complex 295
YGR194C	russel_Complex 295
YPL001W	russel_Histone acetyltransferase B complex
YEL056W	russel_Histone acetyltransferase B complex
YNL030W	russel_Histone acetyltransferase B complex
YLL022C	russel_Histone acetyltransferase B complex
YBR196C	russel_Complex 297
YDR164C	russel_Complex 297
YLL018C	russel_Complex 298
YER086W	russel_Complex 298
YNL301C	russel_Complex 298
YER165W	russel_Complex 299
YGR250C	russel_Complex 299
YDL126C	russel_"Ufd1/Npl4/Cdc48, ER ubiquitinated proteins degradation complex"
YBR170C	russel_"Ufd1/Npl4/Cdc48, ER ubiquitinated proteins degradation complex"
YBL058W	russel_"Ufd1/Npl4/Cdc48, ER ubiquitinated proteins degradation complex"
YGR048W	russel_"Ufd1/Npl4/Cdc48, ER ubiquitinated proteins degradation complex"
YDR049W	russel_"Ufd1/Npl4/Cdc48, ER ubiquitinated proteins degradation complex"
YDR328C	russel_RAVE/Skp1 complex
YMR258C	russel_RAVE/Skp1 complex
YDL044C	russel_Complex 302
YLR139C	russel_Complex 302
YIL125W	russel_2-oxoglutarate dehydrogenase complex
YDR148C	russel_2-oxoglutarate dehydrogenase complex
YFR049W	russel_2-oxoglutarate dehydrogenase complex
YBL045C	russel_Cytochrome bc1 complex
YPR191W	russel_Cytochrome bc1 complex
YGL105W	russel_Methionyl- and glutamyl-tRNA synthetases complex
YGL245W	russel_Methionyl- and glutamyl-tRNA synthetases complex
YGR264C	russel_Methionyl- and glutamyl-tRNA synthetases complex
YOR284W	russel_Complex 306
YPL206C	russel_Complex 306
YNL175C	russel_Complex 307
YNL002C	russel_Complex 307
YDR035W	russel_Complex 308
YOR230W	russel_Complex 308
YOL006C	russel_Complex 310
YAL034C	russel_Complex 311
YER110C	russel_Complex 311
YPR174C	russel_Complex 311
YIL033C	russel_cAMP-dependent protein kinase complex
YPL203W	russel_cAMP-dependent protein kinase complex
YNL301C	russel_Complex 313
YML124C	russel_Complex 313
YDR127W	russel_Complex 314
YJL008C	russel_Complex 314
YKL135C	russel_AP-1 adaptor complex
YPR029C	russel_AP-1 adaptor complex
YPL259C	russel_AP-1 adaptor complex
YHL019C	russel_AP-1 adaptor complex
YLR170C	russel_AP-1 adaptor complex
YLR449W	russel_Complex 316
YNL175C	russel_Complex 316
YDR496C	russel_Complex 316
YLL034C	russel_Complex 316
YJL034W	russel_Complex 317
YMR214W	russel_Complex 317
YDR141C	russel_Complex 318
YNL297C	russel_Complex 318
YDR434W	russel_Complex 319
YKL039W	russel_Complex 319
YJL026W	russel_Ribonucleoside-diphosphate reductase complex
YGR180C	russel_Ribonucleoside-diphosphate reductase complex
YGR175C	russel_Complex 321
YNL272C	russel_Complex 321
YHR128W	russel_Complex 322
YPL235W	russel_Complex 322
YFL045C	russel_Complex 322
YLR325C	russel_Complex 323
YOL054W	russel_Complex 323
YJR140C	russel_Complex 324
YIL070C	russel_Complex 324
YPL153C	russel_Complex 324
YDR044W	russel_Complex 325
YMR227C	russel_Complex 325
YNL232W	russel_Exosome 3'-5' exoribonuclease complex
YOL021C	russel_Exosome 3'-5' exoribonuclease complex
YGR158C	russel_Exosome 3'-5' exoribonuclease complex
YHR069C	russel_Exosome 3'-5' exoribonuclease complex
YOL142W	russel_Exosome 3'-5' exoribonuclease complex
YDL111C	russel_Exosome 3'-5' exoribonuclease complex
YCR035C	russel_Exosome 3'-5' exoribonuclease complex
YDR280W	russel_Exosome 3'-5' exoribonuclease complex
YGR095C	russel_Exosome 3'-5' exoribonuclease complex
YOR001W	russel_Exosome 3'-5' exoribonuclease complex
YGR195W	russel_Exosome 3'-5' exoribonuclease complex
YOR076C	russel_Exosome 3'-5' exoribonuclease complex
YPL083C	russel_Complex 327
YLR386W	russel_Complex 327
YKL092C	russel_Complex 328
YOR153W	russel_Complex 328
YBL030C	russel_Complex 328
YGR175C	russel_Complex 329
YJL155C	russel_Complex 330
YHR169W	russel_Complex 331
YDR365C	russel_Complex 331
YJL033W	russel_Complex 331
YNR043W	russel_Complex 331
YOR375C	russel_Complex 332
YKL006W	russel_Complex 332
YJR092W	russel_Septin complex
YCR002C	russel_Septin complex
YJR076C	russel_Septin complex
YHR107C	russel_Septin complex
YLR314C	russel_Septin complex
YDL225W	russel_Septin complex
YOL097C	russel_Complex 334
YMR315W	russel_Complex 334
YER027C	russel_AMP-dependent protein kinase complex
YDR028C	russel_AMP-dependent protein kinase complex
YDR422C	russel_AMP-dependent protein kinase complex
YDR477W	russel_AMP-dependent protein kinase complex
YGL115W	russel_AMP-dependent protein kinase complex
YDR214W	russel_Complex 336
YKL010C	russel_Complex 336
YER148W	russel_Complex 337
YGR274C	russel_Complex 337
YML015C	russel_Complex 337
YDR145W	russel_Complex 337
YPL011C	russel_Complex 337
YMR005W	russel_Complex 337
YMR236W	russel_Complex 337
YOR284W	russel_Complex 338
YAL048C	russel_Complex 338
YFL039C	russel_Complex 339
YNL218W	russel_Complex 339
YLR208W	russel_Coatomer COPII complex
YPL085W	russel_Coatomer COPII complex
YPR181C	russel_Coatomer COPII complex
YIL109C	russel_Coatomer COPII complex
YNL049C	russel_Coatomer COPII complex
YJL208C	russel_Complex 341
YKR079C	russel_Complex 341
YMR099C	russel_Complex 341
YFL008W	russel_Cohesin complex
YJL074C	russel_Cohesin complex
YBR160W	russel_Cyclin-dependent protein kinase complex
YBR135W	russel_Cyclin-dependent protein kinase complex
YPL256C	russel_Cyclin-dependent protein kinase complex
YGR155W	russel_Cyclin-dependent protein kinase complex
YLR079W	russel_Cyclin-dependent protein kinase complex
YPL106C	russel_Complex 344
YJR009C	russel_Complex 344
YDR214W	russel_Complex 345
YDR127W	russel_Complex 345
YNL272C	russel_Complex 346
YMR296C	russel_Serine palmitoyltransferase  complex
YDR062W	russel_Serine palmitoyltransferase  complex
YMR176W	russel_Complex 348
YJR138W	russel_Complex 348
YGR170W	russel_Complex 348
YER091C	russel_Complex 349
YPR074C	russel_Complex 349
YPL094C	russel_Sec62/Sec63 complex
YOR254C	russel_Sec62/Sec63 complex
YBR171W	russel_Sec62/Sec63 complex
YLR292C	russel_Sec62/Sec63 complex
YGL001C	russel_Complex 351
YLR180W	russel_Complex 352
YDR502C	russel_Complex 352
YPL084W	russel_Bro1/Snf7 complex
YLR025W	russel_Bro1/Snf7 complex
YLR129W	russel_Complex 354
YBR247C	russel_Complex 354
YNL132W	russel_Complex 354
YCL059C	russel_Complex 354
YPR144C	russel_Complex 354
YDL148C	russel_Complex 354
YGL171W	russel_Complex 354
YGR090W	russel_Complex 354
YDR449C	russel_Complex 354
YER082C	russel_Complex 354
YGR145W	russel_Complex 354
YNL085W	russel_Complex  355
YDL082W	russel_Complex  355
YBR105C	russel_Complex  355
YNL076W	russel_Rtg2/Mks1 complex
YGL252C	russel_Rtg2/Mks1 complex
YGR218W	russel_Complex 357
YNR031C	russel_Complex 358
YOR370C	russel_Complex 359
YOR347C	russel_Complex 359
YPR074C	russel_Complex 360
YML028W	russel_Complex 360
YGR214W	russel_Complex 361
YBR189W	russel_Complex 361
YGL167C	russel_Complex 362
YPL235W	russel_Complex 362
YFL045C	russel_Complex 362
YCR046C	russel_Mitochondrial ribosomal large subunit
YDR296W	russel_Mitochondrial ribosomal large subunit
YKL167C	russel_Mitochondrial ribosomal large subunit
YDR322W	russel_Mitochondrial ribosomal large subunit
YJL063C	russel_Mitochondrial ribosomal large subunit
YGR220C	russel_Mitochondrial ribosomal large subunit
YML025C	russel_Mitochondrial ribosomal large subunit
YLR398C	russel_SKI complex
YPR189W	russel_SKI complex
YGL213C	russel_SKI complex
YCR009C	russel_Rvs161/Rvs167 complex
YDR388W	russel_Rvs161/Rvs167 complex
YPL061W	russel_Complex 366
YJL101C	russel_Complex 366
YOR136W	russel_Complex 366
YPL226W	russel_Complex 366
YHR208W	russel_Complex 367
YJR148W	russel_Complex 367
YNL308C	russel_Complex 368
YBR048W	russel_Complex 368
YAL034C	russel_Complex 369
YML063W	russel_Complex 369
YNL172W	russel_"Anaphase-promoting complex, cyclosome"
YLR127C	russel_"Anaphase-promoting complex, cyclosome"
YDR118W	russel_"Anaphase-promoting complex, cyclosome"
YOR249C	russel_"Anaphase-promoting complex, cyclosome"
YLR102C	russel_"Anaphase-promoting complex, cyclosome"
YKL022C	russel_"Anaphase-promoting complex, cyclosome"
YHR166C	russel_"Anaphase-promoting complex, cyclosome"
YBL084C	russel_"Anaphase-promoting complex, cyclosome"
YNL110C	russel_Complex 371
YOR349W	russel_Complex 372
YBL104C	russel_Complex 372
YCL017C	russel_Complex 373
YGR192C	russel_Complex 373
YER048W-A	russel_Complex 373
YLR015W	russel_"COMPASS, histone H3 methyltransferase protein complex"
YDR469W	russel_"COMPASS, histone H3 methyltransferase protein complex"
YHR119W	russel_"COMPASS, histone H3 methyltransferase protein complex"
YPL138C	russel_"COMPASS, histone H3 methyltransferase protein complex"
YAR003W	russel_"COMPASS, histone H3 methyltransferase protein complex"
YBR175W	russel_"COMPASS, histone H3 methyltransferase protein complex"
YDR032C	russel_Complex 375
YBR052C	russel_Complex 375
YLR106C	russel_Complex 376
YJR132W	russel_Complex 376
YFL037W	russel_Complex 376
YBL085W	russel_Complex 377
YER165W	russel_Complex 377
YJL194W	russel_Complex 378
YDR430C	russel_Complex 379
YLR203C	russel_Complex 379
YHR012W	russel_Retromer subcomplex
YJL154C	russel_Retromer subcomplex
YOR069W	russel_Retromer subcomplex
YLR088W	russel_GPI transamidase complex
YDR331W	russel_GPI transamidase complex
YLR150W	russel_Complex 382
YIL056W	russel_Complex 382
YOR234C	russel_Complex 383
YPR043W	russel_Complex 383
YOR136W	russel_Complex 384
YIL094C	russel_Complex 384
YOR173W	russel_Complex 385
YDR460W	russel_Complex 385
YPL220W	russel_Complex 386
YML072C	russel_Complex 386
YER165W	russel_Pab1/Pan2/Pan3 complex
YGL094C	russel_Pab1/Pan2/Pan3 complex
YJR009C	russel_Complex 389
YOL097C	russel_Complex 389
YJR140C	russel_Complex 390
YPL153C	russel_Complex 390
YDR127W	russel_Complex 391
YER095W	russel_Complex 391
YGR234W	russel_Complex 391
YDR137W	russel_Ric1/Rgp1 complex
YLR039C	russel_Ric1/Rgp1 complex
YLR410W	russel_Complex 393
YLR276C	russel_Complex 394
YDR060W	russel_Complex 394
YBR142W	russel_Complex 394
YPL043W	russel_Complex 394
YNL002C	russel_Complex 394
YLR221C	russel_Complex 394
YOR272W	russel_Complex 394
YAL017W	russel_Complex 395
YMR227C	russel_Complex 395
YHL033C	russel_Complex 396
YER036C	russel_Complex 396
YBR205W	russel_Complex 397
YDR346C	russel_Complex 397
YPR118W	russel_Complex 397
YPL023C	russel_Complex 398
YGL125W	russel_Complex 398
YBL047C	russel_Complex 399
YCR030C	russel_Complex 399
YGL200C	russel_Heteromeric p24 complex 1
YAR002C-A	russel_Heteromeric p24 complex 1
YAL007C	russel_Heteromeric p24 complex 1
YML012W	russel_Heteromeric p24 complex 1
YOR299W	russel_Complex 401
YLR330W	russel_Complex 401
YJL099W	russel_Complex 401
YMR237W	russel_Complex 401
YBR211C	russel_MIND kinetochore complex
YIR010W	russel_MIND kinetochore complex
YAL034W-A	russel_MIND kinetochore complex
YOR038C	russel_Complex 403
YMR029C	russel_Far  complex
YHL001W	russel_Far  complex
YDR292C	russel_Signal recognition particle receptor
YKL154W	russel_Signal recognition particle receptor
YNL175C	russel_Complex 406
YBR123C	russel_TFIIIC complex
YAL001C	russel_TFIIIC complex
YGR047C	russel_TFIIIC complex
YDR362C	russel_TFIIIC complex
YOR110W	russel_TFIIIC complex
YPL007C	russel_TFIIIC complex
YBR086C	russel_Complex 408
YDR101C	russel_Complex 409
YLR449W	russel_Complex 409
YKL009W	russel_Complex 409
YPL211W	russel_Complex 409
YPL093W	russel_Complex 409
YNR053C	russel_Complex 409
YNL061W	russel_Complex 409
YER126C	russel_Complex 409
YER006W	russel_Complex 409
YKR081C	russel_Complex 409
YGR245C	russel_Complex 409
YPR016C	russel_Complex 409
YNL301C	russel_Complex 410
YPL249C-A	russel_Complex 410
YKL092C	russel_Complex 412
YKL039W	russel_Complex 412
YNL153C	russel_Gim complexes
YGR078C	russel_Gim complexes
YLR200W	russel_Gim complexes
YOR243C	russel_Complex 414
YGL232W	russel_Complex 414
YMR176W	russel_Complex 416
YJR132W	russel_Complex 416
YOR349W	russel_Complex 417
YPR043W	russel_Complex 417
YGL128C	russel_Complex 418
YLR424W	russel_Complex 418
YHL011C	russel_Complex 419
YBL039C	russel_Complex 419
YPR175W	russel_DNA polymerase epsilon complex
YDR121W	russel_DNA polymerase epsilon complex
YNL262W	russel_DNA polymerase epsilon complex
YGR200C	russel_HAP subcomplex of elongator  complex
YPL086C	russel_HAP subcomplex of elongator  complex
YPL101W	russel_HAP subcomplex of elongator  complex
YHR187W	russel_HAP subcomplex of elongator  complex
YLR384C	russel_HAP subcomplex of elongator  complex
YOR160W	russel_Complex 422
YJR132W	russel_Complex 422
YML029W	russel_Complex 422
YIL062C	russel_ARP2/3 complex
YLR370C	russel_ARP2/3 complex
YKL013C	russel_ARP2/3 complex
YNR035C	russel_ARP2/3 complex
YBR234C	russel_ARP2/3 complex
YDL029W	russel_ARP2/3 complex
YJR065C	russel_ARP2/3 complex
YNL021W	russel_Trichostatin A-sensitive class II histone deacetylase complex
YDR295C	russel_Trichostatin A-sensitive class II histone deacetylase complex
YPR179C	russel_Trichostatin A-sensitive class II histone deacetylase complex
YOR323C	russel_Trichostatin A-sensitive class II histone deacetylase complex
YHL034C	russel_Complex 425
YGL030W	russel_Complex 426
YKL067W	russel_Complex 426
YOR036W	russel_Complex 427
YBL050W	russel_Complex 427
YMR197C	russel_Complex 427
YKL196C	russel_Complex 427
YPR034W	russel_"RSC, abundant chromatin remodeling complex "
YMR091C	russel_"RSC, abundant chromatin remodeling complex "
YGR056W	russel_"RSC, abundant chromatin remodeling complex "
YLR357W	russel_"RSC, abundant chromatin remodeling complex "
YDR303C	russel_"RSC, abundant chromatin remodeling complex "
YKR008W	russel_"RSC, abundant chromatin remodeling complex "
YLR033W	russel_"RSC, abundant chromatin remodeling complex "
YCR052W	russel_"RSC, abundant chromatin remodeling complex "
YFR037C	russel_"RSC, abundant chromatin remodeling complex "
YML127W	russel_"RSC, abundant chromatin remodeling complex "
YLR321C	russel_"RSC, abundant chromatin remodeling complex "
YIL126W	russel_"RSC, abundant chromatin remodeling complex "
YLR148W	russel_38S HOPS complex
YMR231W	russel_38S HOPS complex
YDL077C	russel_38S HOPS complex
YPL045W	russel_38S HOPS complex
YLR396C	russel_38S HOPS complex
YDR080W	russel_38S HOPS complex
YAL002W	russel_38S HOPS complex
YER007C-A	russel_Complex 430
YJR014W	russel_Complex 430
YDR091C	russel_Complex 431
YOR096W	russel_Complex 431
YDR471W	russel_Complex 432
YPL009C	russel_Complex 432
YGR155W	russel_Complex 433
YNL078W	russel_Complex 433
YJR045C	russel_Complex 433
YOL070C	russel_Complex 433
YHR019C	russel_ Complex 434
YBL076C	russel_ Complex 434
YER164W	russel_Complex 435
YER103W	russel_Complex 435
YPR057W	russel_Complex 436
YDR099W	russel_Complex 437
YDR001C	russel_Complex 437
YNR050C	russel_Complex 438
YNR046W	russel_Complex 438
YOL124C	russel_Complex 438
YBR049C	russel_Complex 439
YIL056W	russel_Complex 439
YOL077C	russel_Complex 440
YHR052W	russel_Complex 440
YDR060W	russel_Complex 440
YOR206W	russel_Complex 440
YPL043W	russel_Complex 440
YFL002C	russel_Complex 440
YOR272W	russel_Complex 440
YBR097W	russel_Vps34 PtdIns 3 kinase complex II
YPL120W	russel_Vps34 PtdIns 3 kinase complex II
YLR240W	russel_Vps34 PtdIns 3 kinase complex II
YLR360W	russel_Vps34 PtdIns 3 kinase complex II
YDR068W	russel_Complex 442
YDR483W	russel_Complex 442
YJR064W	russel_Complex 443
YNL212W	russel_Complex 443
YLR203C	russel_Complex 444
YJR045C	russel_Complex 444
YNR010W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YOL051W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YPR070W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YMR112C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YHR058C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YOL135C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YBR193C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YGL151W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YPR168W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YGL025C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YLR071C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YNL236W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YHR041C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YER022W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YGR104C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YBR253W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YDR308C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YCR081W	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YDR443C	russel_"Mediator complex, SRB subcomplex of RNA polymerase II"
YDR127W	russel_Complex 446
YGR240C	russel_Complex 446
YGR214W	russel_Complex 446
YHR148W	russel_Complex 447
YLR003C	russel_Complex 447
YGL030W	russel_Complex 448
YGR281W	russel_Complex 448
YGL156W	russel_Complex 450
YDL171C	russel_Complex 451
YLR075W	russel_Complex 451
YJR123W	russel_Complex 451
YKL142W	russel_Complex  452
YGR086C	russel_Complex  452
YDR507C	russel_Complex 453
YCL024W	russel_Complex 453
YKL081W	russel_Complex 454
YBR025C	russel_Complex 454
YLR060W	russel_Frs1/Frs2  phenylalanyl-tRNA synthetase complex
YFL022C	russel_Frs1/Frs2  phenylalanyl-tRNA synthetase complex
YLR355C	russel_Complex 458
YJL052W	russel_Complex 458
YGR274C	russel_RNA polymerase II general trancription factor TFIID
YML015C	russel_RNA polymerase II general trancription factor TFIID
YPL011C	russel_RNA polymerase II general trancription factor TFIID
YMR005W	russel_RNA polymerase II general trancription factor TFIID
YBR198C	russel_RNA polymerase II general trancription factor TFIID
YAL012W	russel_Complex 460
YMR235C	russel_Complex 460
YJR064W	russel_Complex 461
YOR187W	russel_Complex 461
YJL002C	russel_Oligosaccharyl-transferase complex
YGL022W	russel_Oligosaccharyl-transferase complex
YMR149W	russel_Oligosaccharyl-transferase complex
YEL002C	russel_Oligosaccharyl-transferase complex
YLR163C	russel_Processing peptidase complex
YHR024C	russel_Processing peptidase complex
YBL099W	russel_F0/F1 ATP synthase
YBR039W	russel_F0/F1 ATP synthase
YJL101C	russel_Compex 465
YOR185C	russel_Compex 465
YPL226W	russel_Compex 465
YNL085W	russel_Complex 466
YPL128C	russel_Complex 467
YJR066W	russel_Complex 467
YLR373C	russel_Complex 467
YPL217C	russel_Complex 468
YOR078W	russel_Complex 468
YDR365C	russel_Complex 468
YNR043W	russel_Complex 468
YDL213C	russel_Complex 468
YGR034W	russel_Complex 469
YLR221C	russel_Complex 469
YGR281W	russel_Complex 469
YOR144C	russel_Ctf18/Rfc2/Rfc3/Rfc4/Rfc5 complex
YOR217W	russel_Ctf18/Rfc2/Rfc3/Rfc4/Rfc5 complex
YNL290W	russel_Ctf18/Rfc2/Rfc3/Rfc4/Rfc5 complex
YOL094C	russel_Ctf18/Rfc2/Rfc3/Rfc4/Rfc5 complex
YBR087W	russel_Ctf18/Rfc2/Rfc3/Rfc4/Rfc5 complex
YDR471W	russel_Complex 471
YBL061C	russel_Complex 471
YDL031W	russel_Complex 472
YLR276C	russel_Complex 472
YNL175C	russel_Complex 472
YPL043W	russel_Complex 472
YDR496C	russel_Complex 472
YPR032W	russel_Complex 473
YDR314C	russel_Complex 473
YDR225W	russel_Complex 474
YLR183C	russel_Complex 474
YLR333C	russel_Complex 475
YHL002W	russel_Vps27/Hse1 protein complex
YNR006W	russel_Vps27/Hse1 protein complex
YKL010C	russel_Complex 477
YKR059W	russel_eIF4A
YJL138C	russel_eIF4A
YKL104C	russel_Complex 479
YDR335W	russel_Complex 479
YDR150W	russel_Complex 479
YPL106C	russel_Complex 480
YGR234W	russel_Complex 480
YAL026C	russel_Complex 481
YOR153W	russel_Complex 481
YGR175C	russel_Complex 482
YKL081W	russel_Complex 482
YPL049C	russel_Complex 483
YKR028W	russel_Complex 483
YER136W	russel_Complex 484
YER031C	russel_Complex 484
YKR014C	russel_Complex 484
YKL092C	russel_Complex 485
YKR066C	russel_Complex 485
YKL142W	russel_Complex 485
YOR133W	russel_Complex 486
YMR109W	russel_Complex 487
YBR025C	russel_Complex 488
YGL039W	russel_Complex 488
YDR283C	russel_Complex 489
YKL143W	russel_Complex 489
YML091C	russel_Complex 489
YNL099C	russel_Complex  490
YNL032W	russel_Complex  490
YBR263W	russel_Complex 491
YPL009C	russel_Complex 491
