ORF	Complex
YOL013C	ubiquitin ligase ERAD-L complex
YLR207W	ubiquitin ligase ERAD-L complex
YGR206W	ESCRT I complex
YLR119W	ESCRT I complex
YCL008C	ESCRT I complex
YPL065W	ESCRT I complex
YPL001W	HAT-B complex
YEL056W	HAT-B complex
YLL022C	HAT-B complex
YJL005W	adenylyl cyclase complex
YNL138W	adenylyl cyclase complex
YDR265W	RING finger peroxin complex
YMR026C	RING finger peroxin complex
YJL210W	RING finger peroxin complex
YMR108W	acetolactate synthase complex
YCL009C	acetolactate synthase complex
YGR132C	prohibitin complex
YGR231C	prohibitin complex
YHL002W	Hse1p/Vps27p complex
YNR006W	Hse1p/Vps27p complex
YGL190C	protein phosphatase type 2A complex (Cdc55p)
YDL134C	protein phosphatase type 2A complex (Cdc55p)
YAL016W	protein phosphatase type 2A complex (Cdc55p)
YOL096C	Q-biosynthetic Coq polypeptide complex
YDR204W	Q-biosynthetic Coq polypeptide complex
YBR160W	Cdc28p/Clb1p complex
YGR108W	Cdc28p/Clb1p complex
YER172C	U4/U6 x U5 tri-snRNP complex
YPR082C	U4/U6 x U5 tri-snRNP complex
YBL026W	U4/U6 x U5 tri-snRNP complex
YLR438C-A	U4/U6 x U5 tri-snRNP complex
YER112W	U4/U6 x U5 tri-snRNP complex
YER146W	U4/U6 x U5 tri-snRNP complex
YDR378C	U4/U6 x U5 tri-snRNP complex
YNL147W	U4/U6 x U5 tri-snRNP complex
YJR022W	U4/U6 x U5 tri-snRNP complex
YGR006W	U4/U6 x U5 tri-snRNP complex
YDR473C	U4/U6 x U5 tri-snRNP complex
YGR091W	U4/U6 x U5 tri-snRNP complex
YGR075C	U4/U6 x U5 tri-snRNP complex
YPR178W	U4/U6 x U5 tri-snRNP complex
YBR055C	U4/U6 x U5 tri-snRNP complex
YHR165C	U4/U6 x U5 tri-snRNP complex
YER029C	U4/U6 x U5 tri-snRNP complex
YGR074W	U4/U6 x U5 tri-snRNP complex
YLR275W	U4/U6 x U5 tri-snRNP complex
YLR147C	U4/U6 x U5 tri-snRNP complex
YOR159C	U4/U6 x U5 tri-snRNP complex
YFL017W-A	U4/U6 x U5 tri-snRNP complex
YPR182W	U4/U6 x U5 tri-snRNP complex
YKL173W	U4/U6 x U5 tri-snRNP complex
YEL026W	U4/U6 x U5 tri-snRNP complex
YDL098C	U4/U6 x U5 tri-snRNP complex
YOR308C	U4/U6 x U5 tri-snRNP complex
YBR152W	U4/U6 x U5 tri-snRNP complex
YCL044C	i-AAA complex
YPR024W	i-AAA complex
YOL090W	MSH2p/MSH3p complex
YCR092C	MSH2p/MSH3p complex
YFR028C	RENT complex
YJL076W	RENT complex
YDL042C	RENT complex
YJL088W	Car1p/Arg3p complex
YPL111W	Car1p/Arg3p complex
YJL041W	Nsp1p/Nup82p complex
YJL061W	Nsp1p/Nup82p complex
YJL071W	"Arg2p/Arg5,6p complex"
YER069W	"Arg2p/Arg5,6p complex"
YGR063C	DSIF complex
YML010W	DSIF complex
YLR342W	"1,3-beta-glucan synthase complex (Fks1p/Rho1p)"
YPR165W	"1,3-beta-glucan synthase complex (Fks1p/Rho1p)"
YOR207C	DNA-directed RNA polymerase III complex
YOR210W	DNA-directed RNA polymerase III complex
YBR154C	DNA-directed RNA polymerase III complex
YOR224C	DNA-directed RNA polymerase III complex
YHR143W-A	DNA-directed RNA polymerase III complex
YDR045C	DNA-directed RNA polymerase III complex
YJL011C	DNA-directed RNA polymerase III complex
YNL113W	DNA-directed RNA polymerase III complex
YKL144C	DNA-directed RNA polymerase III complex
YNL151C	DNA-directed RNA polymerase III complex
YNR003C	DNA-directed RNA polymerase III complex
YKR025W	DNA-directed RNA polymerase III complex
YPR110C	DNA-directed RNA polymerase III complex
YDL150W	DNA-directed RNA polymerase III complex
YPR190C	DNA-directed RNA polymerase III complex
YPR187W	DNA-directed RNA polymerase III complex
YOR116C	DNA-directed RNA polymerase III complex
YML069W	FACT complex
YGL207W	FACT complex
YNL085W	Mtk1p/Pbp1p complex
YGR178C	Mtk1p/Pbp1p complex
YGR240C	6-phosphofructokinase complex
YMR205C	6-phosphofructokinase complex
YMR078C	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YHR191C	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YCL016C	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YJR068W	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YNL290W	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YOL094C	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YBR087W	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)
YER038C	smc5p-Smc6p complex
YEL019C	smc5p-Smc6p complex
YLR007W	smc5p-Smc6p complex
YDR288W	smc5p-Smc6p complex
YDL105W	smc5p-Smc6p complex
YML023C	smc5p-Smc6p complex
YOL034W	smc5p-Smc6p complex
YLR383W	smc5p-Smc6p complex
YER030W	Chz1p/Htz1p/Htb1p complex
YDR224C	Chz1p/Htz1p/Htb1p complex
YOL012C	Chz1p/Htz1p/Htb1p complex
YNL039W	transcription factor TFIIIB complex
YGR246C	transcription factor TFIIIB complex
YER148W	transcription factor TFIIIB complex
YNR038W	Npa2p-containing subcomplex
YOL144W	Npa2p-containing subcomplex
YLR221C	Npa2p-containing subcomplex
YKL014C	Npa2p-containing subcomplex
YJR041C	Npa2p-containing subcomplex
Q0105	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YBL045C	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YOR065W	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YHR001W-A	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YPR191W	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YFR033C	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YDR529C	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YJL166W	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YGR183C	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YEL024W	"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)"
YFR040W	Sap155p/Sit4p complex
YDL047W	Sap155p/Sit4p complex
YNL062C	Gcd10p/Gcd14p complex
YJL125C	Gcd10p/Gcd14p complex
YHR098C	Sfb3p/Sec23p complex
YPR181C	Sfb3p/Sec23p complex
YFR030W	sulfite reductase complex (NADPH)
YJR137C	sulfite reductase complex (NADPH)
YBL016W	STE5-MAPK complex
YLR362W	STE5-MAPK complex
YDR103W	STE5-MAPK complex
YDL159W	STE5-MAPK complex
YMR058W	Permease-Oxidase Complex
YER145C	Permease-Oxidase Complex
YER017C	m-AAA complex
YMR089C	m-AAA complex
YKL139W	carboxy-terminal domain protein kinase complex
YJL006C	carboxy-terminal domain protein kinase complex
YML112W	carboxy-terminal domain protein kinase complex
YBR160W	Cdc28p/Clb6p complex
YGR109C	Cdc28p/Clb6p complex
YPL050C	"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)"
YML115C	"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)"
YDL017W	Cdc7p/Dbf4p complex
YDR052C	Cdc7p/Dbf4p complex
YER070W	ribonucleoside-diphosphate reductase complex
YJL026W	ribonucleoside-diphosphate reductase complex
YGR180C	ribonucleoside-diphosphate reductase complex
YGR163W	EGO complex
YKR007W	EGO complex
YBR077C	EGO complex
YHR172W	gamma-tubulin complex
YNL126W	gamma-tubulin complex
YLR212C	gamma-tubulin complex
YNL084C	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YIR006C	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YBL007C	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YDR221W	Rot2p/Gtb1p complex
YBR229C	Rot2p/Gtb1p complex
YMR095C	Sno1p/Snz1p complex
YMR096W	Sno1p/Snz1p complex
YNL233W	Bni4p/Glc7p complex
YER133W	Bni4p/Glc7p complex
YMR192W	Gyl1p/Gyp5p complex
YPL249C	Gyl1p/Gyp5p complex
YGR134W	CCR4-NOT core complex
YNL288W	CCR4-NOT core complex
YAL021C	CCR4-NOT core complex
YDL165W	CCR4-NOT core complex
YCR093W	CCR4-NOT core complex
YER068W	CCR4-NOT core complex
YIL038C	CCR4-NOT core complex
YPR072W	CCR4-NOT core complex
YNR052C	CCR4-NOT core complex
YOR106W	Vam3p/Vam7 vacuolar tSNARE complex
YGL212W	Vam3p/Vam7 vacuolar tSNARE complex
YLR088W	GPI-anchor transamidase complex
YLR459W	GPI-anchor transamidase complex
YHR188C	GPI-anchor transamidase complex
YDR434W	GPI-anchor transamidase complex
YDR331W	GPI-anchor transamidase complex
YNL037C	Isocitrate dehydrogenase
YOR136W	Isocitrate dehydrogenase
YKL182W	fatty acid synthase complex
YPL231W	fatty acid synthase complex
YGL155W	CAAX-protein geranylgeranyltransferase complex
YKL019W	CAAX-protein geranylgeranyltransferase complex
YMR224C	MRX complex
YNL250W	MRX complex
YDR369C	MRX complex
YCR086W	Csm1p/Lrs4p complex
YDR439W	Csm1p/Lrs4p complex
YLL002W	Rtt109p/Vps75p complex
YNL246W	Rtt109p/Vps75p complex
Q0115	Bi3 ribonucleoprotein complex
YIR021W	Bi3 ribonucleoprotein complex
YJL090C	Dpb11p/Sld2p complex
YKL108W	Dpb11p/Sld2p complex
YKL185W	Rpd3L complex
YPL181W	Rpd3L complex
YAL013W	Rpd3L complex
YNL097C	Rpd3L complex
YNL330C	Rpd3L complex
YBR095C	Rpd3L complex
YDL076C	Rpd3L complex
YMR263W	Rpd3L complex
YIL084C	Rpd3L complex
YOL004W	Rpd3L complex
YPL139C	Rpd3L complex
YDR207C	Rpd3L complex
YPL213W	U2 snRNP complex
YIR009W	U2 snRNP complex
YML049C	U2 snRNP complex
YMR288W	U2 snRNP complex
YIR005W	U2 snRNP complex
YOR319W	U2 snRNP complex
YDL030W	U2 snRNP complex
YDL043C	U2 snRNP complex
YJL203W	U2 snRNP complex
YMR240C	U2 snRNP complex
YNL286W	U2 snRNP complex
YER029C	U2 snRNP complex
YGR074W	U2 snRNP complex
YLR275W	U2 snRNP complex
YLR147C	U2 snRNP complex
YOR159C	U2 snRNP complex
YFL017W-A	U2 snRNP complex
YPR182W	U2 snRNP complex
Q0045	Cytochrome c oxidase (complex IV)
YLR038C	Cytochrome c oxidase (complex IV)
YGL191W	Cytochrome c oxidase (complex IV)
Q0250	Cytochrome c oxidase (complex IV)
Q0275	Cytochrome c oxidase (complex IV)
YGL187C	Cytochrome c oxidase (complex IV)
YNL052W	Cytochrome c oxidase (complex IV)
YHR051W	Cytochrome c oxidase (complex IV)
YMR256C	Cytochrome c oxidase (complex IV)
YLR395C	Cytochrome c oxidase (complex IV)
YDL067C	Cytochrome c oxidase (complex IV)
YJR005W	AP-2 adaptor complex
YBL037W	AP-2 adaptor complex
YOL062C	AP-2 adaptor complex
YJR058C	AP-2 adaptor complex
YLR418C	Cdc73p/Paf1p complex
YOL145C	Cdc73p/Paf1p complex
YDR138W	Cdc73p/Paf1p complex
YOR123C	Cdc73p/Paf1p complex
YBR279W	Cdc73p/Paf1p complex
YGL244W	Cdc73p/Paf1p complex
YAL021C	Cdc73p/Paf1p complex
YOL078W	TORC 2 complex
YMR068W	TORC 2 complex
YJL058C	TORC 2 complex
YNL006W	TORC 2 complex
YIL105C	TORC 2 complex
YNL047C	TORC 2 complex
YKL203C	TORC 2 complex
YER093C	TORC 2 complex
YDR019C	glycine cleavage complex
YMR189W	glycine cleavage complex
YAL044C	glycine cleavage complex
YFL018C	glycine cleavage complex
YPL075W	GCR complex
YNL199C	GCR complex
YIR010W	MIND complex
YAL034W-A	MIND complex
YJR112W	MIND complex
YPL233W	MIND complex
YAR007C	DNA replication factor A complex
YNL312W	DNA replication factor A complex
YJL173C	DNA replication factor A complex
YOR232W	PAM complex
YJL104W	PAM complex
YKR065C	PAM complex
YLR008C	PAM complex
YJR045C	PAM complex
YIL022W	PAM complex
YKL052C	DASH complex
YDR016C	DASH complex
YKR083C	DASH complex
YBR233W-A	DASH complex
YDR320C-A	DASH complex
YGR113W	DASH complex
YGL061C	DASH complex
YKL138C-A	DASH complex
YDR201W	DASH complex
YKR037C	DASH complex
YDR255C	FBP degradation complex
YCL039W	FBP degradation complex
YMR135C	FBP degradation complex
YBR105C	FBP degradation complex
YIL017C	FBP degradation complex
YGL227W	FBP degradation complex
YIL097W	FBP degradation complex
YDL176W	FBP degradation complex
YDR076W	other DNA repair complexes
YDR004W	other DNA repair complexes
YDR028C	Reg1p/Glc7p complex
YER133W	Reg1p/Glc7p complex
YOR303W	carbamoyl-phosphate synthase complex
YJR109C	carbamoyl-phosphate synthase complex
YML111W	Rsp5p/Bul2 ubiquitin ligase complex
YER125W	Rsp5p/Bul2 ubiquitin ligase complex
Q0120	Bi4p/Nam2p complex
YLR382C	Bi4p/Nam2p complex
YMR287C	degradosome
YPL029W	degradosome
YGR262C	EKC/KEOPS protein complex
YML036W	EKC/KEOPS protein complex
YJL184W	EKC/KEOPS protein complex
YKR038C	EKC/KEOPS protein complex
YKR095W-A	EKC/KEOPS protein complex
YLR075W	cytoplasmic ribosomal large subunit
YPR102C	cytoplasmic ribosomal large subunit
YGR085C	cytoplasmic ribosomal large subunit
YEL054C	cytoplasmic ribosomal large subunit
YDR418W	cytoplasmic ribosomal large subunit
YDL082W	cytoplasmic ribosomal large subunit
YMR142C	cytoplasmic ribosomal large subunit
YKL006W	cytoplasmic ribosomal large subunit
YHL001W	cytoplasmic ribosomal large subunit
YLR029C	cytoplasmic ribosomal large subunit
YMR121C	cytoplasmic ribosomal large subunit
YIL133C	cytoplasmic ribosomal large subunit
YNL069C	cytoplasmic ribosomal large subunit
YKL180W	cytoplasmic ribosomal large subunit
YJL177W	cytoplasmic ribosomal large subunit
YOL120C	cytoplasmic ribosomal large subunit
YNL301C	cytoplasmic ribosomal large subunit
YBR084C-A	cytoplasmic ribosomal large subunit
YBL027W	cytoplasmic ribosomal large subunit
YPL220W	cytoplasmic ribosomal large subunit
YGL135W	cytoplasmic ribosomal large subunit
YMR242C	cytoplasmic ribosomal large subunit
YOR312C	cytoplasmic ribosomal large subunit
YBR191W	cytoplasmic ribosomal large subunit
YPL079W	cytoplasmic ribosomal large subunit
YLR061W	cytoplasmic ribosomal large subunit
YFL034C-A	cytoplasmic ribosomal large subunit
YBL087C	cytoplasmic ribosomal large subunit
YER117W	cytoplasmic ribosomal large subunit
YGL031C	cytoplasmic ribosomal large subunit
YGR148C	cytoplasmic ribosomal large subunit
YOL127W	cytoplasmic ribosomal large subunit
YLR344W	cytoplasmic ribosomal large subunit
YGR034W	cytoplasmic ribosomal large subunit
YHR010W	cytoplasmic ribosomal large subunit
YDR471W	cytoplasmic ribosomal large subunit
YGL103W	cytoplasmic ribosomal large subunit
YFR032C-A	cytoplasmic ribosomal large subunit
YFR031C-A	cytoplasmic ribosomal large subunit
YIL018W	cytoplasmic ribosomal large subunit
YOR063W	cytoplasmic ribosomal large subunit
YGL030W	cytoplasmic ribosomal large subunit
YDL075W	cytoplasmic ribosomal large subunit
YLR406C	cytoplasmic ribosomal large subunit
YBL092W	cytoplasmic ribosomal large subunit
YPL143W	cytoplasmic ribosomal large subunit
YOR234C	cytoplasmic ribosomal large subunit
YER056C-A	cytoplasmic ribosomal large subunit
YIL052C	cytoplasmic ribosomal large subunit
YDL191W	cytoplasmic ribosomal large subunit
YDL136W	cytoplasmic ribosomal large subunit
YMR194W	cytoplasmic ribosomal large subunit
YPL249C-A	cytoplasmic ribosomal large subunit
YLR185W	cytoplasmic ribosomal large subunit
YDR500C	cytoplasmic ribosomal large subunit
YLR325C	cytoplasmic ribosomal large subunit
YJL189W	cytoplasmic ribosomal large subunit
YIL148W	cytoplasmic ribosomal large subunit
YKR094C	cytoplasmic ribosomal large subunit
YDL184C	cytoplasmic ribosomal large subunit
YDL133C-A	cytoplasmic ribosomal large subunit
YNL162W	cytoplasmic ribosomal large subunit
YHR141C	cytoplasmic ribosomal large subunit
YPR043W	cytoplasmic ribosomal large subunit
YJR094W-A	cytoplasmic ribosomal large subunit
YBR031W	cytoplasmic ribosomal large subunit
YDR012W	cytoplasmic ribosomal large subunit
YPL131W	cytoplasmic ribosomal large subunit
YML073C	cytoplasmic ribosomal large subunit
YLR448W	cytoplasmic ribosomal large subunit
YGL076C	cytoplasmic ribosomal large subunit
YPL198W	cytoplasmic ribosomal large subunit
YHL033C	cytoplasmic ribosomal large subunit
YLL045C	cytoplasmic ribosomal large subunit
YGL147C	cytoplasmic ribosomal large subunit
YNL067W	cytoplasmic ribosomal large subunit
YLR340W	cytoplasmic ribosomal large subunit
YDL081C	cytoplasmic ribosomal large subunit
YDL130W	cytoplasmic ribosomal large subunit
YOL039W	cytoplasmic ribosomal large subunit
YDR382W	cytoplasmic ribosomal large subunit
YDL207W	Nup82 nuclear pore subcomplex
YIL115C	Nup82 nuclear pore subcomplex
YJL061W	Nup82 nuclear pore subcomplex
YER027C	Snf1p/Snf4p/Gal83p complex
YDR477W	Snf1p/Snf4p/Gal83p complex
YGL115W	Snf1p/Snf4p/Gal83p complex
YBR112C	Tup1p/Ssn6p complex
YCR084C	Tup1p/Ssn6p complex
YGR003W	Cul3p-RING ubiquitin ligase complex
YNL230C	Cul3p-RING ubiquitin ligase complex
YPL046C	Cul3p-RING ubiquitin ligase complex
YBR114W	Cul3p-RING ubiquitin ligase complex
YJR052W	Cul3p-RING ubiquitin ligase complex
YPR025C	transcription factor TFIIH complex
YDL108W	transcription factor TFIIH complex
YDR460W	transcription factor TFIIH complex
YER171W	transcription factor TFIIH complex
YLR005W	transcription factor TFIIH complex
YIL143C	transcription factor TFIIH complex
YDR311W	transcription factor TFIIH complex
YPL122C	transcription factor TFIIH complex
YPR056W	transcription factor TFIIH complex
YDR079C-A	transcription factor TFIIH complex
YDR517W	Grh1p/Bug1p complex
YDL099W	Grh1p/Bug1p complex
YOR206W	Noc2p/Noc3p complex
YLR002C	Noc2p/Noc3p complex
YBR217W	Apg12p/Apg5p/Apg16 multimeric complex
YMR159C	Apg12p/Apg5p/Apg16 multimeric complex
YPL149W	Apg12p/Apg5p/Apg16 multimeric complex
YMR296C	serine C-palmitoyltransferase complex
YDR062W	serine C-palmitoyltransferase complex
YER148W	transcription factor TFIID complex
YGR274C	transcription factor TFIID complex
YDR167W	transcription factor TFIID complex
YML015C	transcription factor TFIID complex
YDR145W	transcription factor TFIID complex
YML098W	transcription factor TFIID complex
YPL129W	transcription factor TFIID complex
YCR042C	transcription factor TFIID complex
YPL011C	transcription factor TFIID complex
YMR005W	transcription factor TFIID complex
YBR198C	transcription factor TFIID complex
YGL112C	transcription factor TFIID complex
YMR227C	transcription factor TFIID complex
YML114C	transcription factor TFIID complex
YMR236W	transcription factor TFIID complex
YOL069W	Ndc80p complex
YMR117C	Ndc80p complex
YER018C	Ndc80p complex
YIL144W	Ndc80p complex
YKL189W	Hym1p/Kic1p/Sog2p complex
YHR102W	Hym1p/Kic1p/Sog2p complex
YOR353C	Hym1p/Kic1p/Sog2p complex
YDR060W	Noc1p/Noc2p complex
YOR206W	Noc1p/Noc2p complex
YDL201W	tRNA Methyltransferase Complex
YDR165W	tRNA Methyltransferase Complex
YEL055C	UTP A complex
YPL126W	UTP A complex
YDR324C	UTP A complex
YGR128C	UTP A complex
YHR196W	UTP A complex
YJL109C	UTP A complex
YMR093W	UTP A complex
YOR346W	Polzeta-Rev1p complex
YPL167C	Polzeta-Rev1p complex
YIL139C	Polzeta-Rev1p complex
YIL026C	nuclear cohesin complex
YDL003W	nuclear cohesin complex
YPR007C	nuclear cohesin complex
YFL008W	nuclear cohesin complex
YJL074C	nuclear cohesin complex
YAL041W	Cdc24p/Far1p/Gbetagamma protein complex
YJL157C	Cdc24p/Far1p/Gbetagamma protein complex
YJR086W	Cdc24p/Far1p/Gbetagamma protein complex
YOR212W	Cdc24p/Far1p/Gbetagamma protein complex
YFL034C-B	Mob2p/Cbk1p complex
YNL161W	Mob2p/Cbk1p complex
YBR036C	Csh1p/Csg2p complex
YBR161W	Csh1p/Csg2p complex
YMR167W	Mlh1p/Pms1p complex
YNL082W	Mlh1p/Pms1p complex
YNL124W	Shq1p/Naf1p complex
YIL104C	Shq1p/Naf1p complex
YJR086W	heterodimeric G-protein complex
YOR212W	heterodimeric G-protein complex
YGL105W	methionyl glutamyl tRNA synthetase complex
YGL245W	methionyl glutamyl tRNA synthetase complex
YGR264C	methionyl glutamyl tRNA synthetase complex
YIR022W	signal peptidase complex
YJR010C-A	signal peptidase complex
YML055W	signal peptidase complex
YLR066W	signal peptidase complex
YNL244C	eIF1/eIF1A/40S complex
YMR260C	eIF1/eIF1A/40S complex
YBR160W	Cdc28p/Cln1p complex
YMR199W	Cdc28p/Cln1p complex
YNL232W	Nuclear exosome complex
YOL021C	Nuclear exosome complex
YHR081W	Nuclear exosome complex
YGR158C	Nuclear exosome complex
YHR069C	Nuclear exosome complex
YOL142W	Nuclear exosome complex
YDL111C	Nuclear exosome complex
YCR035C	Nuclear exosome complex
YDR280W	Nuclear exosome complex
YGR095C	Nuclear exosome complex
YOR001W	Nuclear exosome complex
YGR195W	Nuclear exosome complex
YGL086W	Mad1p/Mad2p complex
YJL030W	Mad1p/Mad2p complex
YMR080C	Nonsense-mediated mRNA decay pathway complex
YHR077C	Nonsense-mediated mRNA decay pathway complex
YGR072W	Nonsense-mediated mRNA decay pathway complex
YNL138W-A	SF3b complex
YMR240C	SF3b complex
YMR288W	SF3b complex
YOR319W	SF3b complex
YPR094W	SF3b complex
YML049C	SF3b complex
YJL209W	Cbp1p/Pet309p complex
YLR067C	Cbp1p/Pet309p complex
YFL039C	NuA4 histone acetyltransferase complex
YJL081C	NuA4 histone acetyltransferase complex
YPR023C	NuA4 histone acetyltransferase complex
YEL018W	NuA4 histone acetyltransferase complex
YJR082C	NuA4 histone acetyltransferase complex
YNL136W	NuA4 histone acetyltransferase complex
YFL024C	NuA4 histone acetyltransferase complex
YOR244W	NuA4 histone acetyltransferase complex
YGR002C	NuA4 histone acetyltransferase complex
YHR099W	NuA4 histone acetyltransferase complex
YDR359C	NuA4 histone acetyltransferase complex
YNL107W	NuA4 histone acetyltransferase complex
YHR090C	NuA4 histone acetyltransferase complex
YIL035C	protein kinase CK2 complex
YOR061W	protein kinase CK2 complex
YGL019W	protein kinase CK2 complex
YOR039W	protein kinase CK2 complex
YMR127C	SAS Complex
YDR181C	SAS Complex
YOR213C	SAS Complex
YJR089W	Sli15p/Bir1p complex
YBR156C	Sli15p/Bir1p complex
YDL145C	COPI
YER122C	COPI
YFR051C	COPI
YPL010W	COPI
YNL287W	COPI
YDR238C	COPI
YGL137W	COPI
YIL076W	COPI
YGL194C	Set3p complex
YIL112W	Set3p complex
YDR155C	Set3p complex
YOL068C	Set3p complex
YKR029C	Set3p complex
YBR103W	Set3p complex
YCR033W	Set3p complex
YPL022W	nucleotide-excision repair factor 1 complex
YML095C	nucleotide-excision repair factor 1 complex
YMR201C	nucleotide-excision repair factor 1 complex
YMR048W	Tof1p/Mrc1p/Csm3p complex
YCL061C	Tof1p/Mrc1p/Csm3p complex
YNL273W	Tof1p/Mrc1p/Csm3p complex
YFL039C	Swr1p complex
YJL081C	Swr1p complex
YLR085C	Swr1p complex
YDR190C	Swr1p complex
YPL235W	Swr1p complex
YAL011W	Swr1p complex
YGR002C	Swr1p complex
YBR231C	Swr1p complex
YLR385C	Swr1p complex
YDR334W	Swr1p complex
YML041C	Swr1p complex
YDR485C	Swr1p complex
YNL107W	Swr1p complex
YNL172W	anaphase-promoting complex
YDL008W	anaphase-promoting complex
YLR127C	anaphase-promoting complex
YDR118W	anaphase-promoting complex
YOR249C	anaphase-promoting complex
YLR102C	anaphase-promoting complex
YKL022C	anaphase-promoting complex
YGL116W	anaphase-promoting complex
YHR166C	anaphase-promoting complex
YFR036W	anaphase-promoting complex
YBL084C	anaphase-promoting complex
YGL003C	anaphase-promoting complex
YGL240W	anaphase-promoting complex
YIR025W	anaphase-promoting complex
YDR260C	anaphase-promoting complex
YKL148C	Succinate dehydrogenase complex (complex II)
YLL041C	Succinate dehydrogenase complex (complex II)
YKL141W	Succinate dehydrogenase complex (complex II)
YDR178W	Succinate dehydrogenase complex (complex II)
YOL001W	Pho85p/Pho80p complex
YPL031C	Pho85p/Pho80p complex
YHR005C	heterotrimeric G-protein complex
YJR086W	heterotrimeric G-protein complex
YOR212W	heterotrimeric G-protein complex
YIL153W	Tap42p/Sit4p/Rrd1p complex
YDL047W	Tap42p/Sit4p/Rrd1p complex
YMR028W	Tap42p/Sit4p/Rrd1p complex
YGL206C	Clathrin
YGR167W	Clathrin
YLR329W	meiotic recombination initiation complex
YHR157W	meiotic recombination initiation complex
YHL022C	meiotic recombination initiation complex
YAR014C	Bud14p/Glc7p complex
YER133W	Bud14p/Glc7p complex
YGL134W	Pho85p/Pcl10p complex
YPL031C	Pho85p/Pcl10p complex
YKL028W	transcription factor TFIIE complex
YKR062W	transcription factor TFIIE complex
YEL036C	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YJR075W	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YDR245W	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YJL183W	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YPL050C	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YDL090C	protein farnesyltransferase complex
YKL019W	protein farnesyltransferase complex
YJL041W	Nsp1p complex
YFR002W	Nsp1p complex
YGL172W	Nsp1p complex
YGR119C	Nsp1p complex
YPR023C	Rpd3S complex
YMR075W	Rpd3S complex
YNL330C	Rpd3S complex
YOL004W	Rpd3S complex
YPL139C	Rpd3S complex
YPL167C	zeta DNA polymerase complex
YIL139C	zeta DNA polymerase complex
YLR274W	Mcm2-7 complex
YBR202W	Mcm2-7 complex
YPR019W	Mcm2-7 complex
YBL023C	Mcm2-7 complex
YEL032W	Mcm2-7 complex
YGL201C	Mcm2-7 complex
YML121W	GSE Complex
YGR163W	GSE Complex
YKL143W	GSE Complex
YKR007W	GSE Complex
YBR077C	GSE Complex
YBR160W	Cdc28p/Clb3p complex
YDL155W	Cdc28p/Clb3p complex
YNL232W	Cytoplasmic exosome complex
YOL021C	Cytoplasmic exosome complex
YGR158C	Cytoplasmic exosome complex
YHR069C	Cytoplasmic exosome complex
YOL142W	Cytoplasmic exosome complex
YDL111C	Cytoplasmic exosome complex
YCR035C	Cytoplasmic exosome complex
YDR280W	Cytoplasmic exosome complex
YGR095C	Cytoplasmic exosome complex
YGR195W	Cytoplasmic exosome complex
YPR034W	RSC complex
YMR033W	RSC complex
YCR020W-B	RSC complex
YBL006C	RSC complex
YMR091C	RSC complex
YGR056W	RSC complex
YLR357W	RSC complex
YDR303C	RSC complex
YHR056C	RSC complex
YKR008W	RSC complex
YLR033W	RSC complex
YCR052W	RSC complex
YFR037C	RSC complex
YML127W	RSC complex
YGR275W	RSC complex
YLR321C	RSC complex
YIL126W	RSC complex
YCL031C	UTP C complex
YGR090W	UTP C complex
YIL035C	UTP C complex
YOR061W	UTP C complex
YGL019W	UTP C complex
YOR039W	UTP C complex
YFR044C	GSH degradosomal complex
YBR281C	GSH degradosomal complex
YNL191W	GSH degradosomal complex
YGL246C	RNA Degradation Complex
YOR048C	RNA Degradation Complex
YDR289C	RNA Degradation Complex
YDL126C	Cdc48p complex
YGR048W	Cdc48p complex
