complexID	ORF
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_6	
complex_7	RPA135
complex_7	RPC53
complex_7	CDC14
complex_7	RPA43
complex_7	RPA34
complex_7	YDL144C
complex_7	RPA12
complex_7	RPC11
complex_7	RPC37
complex_7	RPC40
complex_7	RPC31
complex_7	GIF1
complex_7	RPA49
complex_7	RPA190
complex_7	RPA14
complex_7	RPC25
complex_7	RPC34
complex_7	BDP1
complex_7	FAR7
complex_7	COY1
complex_7	RET1
complex_7	RPC17
complex_7	RPC82
complex_7	RPC19
complex_7	RPO31
complex_7	MAF1
complex_7	RPC10
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_7	
complex_8	DIG2
complex_8	AHA1
complex_8	SMT3
complex_8	CPR6
complex_8	HSP104
complex_8	UTP20
complex_8	RTS1
complex_8	HSC82
complex_8	YAL028W
complex_8	PPT1
complex_8	PAM1
complex_8	HSP82
complex_8	GPA2
complex_8	QNS1
complex_8	MBB1
complex_8	HOM6
complex_8	YEL070W
complex_8	MRPL50
complex_8	STI1
complex_8	TDH1
complex_8	STP4
complex_8	DNM1
complex_8	BUD3
complex_8	YBL104C
complex_8	CNS1
complex_8	RMD8
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_8	
complex_9	RPO26
complex_9	RPB10
complex_9	RPB1
complex_9	RPB3
complex_9	RPB2
complex_9	RHK1
complex_9	RPB4
complex_9	ESS1
complex_9	RPB8
complex_9	YPL225W
