IDB	IDA
F32G8.6	C10F3.6
F32G8.6	C26C6.8
F32G8.6	C52A11.4
F32G8.6	F19C7.8
F33D4.2	F20G4.3
F33G12.6	C52A11.4
F35A5.8	C45G9.7
F35B12.5	F09E10.8
F35B12.5	F32A5.6
F35B12.9	F30A10.8
F35G12.3	B0336.6
F35G2.2	C25G4.6
F35G2.2	C34F11.9
F35H12.5	C09H6.2
F36D1.1	C34F11.9
F37A4.9	C44B7.1
F37C12.4	C23G10.8
F37C4.5	F18C5.4
F38A6.3	F08G12.4
F38C2.7	F18C5.4
F38H4.9	C09H6.2
F38H4.9	C34F11.9
F39C12.1	C45G9.7
F39H11.2	DY3.2
F39H11.2	F32E10.4
F40F12.5	F29D10.4
F40F12.5	F32H2.3
F40F9.3	C47E8.5
F40F9.3	F23B12.5
F41G4.1	F17E5.1
F41H10.10	C03D6.6
F41H10.4	C09H6.2
F42C5.10	B0303.7
F42G8.4	F08B1.1
F42G9.1	C09D1.1
F42G9.9	C52E12.2
F42H10.3	B0336.11
F42H10.3	B0353.1
F42H10.3	C09G1.4
F42H10.3	F18C5.2
F42H10.3	F35B12.5
F42H10.5	C02F4.1
F43B10.2	C01C4.1
F43B10.2	F09E10.8
F43B10.2	F23A7.8
F43B10.2	F29D10.4
F43B10.2	F42H10.3
F43C1.2	C53C7.3
F43C1.2	F26E4.7
F43C1.2	F29G9.2
F43C11.8	C52A11.4
F43D9.4	C01B7.5
F43D9.4	C52A11.3
F43G9.5	C34F11.9
F44A6.2	F44A2.5
F44C4.4	F33D4.2
F44C8.8	F23C8.13
F44D12.1	B0454.8
F44D12.1	C12D8.10
F44D12.1	C14A4.5
F44D12.4	4R79.1
F44D12.4	F19F10.1
F44D12.4	F29F11.1
F44G3.9	C10C6.1
F44G3.9	C34F11.9
F44G3.9	C36B1.4
F44G3.9	C52A11.4
F44G3.9	F43C1.2
F45E1.7	B0507.3
F45E1.7	C02C6.1
F45E1.7	C26E6.2
F45E1.7	C49H3.6
F45E1.7	F25B5.7
F45E1.7	F28B12.2
F45E1.7	F32D1.1
F45E10.1	C34F11.9
F45E4.3	C12C8.2
F45E4.3	C47B2.5
F45E4.3	F32G8.6
F45F2.9	F23C8.13
F46A8.5	F17E5.1
F46A9.5	D2045.6
F46A9.6	F09E10.8
F46B6.5	C09H6.2
F46C8.5	F41D9.1
F46C8.6	F30F8.3
F46F3.4	C11E4.6
F46F3.4	F08F8.3
F46F3.4	F09E10.3
F46F3.4	F32D1.1
F46F3.4	F38E9.1
F47A4.3	C42D8.2
F47A4.3	C44B12.5
F47A4.3	F01F1.12
F47A4.3	F11C7.5
F47A4.3	F13D12.6
F47A4.3	F17C11.9
F47A4.3	F20H11.5
F47A4.3	F23A7.4
F47A4.3	F23A7.8
F47A4.3	F25B5.4
F47A4.3	F35E12.6
F47A4.3	F38E9.5
F47A4.3	F44C4.3
F47A4.3	F46H5.3
F47B10.8	B0336.6
F47D12.3	C10C6.1
F47G6.1	C50F2.8
F47G9.4	F23C8.13
F47G9.4	F28F5.3
F48A11.5	C06A1.1
F48A11.5	C41C4.8
F48D6.4	F44D12.4
F48E3.8	C09H6.2
F48E8.5	C23G10.8
F48F7.1	C06G1.4
F48F7.7	F13G11.1
F48G7.10	F18C5.4
F49B2.5	C02C6.1
F49B2.5	C05D10.4
F49B2.5	C06G1.5
F49B2.5	C08B11.5
F49B2.5	C09G1.4
F49B2.5	C11E4.6
F49B2.5	C25A11.4
F49B2.5	C26E6.2
F49B2.5	C49H3.6
F49B2.5	D1046.1
F49B2.5	EEED8.3
F49B2.5	F22E12.1
F49B2.5	F28B12.2
F49B2.5	F29G6.3
F49B2.5	F40F12.5
F49B2.5	F41B4.1
F49B2.5	F43B10.2
F49B2.5	F46F6.1
F49E2.2	B0454.9
F49E2.2	C07G1.5
F49E2.2	C09G1.4
F49E2.2	C18B2.5
F49E2.2	C26E1.2
F49E2.2	C33H5.15
F49E2.2	F10E9.8
F49E2.2	F29G6.3
F49E2.2	F32B4.4
F49E2.2	F36F2.3
F49E2.2	F45E6.2
F49E2.2	F46F3.4
F49E8.4	C34F11.9
F49H12.3	C10C6.1
F49H12.3	C34F11.9
F52B10.1	F47D12.4
F52B5.5	C34E10.5
F52C6.3	C09D1.1
F52C6.3	C35D10.2
F52C6.3	C44B7.1
F52C6.3	C52A11.4
F52C6.3	F18C5.4
F52C6.3	F35D2.5
F52D10.3	C25G4.6
F52D10.3	C46A5.9
F52D2.4	F28D1.10
F52E10.5	C01B7.5
F52E4.1	C29F9.5
F52E4.4	F23C8.13
F52E4.6	C34F11.9
F52F12.1	C09G1.4
F52F12.3	C44H4.5
F52G2.2	F49E2.2
F52H2.5	C01F6.6
F53A10.2	C25F6.2
F53A3.4	F45E1.7
