IDB	IDA
T21G5.4	T13B5.5
T21H8.5	T17H7.4
T22A3.2	C10C6.1
T22A3.2	C34F11.9
T22A3.3	B0336.6
T22A3.3	C09G1.4
T22A3.3	C09H6.2
T22A3.3	C33B4.3
T22A3.3	F17E5.1
T22A3.3	F32A5.6
T22A3.3	F45E1.7
T22A3.3	F49B2.5
T22A3.3	K07D4.7
T22A3.3	M79.1
T22D1.1	C18H9.7
T22D1.12	T18D3.7
T22D2.1	C18H9.7
T22H2.5	F25E2.5
T22H6.6	F28D1.10
T23C6.4	F43B10.2
T23F1.6	M02G9.1
T23F11.4	F49E2.2
T23F11.4	T11B7.4
T23G11.3	C09G1.4
T23G11.7	F46F3.4
T23G11.7	F49B2.5
T23G5.1	C52A11.4
T23G5.5	F56A8.7
T24B8.3	F13B10.1
T24C4.6	D2045.6
T24H10.6	F43B10.2
T25C8.2	B0207.4
T25C8.2	R13F6.1
T25E4.1	C09G1.4
T25G12.4	F08C6.3
T26A5.9	C23G10.8
T26A5.9	R07B7.2
T26A5.9	T25C8.2
T26E3.2	C52A11.4
T26E3.3	B0001.1
T26E3.3	C01F6.4
T26E3.3	C04D8.1
T26E3.3	C17H11.6
T26E3.3	C37C3.6
T26E3.3	C56G2.7
T26E3.3	F07A11.2
T26E3.3	F30H5.3
T26E3.3	F35D6.1
T26E3.3	F44G3.9
T26E3.3	F48E3.8
T26E3.3	R06F6.12
T26E3.3	T19C3.8
T26E4.1	F57F5.5
T26H10.1	T14A8.1
T27E9.1	C25F6.2
T27E9.1	C34G6.7
T27E9.1	F47A4.3
T27E9.1	F56D12.4
T27E9.1	R11A8.8
T27F2.2	C09G1.1
T27F2.2	F43C1.2
T27F2.2	F47B10.1
T27F2.2	K04D7.1
T27F2.2	T11B7.4
T27F2.3	B0207.4
T27F2.3	C16A11.2
T28C6.7	C35B8.2
T28C6.7	C46H11.6
T28C6.7	R13A5.1
T28C6.7	T22D1.9
T28F12.3	C35B8.2
T28F2.5	B0286.3
VF13D12L.3	F47A4.3
W01A11.3	C06C3.1
W01A11.3	C07D10.2
W01A11.3	C18C4.10
W01A11.3	C27H5.2
W01A11.3	F07A5.7
W01A11.3	F10E9.3
W01A11.3	F42H10.7
W01A11.3	F54D5.5
W01A11.3	T08E11.4
W01A11.3	T17H7.4
W01B6.9	F26H11.1
W01D2.5	F17E5.1
W01F3.3	T04D1.3
W01G7.5	B0464.7
W01G7.5	DY3.2
W01G7.5	M01D7.6
W02A2.7	F59B2.6
W02C12.3	B0303.7
W02C12.3	F56D12.4
W02D7.10	C09H6.2
W02G9.2	C02F5.9
W02G9.2	C34F11.9
W02G9.2	F25H2.9
W02G9.2	F45E4.3
W02G9.2	F56D12.4
W03C9.7	F59B2.6
W03D8.9	F54E7.3
W03F11.6	AC3.3
W03F11.6	B0207.4
W03F11.6	C03A7.14
W03F11.6	C18F3.4
W03F11.6	E01F3.1
W03F11.6	F33E2.2
W03F11.6	F43G6.4
W03F11.6	F49H12.3
W03F11.6	F54D10.7
W03F11.6	K04H4.2
W03F11.6	T06G6.3
W03F11.6	T10E10.4
W03G9.2	C03D6.6
W03G9.4	C50B6.14
W04A8.1	C52A11.4
W04B5.3	T04D1.3
W04C9.4	K01A6.2
W04D2.1	F39H11.2
W04D2.1	T19B10.5
W04D2.1	T28F2.5
W04E12.8	F47A4.3
W05H7.4	F49E2.2
W05H7.4	M28.7
W05H7.4	T04C9.1
W06H8.1	F58G6.1
W06H8.8	C25F6.2
W07B3.2	F55A11.8
W07B3.2	F55H12.6
W07B3.2	R08E3.4
W07E6.4	C35B8.2
W07E6.4	T18D3.7
W08G11.3	C09H6.2
W08G11.3	W03F11.6
W08G11.4	C12D8.10
W08G11.4	F28H6.1
W09C5.5	F25B5.4
W09D10.1	K07D4.7
W09D6.4	T17H7.4
W09G12.4	R107.8
W09G3.2	C34F11.9
W09H1.6	C25A11.4
W09H1.6	R11A8.8
W10C8.2	C08C3.1
W10C8.2	R10E11.1
W10D5.3	F28D1.10
W10D9.4	C35B8.2
W10D9.4	T26E3.3
W10G11.20	C08B11.6
W10G11.20	C26B2.1
W10G11.20	D2024.6
W10G11.20	M106.5
W10G6.2	H42K12.1
W10G6.2	R13H8.1
W10G6.2	T19E7.2
W10G6.2	W08G11.4
Y104H12A.1	C01G6.4
Y104H12A.1	C04F12.9
Y104H12A.1	C13B9.3
Y104H12A.1	C16A3.8
Y104H12A.1	F30A10.3
Y104H12A.1	W07B3.2
Y105C5B.13	Y104H12A.1
Y105C5B.19	C10C6.1
Y105C5B.19	C34F11.9
Y105C5B.19	F45E1.7
Y105C5B.21	K01A6.2
Y105E8A.26	C03A7.14
Y105E8A.26	C03A7.4
Y105E8A.26	C27F2.4
Y105E8A.26	C28A5.1
Y105E8A.26	F39G3.3
Y105E8A.26	F52C6.3
Y105E8A.26	M02D8.1
Y105E8A.26	M195.2
Y105E8A.26	R09B5.5
Y105E8A.26	T19D12.6
Y105E8A.26	T23C6.3
Y105E8A.6	C01B7.4
Y105E8A.6	C28H8.6
Y105E8A.6	F14D12.2
Y105E8A.6	K01A6.2
Y105E8A.6	T26E3.3
Y105E8B.1	K12D12.2
Y105E8B.4	F47A4.3
Y105E8B.5	C25G4.6
Y105E8B.5	C34F11.9
Y106G6D.7	F09E10.8
Y106G6D.7	K07D4.7
Y106G6D.7	M79.1
Y106G6D.7	R31.1
Y106G6H.14	C07D10.2
Y106G6H.14	C07G1.4
Y106G6H.14	C08B11.5
Y106G6H.14	C25A11.4
Y106G6H.14	C33B4.3
Y106G6H.14	C44B9.4
Y106G6H.14	C49H3.6
Y106G6H.14	F15B9.4
Y106G6H.14	F41G4.2
Y106G6H.14	F43B10.2
Y106G6H.14	F46H5.6
Y106G6H.14	F58B6.2
Y106G6H.14	JC8.10
Y106G6H.14	R02F2.5
Y106G6H.14	R06C1.3
Y106G6H.14	T17H7.4
Y108G3AL.1	B0547.1
Y108G3AL.1	C10C6.1
Y108G3AL.1	C34F11.9
Y108G3AL.1	F30F8.3
Y108G3AL.1	F45H11.2
Y108G3AL.1	K08F11.3
Y110A2AM.1	F32A5.6
Y110A2AM.1	F45E1.7
Y110A2AM.1	F49B2.5
Y110A2AR.2	F32A5.6
Y110A7A.10	F37H8.3
Y111B2A.1	C27A2.6
Y113G7A.6	C52A11.4
Y116A8C.36	B0286.3
Y116A8C.36	B0547.1
Y116A8C.36	C02C6.1
Y116A8C.36	C06A6.2
Y116A8C.36	C07G1.5
Y116A8C.36	C08B11.5
Y116A8C.36	C08F8.2
Y116A8C.36	C11E4.6
Y116A8C.36	C12D8.1
Y116A8C.36	C34E10.8
Y116A8C.36	C34G6.7
Y116A8C.36	C36C9.1
Y116A8C.36	F10D7.5
Y116A8C.36	F10E9.3
Y116A8C.36	F15C11.2
Y116A8C.36	F26H11.2
Y116A8C.36	F29F11.1
Y116A8C.36	F29G6.3
Y116A8C.36	F32D1.1
Y116A8C.36	F35B12.5
Y116A8C.36	F38B2.1
Y116A8C.36	F41H10.3
Y116A8C.36	F46F6.1
Y116A8C.36	F46H5.7
Y116A8C.36	F56D2.7
Y116A8C.36	F56D3.1
Y116A8C.36	F59E12.9
Y116A8C.36	F59G1.8
Y116A8C.36	JC8.10
Y116A8C.36	M01E11.7
Y116A8C.36	M110.5
Y116A8C.36	R10E12.1
Y116A8C.36	R144.2
Y116A8C.36	R160.1
Y116A8C.36	R166.1
Y116A8C.36	T01G1.3
Y116A8C.36	T03D8.1
Y116A8C.36	T04C10.2
Y116A8C.36	T05B11.3
Y116A8C.36	T06E4.1
Y116A8C.36	T20B5.1
Y116A8C.36	T20G5.1
Y116A8C.36	T22A3.3
Y116A8C.36	W02G9.2
Y116A8C.36	W09D10.1
Y116A8C.36	Y105E8B.1
Y116A8C.36	Y106G6D.7
Y119C1A.1	C10C6.1
Y119C1A.1	C14F5.5
Y119C1A.1	F43C1.2
Y119C1A.1	K10B3.10
Y11D7A.12	F19C7.8
Y11D7A.12	F41D9.1
Y11D7A.12	K07D4.7
Y11D7A.14	C09G1.4
Y11D7A.14	T26E3.3
Y15E3A.1	F55H12.6
Y17G7B.19	F49E2.2
Y17G9B.9	C25F6.2
Y18D10A.5	T12G3.1
Y20F4.2	C03D6.6
Y20F4.3	B0547.1
Y20F4.3	C05D10.4
Y20F4.3	C47E12.2
Y20F4.3	C55A6.9
Y20F4.3	E02D9.1
Y20F4.3	F23H12.5
Y20F4.3	F25E2.3
Y20F4.3	F32G8.6
Y20F4.3	R144.2
Y22D7AL.5	C45G9.7
Y22D7AL.5	C50F2.8
Y22F5A.3	F43B10.2
Y22F5A.3	F56A8.7
Y23H5A.5	C02C6.1
Y23H5A.5	F47G6.1
Y24F12A.2	T24F1.1
Y32H12A.4	F08F8.3
Y32H12A.4	F56C9.1
Y34B4A.8	T04D1.3
Y37A1B.15	F28D1.10
Y37A1B.17	B0286.3
Y37A1B.17	B0304.1
Y37A1B.17	B0393.2
Y37A1B.17	B0547.1
Y37A1B.17	C02C6.1
Y37A1B.17	C05D10.4
Y37A1B.17	C05D2.5
Y37A1B.17	C06C3.1
Y37A1B.17	C06G1.5
Y37A1B.17	C07G1.4
Y37A1B.17	C09G1.4
Y37A1B.17	C10C6.1
Y37A1B.17	C26C6.5
Y37A1B.17	C35B8.2
Y37A1B.17	C49H3.6
Y37A1B.17	D1046.1
Y37A1B.17	F10C1.2
Y37A1B.17	F10D11.2
Y37A1B.17	F10D7.5
Y37A1B.17	F10E9.3
Y37A1B.17	F13G3.4
Y37A1B.17	F22E12.1
Y37A1B.17	F25E2.4
Y37A1B.17	F28F5.3
Y37A1B.17	F29F11.1
Y37A1B.17	F29G6.3
Y37A1B.17	F32D1.1
Y37A1B.17	F34D10.4
Y37A1B.17	F35B12.5
Y37A1B.17	F42C5.10
Y37A1B.17	F42G4.3
Y37A1B.17	F56D3.1
Y37A1B.17	F59E12.9
Y37A1B.17	H14A12.2
Y37A1B.17	H14N18.1
Y37A1B.17	JC8.10
Y37A1B.17	R07G3.3
Y37A1B.17	R144.2
Y37A1B.17	T01G1.3
Y37A1B.17	T03D8.1
Y37A1B.17	T04C10.2
Y37A1B.17	T12D8.8
Y37A1B.17	T20F5.6
Y37A1B.17	T22A3.3
Y37A1B.17	Y110A2AM.1
Y37A1B.2	C07G1.4
Y37A1B.2	F32D1.1
Y37A1B.2	JC8.10
Y37A1B.2	M79.1
Y37D8A.10	T25C8.2
Y37D8A.6	T27F2.2
Y37D8A.9	C23G10.3
Y37D8A.9	F41H10.4
Y37D8A.9	K07F5.13
Y37D8A.9	K08E3.6
Y37D8A.9	R05D3.4
Y37D8A.9	W10G6.3
Y37E11AL.3	T05C12.6
Y37E11AR.1	K01A6.2
Y37E3.11	C01B7.4
Y37H2A.4	F23C8.13
Y38C1AA.2	B0547.1
Y38C1AA.7	F54E7.3
Y38C1AB.8	B0547.1
Y38C1AB.8	C25B8.1
Y38C1AB.8	D1005.1
Y38C1AB.8	F33E2.2
Y38C1AB.8	F46G10.6
Y38C1AB.8	K04H4.2
Y38C1AB.8	T08H4.1
Y38C1AB.8	T22D2.1
Y38C1AB.8	W04D2.1
Y38C1AB.8	W08E12.3
Y38C1AB.8	Y105E8B.4
Y38C1BA.2	B0336.6
Y38C1BA.2	F49B2.5
Y38C1BA.2	M28.7
Y38C1BA.2	Y105E8A.26
Y38E10A.6	T05C12.6
Y39A1A.3	C34F11.9
Y39A1A.3	T05C12.6
Y39A1C.3	F23C8.13
Y39A3CL.2	B0286.3
Y39A3CL.2	C09G1.4
Y39A3CL.2	C49H3.6
Y39A3CL.2	F07A5.7
Y39A3CL.2	F19C7.8
Y39A3CL.2	F23B12.5
Y39A3CL.2	F26A10.2
Y39A3CL.2	F35B12.5
Y39A3CL.2	F49E11.1
Y39A3CL.2	K04G7.1
Y39A3CL.2	T07C4.1
Y39A3CL.2	T20F7.5
Y39A3CL.2	W09C3.4
Y39A3CL.2	Y38C1BA.2
Y39A3CL.2	Y39A1A.14
Y39A3CL.6	Y105E8A.26
Y39B6A.12	C34F11.9
Y39B6A.12	W03F11.6
Y39B6A.16	C52A11.4
Y39B6A.2	AC3.3
Y39B6A.2	C33A11.2
Y39B6A.2	D1007.12
Y39B6A.2	T23F1.6
Y39B6A.20	C09H6.2
Y39B6A.20	F30F8.3
Y39B6A.38	C33B4.3
Y39B6A.46	C01B7.4
Y39B6A.46	C09G1.4
Y39B6A.46	C10C6.1
Y39B6A.46	C33B4.3
Y39B6A.46	C34F11.9
Y39B6A.46	C43E11.6
Y39B6A.46	F49E2.2
Y39B6A.46	K10B3.10
Y39B6A.46	T26E3.3
Y39B6A.46	W03F11.6
Y39B6A.46	Y38C1AB.8
Y39E4B.8	F47A4.3
Y39G10AR.13	K07C11.2
Y39G10AR.13	T27F2.3
Y39G10AR.15	C09H6.2
Y39G10AR.17	C34G6.7
Y39G10AR.17	F45E1.7
Y39G10AR.17	K11E4.4
Y40B1A.3	Y106G6H.14
Y40B1B.5	F43B10.2
Y40C5A.1	C34F11.9
Y40C5A.1	Y106G6H.14
Y41C4A.10	T25C8.2
Y41C4A.14	T12G3.1
Y41D4A.5	Y37A1B.17
Y41D4B.13	B0286.3
Y41D4B.13	F52C6.3
Y41D4B.13	T20G5.1
Y41D4B.13	T25F10.6
Y41D4B.19	R13F6.9
Y41E3.9	K01G5.1
Y42A5A.2	C27A2.6
Y42G9A.1	W03F11.6
Y43C5A.6	C02F5.6
Y43C5A.6	Y116A8C.1
Y43F11A.5	Y41C4A.14
Y43F8C.6	B0336.6
Y43F8C.6	K07D4.7
Y43F8C.6	R31.1
Y43F8C.6	Y116A8C.36
Y43F8C.6	Y37A1B.17
Y43H11AL.1	F32A5.6
Y44E3A.4	C01H6.7
Y44E3A.4	C18F3.2
Y44E3A.4	C25B8.3
Y44E3A.4	C31C9.6
Y44E3A.4	C35B8.2
Y44E3A.4	C50E10.4
Y44E3A.4	F09F7.5
Y44E3A.4	F10E9.3
Y44E3A.4	F29D10.4
Y44E3A.4	F29G6.3
Y44E3A.4	F42H10.3
Y44E3A.4	F52G2.3
Y44E3A.4	F57F5.1
Y44E3A.4	R02F2.5
Y44E3A.4	T08G5.5
Y44E3A.4	T27E9.1
Y44E3A.4	Y105E8A.21
Y44E3A.4	Y116A8C.36
Y44E3A.6	Y44E3A.4
Y44E3B.1	D1005.3
Y45F10D.13	D1037.1
Y45F10D.13	F10E9.3
Y45F10D.13	F32A5.6
Y45F10D.13	F43D9.2
Y45F10D.13	F59E12.9
Y45F10D.13	JC8.10
Y45F10D.13	K02C4.5
Y45F10D.13	R06F6.12
Y45F10D.13	R10E12.1
Y45F10D.13	T11B7.4
Y45F10D.13	T23G11.7
Y45F10D.13	Y43F8C.6
Y45F10D.9	F10E9.8
Y45G12C.2	C34F11.9
Y45G5AM.1	T04C9.1
Y46G5A.1	F30A10.8
Y46G5A.1	Y38C1AB.8
Y46G5A.10	C08B11.5
Y46G5A.10	C09G1.4
Y46G5A.10	Y37A1B.17
Y47D3A.6	C14F5.5
Y47D3A.6	C35B8.2
Y47D3A.6	T19C3.8
Y47G6A.14	F44D12.4
Y47G6A.5	T07C4.1
Y47G6A.8	C41D11.8
Y47H9C.10	C09H6.2
Y47H9C.4	C05D9.1
Y47H9C.4	C33B4.3
Y48A6B.11	K01A6.2
Y48A6B.4	F30F8.3
Y48B6A.14	C03D6.6
Y48C3A.12	F49B2.5
Y48E1B.1	Y106G6H.14
Y48E1B.12	B0207.4
Y48E1B.12	C09H6.2
Y48E1B.12	K01A6.2
Y48E1B.12	W03F11.6
Y48E1B.12	Y39G10AR.13
Y48E1B.3	F17E5.1
Y48G1C.10	C33B4.3
Y49E10.1	T28C6.7
Y49E10.14	F26F12.7
Y49E10.14	Y113G7B.17
Y49F6C.8	C09H6.2
Y4C6B.1	C35B8.2
Y4C6B.1	Y106G6H.14
Y50D4C.1	K11E4.4
Y50D4C.1	Y106G6H.14
Y50D4C.1	Y45F10D.13
Y51A2D.11	Y38C1AB.8
Y51A2D.15	C34F11.9
Y51B9A.3	C03A7.4
Y51B9A.3	C03A7.8
Y51B9A.3	C07E3.2
Y51B9A.3	F07H5.8
Y51B9A.3	F37C4.5
Y51B9A.3	F52C6.3
Y51B9A.3	T18D3.7
Y51F10.2	F45E1.7
Y51F10.2	K07D4.7
Y51H4A.17	C06A6.2
Y51H4A.4	F17A9.3
Y51H7C.3	C45G9.7
Y51H7C.7	F43B10.2
Y52B11A.8	K01A6.2
Y53C12B.3	F29D10.4
Y53F4B.22	W10G11.20
Y53F4B.22	Y39A3CL.2
Y53H1A.1	DH11.5
Y53H1A.1	F09E10.8
Y53H1A.2	K08E3.7
Y53H1B.2	Y38C1AB.8
Y53H1C.2	T04D1.3
Y54E10A.15	M18.5
Y54E10A.5	W10G11.20
Y54E10A.9	F36A2.1
Y54E2A.11	C01B7.5
Y54E2A.11	W04D2.1
Y54E2A.3	Y37A1B.17
Y54E2A.3	Y45F10D.9
Y54E5A.1	T18D3.7
Y54E5B.3	C24H11.9
Y54F10AM.5	C09H6.2
Y54F10BM.2	C35B8.2
Y54G2A.11	T17H7.4
Y54G2A.17	C03D6.6
Y55B1AL.1	F42H10.3
Y55B1AR.1	C25F6.2
Y55B1BR.2	T04D1.3
Y55B1BR.2	Y37A1B.17
Y55B1BR.4	B0286.3
Y55B1BR.4	F44G3.9
Y55B1BR.4	MTCE.25
Y55B1BR.4	T25F10.6
Y55B1BR.4	W02C12.3
Y55F3AM.15	B0547.1
Y55F3AM.15	C14F11.4
Y55F3BR.1	F13B10.1
Y55F3BR.6	C01B7.5
Y55F3BR.6	C34F11.9
Y55F3BR.8	F28B12.3
Y56A3A.1	T13F2.8
Y56A3A.12	K01A6.2
Y56A3A.20	C30G12.7
Y56A3A.4	R119.6
Y57A10A.1	K09B11.9
Y57A10A.1	Y116A8C.36
Y57A10A.18	F09E10.8
Y57A10A.18	F32A5.6
Y57A10A.18	F49B2.5
Y57A10A.18	Y116A8C.36
Y57A10A.18	Y45F10D.13
Y57A10A.24	F35G12.9
Y57A10A.24	F39H11.5
Y57A10A.24	F43C1.2
Y57A10A.24	K10D2.4
Y57A10A.24	R06A4.4
Y57A10A.24	Y39B6A.1
Y57A10A.8	Y55B1BR.4
Y57E12AL.5	F36A4.7
Y57G11A.2	F30F8.3
Y57G11C.22	C04C3.3
Y57G11C.22	C05D12.5
Y57G11C.22	C27D8.3
Y57G11C.22	F52H3.3
Y57G11C.22	K04H4.2
Y57G11C.22	Y116A8C.36
Y57G11C.24	B0336.6
Y57G11C.24	C05D10.4
Y57G11C.24	F28F5.3
Y57G11C.24	F32A5.6
Y57G11C.24	F32B4.4
Y57G11C.24	F42H10.3
Y57G11C.24	F46G10.1
Y57G11C.24	F49B2.5
Y57G11C.24	F53B3.3
Y57G11C.24	F54C9.11
Y57G11C.24	F54D5.3
Y57G11C.24	F58E10.5
Y57G11C.24	F59F3.6
Y57G11C.24	H12D21.6
Y57G11C.24	M03F4.2
Y57G11C.24	R02F2.5
Y57G11C.24	R31.1
Y57G11C.24	T11B7.1
Y57G11C.24	T27F7.1
Y57G11C.24	VM106R.1
Y57G11C.24	W09G10.3
Y57G11C.24	Y106G6H.14
Y57G11C.24	Y116A8C.36
Y57G11C.24	Y39B6A.11
Y57G11C.24	Y47D9A.2
Y57G11C.24	Y54E2A.3
Y57G11C.4	T05G5.8
Y59A8A.1	K08F11.3
Y59A8A.1	Y108G3AL.1
Y59A8B.10	C09D1.1
Y59A8B.10	C09H6.2
Y59A8B.10	C14F5.5
Y59A8B.10	C26C6.8
Y59A8B.10	F45E4.3
Y59A8B.9	B0218.3
Y59A8B.9	Y48A6B.11
Y61A9LA.11	R02F11.1
Y61A9LA.3	C52A11.4
Y61A9LA.4	C01B7.4
Y61A9LA.9	T11B7.4
Y62E10A.11	W07B3.2
Y62E10A.14	C52A11.4
Y62F5A.1	F45E1.7
Y63D3A.5	C35B8.2
Y63D3A.5	Y116A8C.36
Y63D3A.5	Y55B1BR.4
Y65B4BR.4	C27A2.3
Y65B4BR.4	Y116A8C.36
Y66D12A.16	T05H4.14
Y66D12A.5	F47D12.4
Y66H1B.2	F01G10.8
Y66H1B.2	F17E5.1
Y66H1B.2	M03D4.1
Y66H1B.2	Y116A8C.36
Y66H1B.2	Y44E3A.4
Y66H1B.4	C01F6.6
Y67H2A.5	F13B10.1
Y67H2A.6	B0547.1
Y69A2AR.2	Y104H12A.1
Y69A2AR.30	M79.1
Y69H2.3	C52A11.4
Y69H2.3	F44D12.1
Y69H2.3	T26E3.3
Y6B3A.1	Y41C4A.10
Y71F9AL.14	W10G11.20
Y71F9AM.4	C06A8.5
Y71F9AM.4	C06G3.10
Y71F9AM.4	F33E11.3
Y71F9AM.4	W04D2.1
Y71F9AM.4	W05H9.1
Y71F9AM.4	W10G6.3
Y71F9B.10	T04C9.1
Y71F9B.3	F54E7.3
Y71F9B.4	C01F6.8
Y71H2AM.15	T17H7.4
Y71H2AM.15	W07B3.2
Y71H2B.10	C07G1.5
Y71H2B.10	Y116A8C.36
Y73B6BL.2	C03D6.6
Y73B6BL.33	T26E3.3
Y73B6BL.38	Y43E12A.1
Y73C8B.4	R107.8
Y73C8C.8	C09G1.4
Y73C8C.8	C09H6.2
Y73C8C.8	C52A11.4
Y73C8C.8	Y57G11C.22
Y73F8A.1	B0205.7
Y73F8A.1	C02F4.2
Y73F8A.1	T01G9.6
Y73F8A.26	F30F8.3
Y73F8A.8	B0303.7
Y73F8A.8	C10F3.6
Y73F8A.8	C26C6.8
Y73F8A.8	F19C7.8
Y73F8A.8	F35A5.8
Y73F8A.8	F56D12.4
Y73F8A.8	K08E3.3
Y73F8A.8	K11D12.10
Y73F8A.8	M28.7
Y73F8A.8	T01E8.3
Y73F8A.8	T28F2.5
Y73F8A.8	Y37A1B.17
Y73F8A.8	Y39A3CL.2
Y73F8A.8	Y55B1BR.4
Y74C10AL.2	C50D2.3
Y75B7AL.4	F49B2.5
Y75B8A.2	C56C10.8
Y75B8A.2	T25C8.2
Y76B12C.2	C02F5.7
Y77E11A.2	C01F6.6
Y77E11A.2	C09D1.1
Y77E11A.2	C14F5.5
Y77E11A.2	C26C6.8
Y77E11A.2	Y116A8C.36
Y77E11A.7	C34F11.9
Y77E11A.7	K01A6.2
Y77E11A.7	T26E3.3
Y79H2A.1	C33B4.3
Y79H2A.1	C52A11.4
Y79H2A.1	F25E2.5
Y79H2A.1	K01A6.2
Y79H2A.1	R06A4.4
Y79H2A.1	W03F11.6
Y79H2A.1	Y54E10A.9
Y79H2A.1	Y57G11C.22
Y79H2A.11	C18D11.4
Y79H2A.11	Y54E2A.3
Y79H2A.11	Y59A8B.9
Y79H2A.3	F32A5.6
Y82E9BR.15	C01F6.4
Y82E9BR.15	F59B2.6
Y82E9BR.15	T19C3.8
Y82E9BR.15	Y47D3A.6
Y87G2A.10	CD4.4
Y87G2A.10	T17H7.4
Y87G2A.4	F37A4.7
Y92C3B.1	W01B6.9
Y92C3B.2	H20J04.8
Y92H12A.1	B0286.3
Y92H12A.1	B0379.3
Y92H12A.1	C01G12.1
Y92H12A.1	C02C6.1
Y92H12A.1	C05C8.4
Y92H12A.1	C05D10.4
Y92H12A.1	C06G1.5
Y92H12A.1	C07G1.4
Y92H12A.1	C08B11.5
Y92H12A.1	C09G1.4
Y92H12A.1	C26E6.2
Y92H12A.1	C27A2.6
Y92H12A.1	C44B9.4
Y92H12A.1	C46H11.11
Y92H12A.1	C49H3.6
Y92H12A.1	D1007.7
Y92H12A.1	D1037.1
Y92H12A.1	F01F1.6
Y92H12A.1	F10D7.5
Y92H12A.1	F13H6.1
Y92H12A.1	F22E12.1
Y92H12A.1	F25B5.7
Y92H12A.1	F26G5.9
Y92H12A.1	F29F11.1
Y92H12A.1	F29G6.3
Y92H12A.1	F32D1.1
Y92H12A.1	F32D8.7
Y92H12A.1	F35D2.5
Y92H12A.1	F41G4.2
Y92H12A.1	F42C5.10
Y92H12A.1	F43B10.2
Y92H12A.1	F45B8.3
Y92H12A.1	F46F6.1
Y92H12A.1	F46H5.6
Y92H12A.1	F54D5.15
Y92H12A.1	F54G8.4
Y92H12A.1	F55A11.3
Y92H12A.1	F56D2.7
Y92H12A.1	F59E12.9
Y92H12A.1	H28G03.2
Y92H12A.1	JC8.10
Y92H12A.1	K02C4.5
Y92H12A.1	K11E8.1
Y92H12A.1	R02F2.5
Y92H12A.1	R06C1.3
Y92H12A.1	R11A8.7
Y92H12A.1	R144.2
Y92H12A.1	R148.3
Y92H12A.1	T11B7.4
Y92H12A.1	T17H7.4
Y92H12A.1	T19B4.7
Y92H12A.1	T22A3.3
Y92H12A.1	W07G1.3
Y92H12A.1	Y106G6D.7
Y92H12A.1	Y110A2AM.1
Y92H12A.1	Y113G7B.23
Y92H12A.1	Y37A1B.2
Y92H12A.1	Y38C1BA.2
Y92H12A.1	Y43F8C.6
Y92H12A.1	Y45F10D.13
Y92H12A.1	Y48B6A.6
Y92H12A.1	Y48C3A.12
Y92H12A.1	Y48E1B.1
Y92H12A.1	Y48G9A.4
Y92H12A.1	Y50D4C.1
Y92H12A.1	Y53H1A.1
Y92H12A.1	Y57A10A.18
Y92H12A.1	Y57G11C.24
Y92H12A.1	Y63D3A.5
Y92H12A.1	Y73F8A.8
Y92H12A.2	T05C12.6
Y94H6A.9	C06A1.1
Y95B8A.2	C52A11.3
Y95B8A.2	F30F8.3
ZC15.3	F45E4.3
ZC155.5	T05G5.8
ZC168.4	Y65B4BR.4
ZC196.4	R03D7.6
ZC239.14	F49E2.2
ZC373.5	C09G1.4
ZC376.4	F18C5.4
ZC376.7	C48E7.11
ZC395.8	C09D1.1
ZC395.8	C25F6.2
ZC395.8	C34F11.9
ZC395.8	F45E1.7
ZC395.8	T11B7.1
ZC395.8	Y37A1B.17
ZC416.1	T17H7.4
ZC455.1	C09G4.3
ZC455.1	C50F4.1
ZC455.1	T07D4.2
ZC455.1	T22D1.12
ZC455.1	W07B3.2
ZC477.9	T04D1.3
ZC477.9	Y105E8A.6
ZC504.4	B0303.7
ZC8.4	Y116A8C.36
ZK1053.3	K01A6.2
ZK1053.5	B0303.7
ZK1053.5	F19C7.8
ZK1053.5	Y39A3CL.2
ZK1053.5	Y92H12A.1
ZK1055.7	Y105E8A.26
ZK1055.7	Y51B9A.3
ZK1058.2	C16C10.5
ZK1058.2	C29F9.7
ZK1058.2	T21D12.4
ZK1067.1	F30A10.8
ZK1067.7	C52A11.4
ZK1067.7	F44D12.1
ZK1067.7	W03F11.6
ZK1098.10	B0478.1
ZK1098.10	C39E9.14
ZK1098.10	F35C8.3
ZK1098.2	Y49E10.15
ZK1098.4	C34F11.9
ZK1128.2	R07B7.2
ZK1128.8	C05D9.1
ZK1151.1	F59D8.1
ZK1151.1	W10G6.3
ZK1151.1	Y46G5A.19
ZK121.2	C09H6.2
ZK121.2	Y38C1AB.8
ZK1236.3	C50E10.4
ZK1248.10	Y44E3A.4
ZK1248.3	C07G1.5
ZK1248.3	C14F5.5
ZK1248.3	C34G6.7
ZK1248.3	C36E8.4
ZK1248.3	F32A5.6
ZK1248.3	T04C9.1
ZK1248.3	T04D1.3
ZK1248.3	T05B11.3
ZK1248.3	T20B5.1
ZK1248.3	T20G5.1
ZK1248.3	Y106G6H.14
ZK1248.3	Y37A1B.15
ZK1248.3	Y37A1B.17
ZK1248.3	Y71H2B.10
ZK1248.3	Y92H12A.1
ZK1307.9	T11B7.1
ZK131.11	Y104H12A.1
ZK20.3	C02F5.7
ZK265.4	Y57G11C.24
ZK270.2	C14F5.5
ZK270.2	C26C6.8
ZK270.2	F35A5.8
ZK287.6	C34F11.9
ZK353.6	C09H6.2
ZK353.8	C06A1.1
ZK353.8	C41C4.8
