NumFracs	NumPPIs	Precision	Recall	FM	auc_pr	auc_roc
100	7039996	0.430879712747	0.21978021978	0.291085506367	0.404911509324	0.572692269008
100	6934471	0.423529411765	0.197802197802	0.269662921348	0.392489081451	0.564402154991
100	6970875	0.40586797066	0.152014652015	0.221185876083	0.365434866353	0.547492892776
100	7076334	0.3947858473	0.194139194139	0.260282381829	0.376659419655	0.558933009414
100	7013527	0.457711442786	0.252747252747	0.325663716814	0.431448290416	0.588002352025
100	7028678	0.336886993603	0.144688644689	0.202434336963	0.328028618698	0.535850541542
100	7087704	0.416666666667	0.178571428571	0.25	0.381403841193	0.557250980655
100	7131427	0.376811594203	0.190476190476	0.25304136253	0.366214413543	0.554871983997
100	7002100	0.359307359307	0.152014652015	0.213642213642	0.342154560677	0.541273695404
100	7013608	0.405241935484	0.184065934066	0.25314861461	0.377878294947	0.557416679776
100	7192154	0.317757009346	0.124542124542	0.178947368421	0.310445288969	0.528006805054
100	7118141	0.417004048583	0.188644688645	0.259773013871	0.385581700951	0.560527460492
100	7040364	0.438661710037	0.216117216117	0.289570552147	0.407344628405	0.572620917376
100	7026726	0.372384937238	0.163003663004	0.226751592357	0.353066988333	0.546298827512
100	7204488	0.387096774194	0.186813186813	0.252007411983	0.369899123974	0.555504692444
100	6892616	0.418300653595	0.175824175824	0.247582205029	0.381127424984	0.556581414361
100	7230069	0.402597402597	0.17032967033	0.239382239382	0.37108898014	0.552778071494
100	7147282	0.348387096774	0.148351648352	0.208092485549	0.335236549847	0.538620790146
100	7145854	0.344897959184	0.154761904762	0.213653603034	0.336043270288	0.539713738112
100	7157401	0.443622920518	0.21978021978	0.293937538273	0.411283113209	0.574569762554
100	7121560	0.420718816068	0.182234432234	0.254313099042	0.384887795457	0.55896513914
100	7139617	0.420183486239	0.209706959707	0.279780085522	0.395554227269	0.567772982318
100	7022516	0.349716446125	0.169413919414	0.228254164096	0.344284032013	0.544340848465
100	6867761	0.326359832636	0.142857142857	0.19872611465	0.322036098432	0.533644013813
100	6998913	0.399176954733	0.177655677656	0.24588086185	0.372294515335	0.554563581611
100	6967396	0.44982078853	0.229853479853	0.304242424242	0.418391216015	0.578902332511
100	7219289	0.396616541353	0.193223443223	0.259852216749	0.377210296791	0.558944507343
100	7120733	0.385454545455	0.194139194139	0.258221680877	0.371993768732	0.557407545908
100	6837967	0.374340949033	0.195054945055	0.256472004816	0.366801440412	0.555753241126
100	7010622	0.372950819672	0.166666666667	0.230379746835	0.354807809114	0.547426269264
100	7153071	0.32	0.14652014652	0.201005025126	0.320314061678	0.533363335405
100	7176625	0.333333333333	0.14652014652	0.203562340967	0.326980728344	0.535710202338
100	7112534	0.442148760331	0.195970695971	0.271573604061	0.401069815952	0.566302644395
100	7107316	0.34375	0.141025641026	0.2	0.330002242332	0.536013876603
100	7170987	0.426530612245	0.191391941392	0.264222503161	0.391438392455	0.562722490292
100	7102951	0.417004048583	0.188644688645	0.259773013871	0.385581700951	0.560527460492
100	7106985	0.395505617978	0.161172161172	0.229017566688	0.363898388921	0.549020720342
100	7145856	0.418511066398	0.190476190476	0.261799874135	0.38706414964	0.561325868061
100	7103083	0.362694300518	0.128205128205	0.189445196211	0.334371814119	0.535236100831
100	7223053	0.281779661017	0.121794871795	0.170076726343	0.291363205132	0.521118041389
100	6828737	0.370709382151	0.148351648352	0.211903204709	0.346397692535	0.541906403852
100	7144670	0.421441774492	0.208791208791	0.279240661359	0.395818901505	0.5676671369
100	7060347	0.377649325626	0.179487179487	0.243327126009	0.362259640563	0.551841688781
100	6804256	0.464530892449	0.185897435897	0.265533028123	0.408251713211	0.565490374837
100	7087410	0.437969924812	0.21336996337	0.286945812808	0.40590532612	0.571599321042
100	6901938	0.414965986395	0.167582417582	0.238747553816	0.376179862366	0.55351662536
100	7105740	0.353846153846	0.147435897436	0.20814479638	0.337601608492	0.539219004808
100	6978418	0.389112903226	0.17673992674	0.243073047859	0.366898019691	0.55281492934
100	7178125	0.390018484288	0.193223443223	0.258420085732	0.373911268258	0.557888417223
100	7078505	0.365432098765	0.135531135531	0.197728790915	0.33865647237	0.537608327681
100	7015283	0.397752808989	0.162087912088	0.230318802863	0.365386454318	0.549595939147
100	6976835	0.36018957346	0.139194139194	0.200792602378	0.33749308928	0.537914366006
100	7060085	0.437379576108	0.207875457875	0.281812538796	0.403423332422	0.569673471721
100	7066019	0.374345549738	0.130952380952	0.194029850746	0.341290848402	0.537431130631
100	7024040	0.416851441242	0.172161172161	0.243681140635	0.378944939244	0.555219285916
100	7199509	0.49063670412	0.239926739927	0.322263222632	0.44280834261	0.588045979679
100	7063046	0.400402414487	0.182234432234	0.250471994965	0.374729594666	0.556148898821
100	6954160	0.458544839255	0.248168498168	0.322043969103	0.430042639196	0.586534378162
100	7144908	0.416490486258	0.180402930403	0.251757188498	0.38204469077	0.557814701531
100	7025337	0.351893095768	0.144688644689	0.20506164828	0.33553166978	0.538197408474
100	7248792	0.434869739479	0.198717948718	0.272784412319	0.398523715199	0.566268150609
100	7196479	0.402173913043	0.169413919414	0.238402061856	0.370512765472	0.552437539383
100	7114480	0.383259911894	0.159340659341	0.22509702458	0.357046596098	0.546814192613
100	7160077	0.415708812261	0.198717948718	0.268897149938	0.38894325159	0.563569253636
100	7262067	0.454391891892	0.246336996337	0.319477434679	0.427237225732	0.585266597206
100	7155932	0.347457627119	0.150183150183	0.209718670077	0.335500754801	0.538949824329
100	7183134	0.501838235294	0.25	0.333740831296	0.452418276997	0.593199953063
100	7201903	0.345703125	0.162087912088	0.220698254364	0.339361612323	0.541733934922
100	7043202	0.442827442827	0.195054945055	0.270820089002	0.401044687309	0.56607945563
100	7083196	0.405462184874	0.17673992674	0.246173469388	0.375072660515	0.555161796273
100	7217602	0.403254972875	0.204212454212	0.271124620061	0.384903151242	0.563382922718
100	6819175	0.40133037694	0.165750915751	0.234607906675	0.368633117857	0.551192754285
100	7091574	0.419664268585	0.160256410256	0.231941683234	0.375613244334	0.551731115243
100	7100246	0.357314148681	0.136446886447	0.197481776011	0.334961967218	0.536775426326
100	7103045	0.513377926421	0.281135531136	0.363313609467	0.470580098851	0.606420851698
100	7033890	0.448516579407	0.235347985348	0.308708708709	0.419925930799	0.580593495138
100	7101386	0.399224806202	0.188644688645	0.256218905473	0.37669207976	0.557945906866
