Source	Windowsize	Entropy	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
all_0208	1	0.000000	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.000000	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.002404	0.8125	0.00839793281654	0.0166240409207	0.493082472007	0.504005167959
all_0208	1	0.002404	0.0	0.0	0.0	0.0833333333333	0.499935400517
all_0208	1	0.004463	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.004463	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.004463	0.7	0.00452196382429	0.00898587933248	0.435217484927	0.502067183463
all_0208	1	0.006392	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.006392	0.0	0.0	0.0	0.0833333333333	0.499870801034
all_0208	1	0.006392	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.006392	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.006392	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.008236	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.008236	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.008236	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.008236	0.0	0.0	0.0	0.0833333333333	0.499935400517
all_0208	1	0.010017	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.010017	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.011749	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.011749	0.166666666667	0.000645994832041	0.001287001287	0.16693583118	0.5
all_0208	1	0.011749	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.015092	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.015092	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.016715	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.027424	0.534090909091	0.0303617571059	0.0574572127139	0.363029520006	0.512532299742
all_0208	1	0.028881	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.028881	0.593023255814	0.0329457364341	0.062423500612	0.393572351421	0.514211886305
all_0208	1	0.030324	0.630952380952	0.205426356589	0.309941520468	0.484403839055	0.590697674419
all_0208	1	0.031752	0.658610271903	0.140826873385	0.232038318254	0.471316333195	0.56311369509
all_0208	1	0.040070	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.042758	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.051888	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.053161	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.071494	0.564781021898	0.399870801034	0.468229954614	0.532336678046	0.669121447028
all_0208	1	0.072671	0.621856866538	0.415374677003	0.498063516654	0.567334548687	0.682428940568
all_0208	1	0.073844	0.558580858086	0.437338501292	0.490579710145	0.544848137915	0.684108527132
all_0208	1	0.076175	0.577386468953	0.402454780362	0.474305291207	0.539716059627	0.67177002584
all_0208	1	0.076175	0.52855993564	0.424418604651	0.470798996775	0.524454386424	0.674354005168
all_0208	1	0.078487	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.078487	0.553154710458	0.413436692506	0.473197781885	0.532175977107	0.673320413437
all_0208	1	0.078487	0.529953917051	0.371447028424	0.43676414736	0.503079887035	0.652777777778
all_0208	1	0.080782	0.678048780488	0.448966408269	0.5402254178	0.609427060356	0.703165374677
all_0208	1	0.080782	0.551440329218	0.432816537468	0.484980094101	0.539393721887	0.681201550388
all_0208	1	0.084191	0.581640942323	0.462532299742	0.515293270961	0.566875596054	0.697997416021
all_0208	1	0.084191	0.549305095963	0.536175710594	0.542661000327	0.581392427396	0.724095607235
all_0208	1	0.087563	0.477580813347	0.295865633075	0.365376944555	0.445401087122	0.615568475452
all_0208	1	0.089792	0.523299748111	0.536821705426	0.529974489796	0.568658917983	0.719509043928
all_0208	1	0.089792	0.547277936963	0.49354005168	0.51902173913	0.562613990015	0.705943152455
all_0208	1	0.089792	0.515532544379	0.450258397933	0.480689655172	0.528707271328	0.682816537468
all_0208	1	0.089792	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.093106	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.097474	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.098557	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.098557	0.527536231884	0.470284237726	0.497267759563	0.543053214995	0.693023255814
all_0208	1	0.100714	0.525360050094	0.541989664083	0.533545310016	0.571842385081	0.722028423773
all_0208	1	0.101787	0.557509157509	0.491602067183	0.52248541023	0.566922106748	0.706782945736
all_0208	1	0.102857	0.546085858586	0.558785529716	0.552362707535	0.589203566674	0.732945736434
all_0208	1	0.106047	0.495605138607	0.473514211886	0.484307895606	0.528433490923	0.688565891473
all_0208	1	0.108159	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.108159	0.540389972145	0.501291989664	0.520107238606	0.562399981766	0.708010335917
all_0208	1	0.112345	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.118538	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.118538	0.44630071599	0.120801033592	0.19013726487	0.356817455325	0.545413436693
all_0208	1	0.121598	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.129643	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.130637	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.130637	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.130637	0.508554572271	0.55684754522	0.531606537157	0.569630429977	0.724612403101
all_0208	1	0.131629	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.132619	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.135574	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.136554	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.140452	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.140452	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.142388	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.142388	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.144315	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.145276	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.145276	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.148144	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.149096	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.150994	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.151940	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.152884	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.155704	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.156640	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.159437	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.159437	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.160365	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.162216	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.163139	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.166812	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.168638	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.171364	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.173172	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.174074	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.174974	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.175872	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.176769	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.178557	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.182114	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.189152	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.189152	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.189152	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.198670	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.215539	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.221318	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.221318	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.222958	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.229468	0.0	0.0	0.0	0.583333333333	0.5
all_0208	1	0.229468	0.0	0.0	0.0	0.583333333333	0.5
all_0208	10	0.003737	0.45	0.00581395348837	0.0114795918367	0.310755813953	0.502196382429
all_0208	10	0.004376	0.527777777778	0.0122739018088	0.0239898989899	0.352336347976	0.50503875969
all_0208	10	0.005015	0.461538461538	0.0077519379845	0.0152477763659	0.317332538263	0.502971576227
all_0208	10	0.005599	0.285714285714	0.00129198966408	0.00257234726688	0.226728805217	0.500322997416
all_0208	10	0.006182	0.333333333333	0.00129198966408	0.002574002574	0.250538329027	0.500387596899
all_0208	10	0.006559	0.538461538462	0.00452196382429	0.00896860986547	0.354448254158	0.501873385013
all_0208	10	0.006937	0.4	0.00387596899225	0.00767754318618	0.284948320413	0.501356589147
all_0208	10	0.007492	0.444444444444	0.00258397932817	0.00513808606294	0.306632213609	0.500968992248
all_0208	10	0.007855	0.416666666667	0.00322997416021	0.00641025641026	0.293012489233	0.501162790698
all_0208	10	0.008390	0.388888888889	0.00452196382429	0.00893997445722	0.279661929371	0.501550387597
all_0208	10	0.008926	0.333333333333	0.00387596899225	0.00766283524904	0.25161498708	0.501162790698
all_0208	10	0.009462	0.388888888889	0.00452196382429	0.00893997445722	0.279661929371	0.501550387597
all_0208	10	0.010332	0.307692307692	0.00258397932817	0.00512491992313	0.238256145233	0.500710594315
all_0208	10	0.011017	0.5625	0.00581395348837	0.0115089514066	0.367005813953	0.502454780362
all_0208	10	0.011865	0.0	0.0	0.0	0.0833333333333	0.499418604651
all_0208	10	0.013784	0.454545454545	0.00968992248062	0.0189753320683	0.314643528306	0.503682170543
all_0208	10	0.015849	0.488888888889	0.0142118863049	0.0276208411802	0.333699397071	0.505620155039
all_0208	10	0.017735	0.461538461538	0.0193798449612	0.0371977681339	0.322177499503	0.507428940568
all_0208	10	0.019765	0.536028119508	0.197028423773	0.288143599433	0.433442569659	0.58145994832
all_0208	10	0.021766	0.582278481013	0.208010335917	0.306520704426	0.461143547139	0.589082687339
all_0208	10	0.024598	0.560763888889	0.208656330749	0.304143126177	0.45065541559	0.587984496124
all_0208	10	0.027699	0.581196581197	0.0878552971576	0.152637485971	0.410537997747	0.537596899225
all_0208	10	0.031378	0.521126760563	0.143410852713	0.224924012158	0.403651235579	0.558527131783
all_0208	10	0.035185	0.4440433213	0.0794573643411	0.134794520548	0.338462229125	0.529780361757
all_0208	10	0.040663	0.569752281617	0.282299741602	0.377537796976	0.485834366476	0.619832041344
all_0208	10	0.045188	0.623145400593	0.271317829457	0.37803780378	0.507955129237	0.619250645995
all_0208	10	0.049684	0.594763092269	0.308139534884	0.405957446809	0.509106352336	0.633074935401
all_0208	10	0.054414	0.616745283019	0.337855297158	0.436560934891	0.532479015325	0.647932816537
all_0208	10	0.058999	0.603121516165	0.349483204134	0.442535787321	0.530512093138	0.651744186047
all_0208	10	0.063672	0.589494163424	0.391472868217	0.47049689441	0.541194110136	0.668475452196
all_0208	10	0.067514	0.59266802444	0.375968992248	0.460079051383	0.536321092323	0.662144702842
all_0208	10	0.071087	0.59526159921	0.389534883721	0.470909800859	0.543270334489	0.668281653747
all_0208	10	0.073976	0.628968253968	0.409560723514	0.496087636933	0.568467761782	0.680620155039
