	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
16	0.32	0.29	0.29	0.27	0.27	0.28	0.27	0.28	0.28	0.27	0.27	0.27	0.29	0.28	0.30	0.30	0.30	0.30	0.28	0.26	0.26	0.24	0.24	0.23	0.24	0.23	0.22	0.23	0.25	0.26	0.23	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	0.28	0.23	0.24	0.24	0.23	0.24	0.24	0.25	0.24	0.24	0.23	0.24	0.24	0.24	0.27	0.26	0.25	0.26	0.28	0.26	0.26	0.24	0.24	0.24	0.24	0.24	0.23	0.24	0.23	0.24	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	0.31	0.24	0.23	0.23	0.24	0.24	0.24	0.24	0.23	0.23	0.24	0.25	0.24	0.24	0.26	0.27	0.27	0.27	0.28	0.24	0.26	0.25	0.25	0.24	0.22	0.23	0.23	0.23	0.24	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	0.29	0.24	0.23	0.24	0.24	0.25	0.24	0.24	0.25	0.24	0.25	0.24	0.24	0.24	0.28	0.27	0.28	0.28	0.29	0.26	0.27	0.25	0.23	0.23	0.24	0.25	0.25	0.25	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	0.31	0.25	0.24	0.23	0.23	0.24	0.23	0.24	0.23	0.24	0.24	0.24	0.24	0.25	0.27	0.27	0.28	0.28	0.28	0.27	0.28	0.26	0.26	0.21	0.19	0.21	0.18	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	0.29	0.23	0.23	0.22	0.22	0.23	0.24	0.23	0.23	0.23	0.23	0.22	0.21	0.23	0.26	0.27	0.25	0.25	0.26	0.28	0.28	0.24	0.23	0.19	0.16	0.16	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	0.32	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.22	0.24	0.24	0.23	0.23	0.24	0.26	0.26	0.25	0.25	0.24	0.29	0.29	0.26	0.24	0.20	0.17	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	0.29	0.22	0.21	0.22	0.21	0.22	0.22	0.23	0.23	0.22	0.21	0.22	0.23	0.23	0.25	0.25	0.24	0.23	0.25	0.24	0.25	0.22	0.21	0.16	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	0.31	0.24	0.24	0.23	0.24	0.24	0.25	0.24	0.24	0.24	0.25	0.24	0.25	0.24	0.27	0.28	0.26	0.27	0.27	0.24	0.24	0.22	0.19	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	0.32	0.25	0.26	0.26	0.25	0.25	0.26	0.26	0.26	0.26	0.27	0.28	0.29	0.28	0.31	0.31	0.30	0.31	0.32	0.28	0.27	0.23	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	0.30	0.27	0.26	0.27	0.27	0.26	0.27	0.26	0.26	0.27	0.26	0.28	0.28	0.27	0.29	0.29	0.29	0.29	0.32	0.20	0.16	0.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	0.15	0.15	0.14	0.14	0.14	0.14	0.14	0.14	0.15	0.14	0.13	0.15	0.14	0.15	0.15	0.15	0.15	0.15	0.18	0.10	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	0.14	0.14	0.13	0.13	0.13	0.14	0.13	0.14	0.14	0.14	0.13	0.15	0.15	0.16	0.15	0.16	0.15	0.15	0.19	0.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	0.17	0.15	0.16	0.15	0.15	0.15	0.16	0.16	0.15	0.16	0.15	0.16	0.17	0.17	0.17	0.17	0.17	0.17	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	0.14	0.11	0.12	0.11	0.11	0.11	0.12	0.11	0.11	0.12	0.12	0.13	0.14	0.14	0.15	0.13	0.11	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	0.17	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.16	0.16	0.16	0.17	0.16	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	0.05	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.02	0.03	0.02	0.03	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
