B0035.11	C55A6.9	0	0	0	0	0	0	0	0	0.072016472	-0.275850368	0.122291597	0	-0.364401071	0.628833147	-0.316490321	0
B0035.4	F21C3.5	0.122291597	0	0.130162791	-0.703094098	-0.703094098	0.102576049	0.125979213	0.225363639	0.174371453	0	-0.364401071	0	-0.405077743	0.689870751	0	0.077033405
B0035.4	H20J04.5	-0.364401071	0	0.130162791	-0.652509981	0.094567698	0.102576049	0.266977168	0.225363639	0.174371453	0	0.122291597	0	0.077508967	0.628833147	0	0.077033405
B0035.4	R151.9	0	0	0.000237401	0.141269628	0.111609334	0.174371453	0.266977168	0.225363639	0.174371453	0	0.122291597	0	-0.405077743	0.689870751	0	0.273754716
B0035.4	T06G6.9	0	0	0.000237401	0.035640089	0.111609334	0.102576049	0.125979213	0.225363639	0.174371453	0	0.122291597	0	0.153063624	0.628833147	0	0.273754716
B0041.4	B0250.1	-0.427015948	-0.025670349	-2.069612564	-0.498985483	-0.441703451	-0.937803768	-1.993025231	4.999274595	6.148570313	0.122291597	0.25303612	-0.36418058	0.800804866	-0.505212339	-8.88E-16	0.082538021
B0041.4	B0336.10	-0.569582388	0.009800916	-1.728582485	-0.517000188	-0.431067738	-1.059286684	-0.951389144	-0.947124253	-0.88279471	-0.364401071	-0.70589691	0	-0.723046223	0.73651376	-8.88E-16	0.151324816
B0041.4	C04F12.4	-0.569582388	-0.025670349	-1.111940012	-0.475279854	0	2.19936842	0.99684588	-0.876243398	-1.566463839	-0.364401071	-0.299191807	0	-0.37206286	-0.846631537	-8.88E-16	0.507350512
B0041.4	C06B8.8	-0.410470543	-0.207775238	-1.253961869	-0.455180655	-0.498947519	2.169857695	1.640764859	-1.677487025	-1.823728274	0	-0.600301714	0	-0.472760254	-0.038936783	-0.316490321	0.424806327
B0041.4	C09D4.5	-0.427015948	-0.554941879	1.748421078	-0.483829688	0	-1.363328046	1.884496976	-1.066236416	-0.914633746	-0.364401071	-0.600301714	0	-0.54208229	0.680852633	-8.88E-16	-0.168662022
B0041.4	C14B9.7	0.434102781	0.009800916	-2.081320038	-0.266962378	-0.483829688	-1.375716843	1.634123215	-0.761140116	-1.2964175	0	0.84400055	0	-0.482924464	-0.123055477	-8.88E-16	0.679564613
B0041.4	C16A3.9	-0.356363163	-0.112437565	-2.063495013	-0.475279854	0	-1.448827927	-1.233259373	4.997215956	5.655619612	0	-0.313473387	-0.275850368	-0.22016815	-0.566015943	-8.88E-16	0.679564613
B0041.4	C26F1.9	-0.449552918	0.06511628	1.750759336	-0.498985483	0	-1.018734549	-1.781096672	-1.70649615	-1.595726636	0	0	0	-0.54568462	-0.73290275	0	-0.107499167
B0041.4	C27A2.2	-0.410470543	-0.112437565	-0.981118435	-0.469204628	-0.514696709	-1.053906452	-2.825812245	-0.876243398	-0.914633746	0	-0.600301714	0	0.680483517	-0.123055477	-8.88E-16	0.126759288
