#GeneName	Tissuespecficity
DBI	Expressed in all
DBN1	Expressed in all
DBNDD2	Expressed in all
DBNL	Expressed in all
DBP	Expressed in all
DBR1	Expressed in all
DBT	Expressed in all
DBX2	Tissue enhanced
DCAF10	Expressed in all
DCAF11	Expressed in all
DCAF12	Expressed in all
DCAF12L1	Tissue enhanced
DCAF12L2	Tissue enhanced
DCAF13	Expressed in all
DCAF15	Expressed in all
DCAF16	Expressed in all
DCAF17	Expressed in all
DCAF4	Expressed in all
DCAF4L1	Tissue enriched
DCAF4L2	Tissue enriched
DCAF5	Expressed in all
DCAF6	Expressed in all
DCAF7	Expressed in all
DCAF8	Expressed in all
DCAF8L1	Tissue enriched
DCAF8L2	Tissue enriched
DCAKD	Expressed in all
DCBLD2	Expressed in all
DCC	Tissue enhanced
DCD	Tissue enriched
DCDC1	Tissue enhanced
DCDC2	Tissue enhanced
DCDC2B	Tissue enriched
DCDC2C	Tissue enriched
DCHS2	Tissue enhanced
DCK	Expressed in all
DCLK1	Tissue enhanced
DCLK2	Tissue enhanced
DCLK3	Tissue enhanced
DCLRE1A	Expressed in all
DCLRE1C	Expressed in all
DCN	Expressed in all
DCP1A	Expressed in all
DCP1B	Expressed in all
DCP2	Expressed in all
DCPS	Expressed in all
DCST1	Group enriched
DCST2	Tissue enhanced
DCSTAMP	Tissue enhanced
DCT	Tissue enriched
DCTD	Expressed in all
DCTN1	Expressed in all
DCTN2	Expressed in all
DCTN3	Expressed in all
DCTN4	Expressed in all
DCTN5	Expressed in all
DCTN6	Expressed in all
DCTPP1	Expressed in all
DCUN1D1	Tissue enriched
DCUN1D2	Group enriched
DCUN1D4	Expressed in all
DCUN1D5	Expressed in all
DCX	Group enriched
DCXR	Expressed in all
DDA1	Expressed in all
DDAH2	Expressed in all
DDB1	Expressed in all
DDB2	Expressed in all
DDC	Tissue enhanced
DDC8	Tissue enriched
DDHD1	Expressed in all
DDHD2	Expressed in all
DDI1	Tissue enriched
DDI2	Expressed in all
DDIT3	Expressed in all
DDIT4	Expressed in all
DDIT4L	Tissue enriched
DDN	Group enriched
DDOST	Expressed in all
DDR1	Expressed in all
DDRGK1	Expressed in all
DDT	Expressed in all
DDTL	Expressed in all
DDX1	Expressed in all
DDX10	Expressed in all
DDX11	Expressed in all
DDX17	Expressed in all
DDX18	Expressed in all
DDX19A	Expressed in all
DDX19B	Expressed in all
DDX20	Tissue enriched
DDX21	Expressed in all
DDX23	Expressed in all
DDX24	Expressed in all
DDX25	Group enriched
DDX26B	Expressed in all
DDX27	Expressed in all
DDX28	Expressed in all
DDX31	Expressed in all
DDX39A	Expressed in all
DDX39B	Expressed in all
DDX3X	Expressed in all
DDX4	Tissue enriched
DDX41	Expressed in all
DDX42	Expressed in all
DDX43	Tissue enriched
DDX46	Expressed in all
DDX47	Expressed in all
DDX49	Expressed in all
DDX5	Expressed in all
DDX50	Expressed in all
DDX51	Expressed in all
DDX52	Expressed in all
DDX53	Tissue enriched
DDX54	Expressed in all
DDX55	Expressed in all
DDX56	Expressed in all
DDX58	Expressed in all
DDX59	Expressed in all
DDX6	Expressed in all
DDX60	Expressed in all
DDX60L	Expressed in all
DEAF1	Expressed in all
DECR1	Expressed in all
DECR2	Expressed in all
DEDD	Expressed in all
DEDD2	Expressed in all
DEF6	Expressed in all
DEF8	Expressed in all
DEFA1	Tissue enriched
DEFA1B	Tissue enriched
DEFA3	Tissue enriched
DEFA4	Tissue enriched
DEFA5	Group enriched
DEFA6	Group enriched
DEFB1	Tissue enhanced
DEFB103A	Tissue enhanced
DEFB103B	Tissue enhanced
DEFB119	Tissue enriched
DEFB121	Tissue enriched
DEFB123	Tissue enriched
DEFB124	Tissue enhanced
DEFB131	Tissue enriched
DEFB132	Group enriched
DEFB134	Tissue enriched
DEFB4A	Group enriched
DEFB4B	Group enriched
DEGS1	Expressed in all
DEK	Expressed in all
DENND1A	Expressed in all
DENND1B	Expressed in all
DENND2C	Group enriched
DENND3	Expressed in all
DENND4A	Expressed in all
DENND4B	Expressed in all
DENND4C	Expressed in all
DENND5A	Expressed in all
DENND6A	Expressed in all
DENND6B	Tissue enhanced
DENR	Expressed in all
DEPDC1B	Tissue enhanced
DEPDC5	Expressed in all
DEPDC7	Group enriched
DEPTOR	Expressed in all
DERA	Expressed in all
DERL1	Expressed in all
DERL2	Expressed in all
DES	Expressed in all
DESI1	Expressed in all
DESI2	Expressed in all
DET1	Expressed in all
DEXI	Expressed in all
DFFA	Expressed in all
DFNB31	Tissue enhanced
DFNB59	Tissue enhanced
DGAT1	Group enriched
DGAT2	Group enriched
DGCR14	Expressed in all
DGCR2	Expressed in all
DGCR6	Expressed in all
DGCR6L	Expressed in all
DGCR8	Expressed in all
DGKA	Expressed in all
DGKB	Tissue enhanced
DGKD	Expressed in all
DGKI	Tissue enhanced
DGKQ	Expressed in all
DGKZ	Expressed in all
DGUOK	Expressed in all
DHCR24	Expressed in all
DHCR7	Expressed in all
DHDDS	Expressed in all
DHDH	Group enriched
DHH	Tissue enriched
DHODH	Expressed in all
DHPS	Expressed in all
DHRS1	Expressed in all
DHRS11	Group enriched
DHRS12	Expressed in all
DHRS2	Group enriched
DHRS3	Expressed in all
DHRS4	Expressed in all
DHRS4L2	Expressed in all
DHRS7	Expressed in all
DHRS7B	Expressed in all
DHRS7C	Group enriched
DHRS9	Tissue enhanced
DHRSX	Expressed in all
DHTKD1	Expressed in all
DHX15	Expressed in all
DHX16	Expressed in all
DHX29	Expressed in all
DHX30	Expressed in all
DHX32	Expressed in all
DHX33	Expressed in all
DHX34	Expressed in all
DHX35	Expressed in all
DHX36	Expressed in all
DHX37	Expressed in all
DHX38	Expressed in all
DHX40	Expressed in all
DHX57	Expressed in all
DHX58	Expressed in all
DHX8	Expressed in all
DHX9	Expressed in all
DIABLO	Expressed in all
DIAPH1	Expressed in all
DIAPH2	Expressed in all
DIAPH3	Tissue enhanced
DICER1	Expressed in all
DIDO1	Expressed in all
DIMT1	Expressed in all
DIO1	Group enriched
DIO2	Tissue enhanced
DIO3	Tissue enhanced
DIP2A	Expressed in all
DIP2B	Expressed in all
DIRAS1	Group enriched
DIRAS2	Tissue enriched
DIRAS3	Tissue enhanced
DIRC2	Expressed in all
DIS3	Expressed in all
DIS3L	Expressed in all
DIS3L2	Expressed in all
DISP2	Tissue enhanced
DKC1	Expressed in all
DKFZP761J1410	Expressed in all
DKFZP761K2322	Tissue enriched
DKK1	Tissue enhanced
DKK2	Tissue enhanced
DKK3	Tissue enhanced
DKK4	Tissue enhanced
DKKL1	Tissue enriched
DLAT	Expressed in all
DLC1	Expressed in all
DLD	Expressed in all
DLEC1	Group enriched
DLEU1	Expressed in all
DLEU7	Tissue enhanced
DLG1	Expressed in all
DLG2	Tissue enhanced
DLG4	Expressed in all
DLG5	Expressed in all
DLGAP1	Tissue enriched
DLGAP2	Group enriched
DLGAP3	Group enriched
DLGAP4	Expressed in all
DLK1	Group enriched
DLK2	Tissue enhanced
DLL3	Tissue enriched
DLST	Expressed in all
DLX1	Group enriched
DLX3	Tissue enhanced
DLX4	Tissue enriched
DLX5	Group enriched
DLX6	Group enriched
DMAP1	Expressed in all
DMBT1	Group enriched
DMC1	Tissue enhanced
DMGDH	Group enriched
DMKN	Tissue enriched
DMPK	Expressed in all
DMRT1	Tissue enriched
DMRT2	Tissue enhanced
DMRT3	Tissue enhanced
DMRTB1	Tissue enriched
DMRTC1	Tissue enhanced
DMRTC1B	Tissue enhanced
DMRTC2	Tissue enriched
DMTF1	Expressed in all
DMTN	Expressed in all
DMWD	Expressed in all
DMXL1	Expressed in all
DMXL2	Expressed in all
DNAAF1	Group enriched
DNAAF2	Expressed in all
DNAAF3	Group enriched
DNAH1	Expressed in all
DNAH10	Group enriched
DNAH10OS	Tissue enhanced
DNAH11	Tissue enhanced
DNAH12	Group enriched
DNAH14	Tissue enhanced
DNAH17	Tissue enhanced
DNAH2	Group enriched
DNAH3	Tissue enhanced
DNAH5	Tissue enhanced
DNAH6	Tissue enhanced
DNAH7	Tissue enhanced
DNAH8	Tissue enriched
DNAH9	Tissue enriched
DNAI1	Group enriched
DNAI2	Group enriched
DNAJA1	Expressed in all
DNAJA2	Expressed in all
DNAJA3	Expressed in all
DNAJA4	Expressed in all
DNAJB1	Expressed in all
DNAJB11	Expressed in all
DNAJB12	Expressed in all
DNAJB13	Tissue enriched
DNAJB14	Expressed in all
DNAJB2	Expressed in all
DNAJB4	Expressed in all
DNAJB6	Expressed in all
DNAJB7	Tissue enriched
DNAJB8	Tissue enriched
DNAJB9	Expressed in all
DNAJC1	Expressed in all
DNAJC10	Expressed in all
DNAJC11	Expressed in all
DNAJC12	Tissue enhanced
DNAJC13	Expressed in all
DNAJC14	Expressed in all
DNAJC15	Expressed in all
DNAJC16	Expressed in all
DNAJC17	Expressed in all
DNAJC18	Tissue enriched
DNAJC19	Expressed in all
DNAJC2	Expressed in all
DNAJC21	Expressed in all
DNAJC22	Tissue enhanced
DNAJC24	Expressed in all
DNAJC25	Expressed in all
DNAJC27	Expressed in all
DNAJC3	Expressed in all
DNAJC30	Expressed in all
DNAJC4	Expressed in all
DNAJC5	Expressed in all
DNAJC5B	Tissue enriched
DNAJC5G	Tissue enriched
DNAJC6	Tissue enriched
DNAJC7	Expressed in all
DNAJC8	Expressed in all
DNAJC9	Expressed in all
DNAL1	Expressed in all
DNAL4	Expressed in all
DNALI1	Tissue enhanced
DNASE1	Group enriched
DNASE1L1	Expressed in all
DNASE1L2	Tissue enriched
DNASE1L3	Tissue enhanced
DNASE2	Expressed in all
DNASE2B	Tissue enriched
DND1	Tissue enriched
DNER	Group enriched
DNHD1	Expressed in all
DNLZ	Expressed in all
DNM1	Tissue enriched
DNM1L	Expressed in all
DNM2	Expressed in all
DNM3	Tissue enhanced
DNMBP	Expressed in all
DNMT1	Expressed in all
DNMT3A	Expressed in all
DNMT3B	Tissue enhanced
DNMT3L	Group enriched
DNPEP	Expressed in all
DNPH1	Expressed in all
DNTT	Tissue enriched
DNTTIP1	Expressed in all
DNTTIP2	Expressed in all
DOC2A	Group enriched
DOCK3	Tissue enhanced
DOCK4	Expressed in all
DOCK7	Expressed in all
DOCK8	Expressed in all
DOCK9	Expressed in all
DOK1	Expressed in all
DOK3	Expressed in all
DOK4	Expressed in all
DOK5	Tissue enhanced
DOK7	Tissue enhanced
DOLK	Expressed in all
DOLPP1	Expressed in all
DONSON	Expressed in all
DOPEY1	Expressed in all
DOPEY2	Expressed in all
DOT1L	Expressed in all
DPAGT1	Expressed in all
DPCD	Expressed in all
DPCR1	Tissue enriched
DPEP1	Tissue enhanced
DPEP2	Tissue enhanced
DPEP3	Tissue enriched
DPF1	Tissue enriched
DPF2	Expressed in all
DPF3	Tissue enhanced
DPH1	Expressed in all
DPH2	Expressed in all
DPH3	Expressed in all
DPH5	Expressed in all
DPH6	Expressed in all
DPH7	Expressed in all
DPM1	Expressed in all
DPM2	Expressed in all
DPM3	Expressed in all
DPP10	Tissue enhanced
DPP3	Expressed in all
DPP4	Tissue enhanced
DPP6	Tissue enhanced
DPP7	Expressed in all
DPP8	Expressed in all
DPP9	Expressed in all
DPPA2	Tissue enriched
DPPA4	Tissue enhanced
DPPA5	Tissue enhanced
DPRX	Tissue enhanced
DPY19L1	Expressed in all
DPY19L2	Tissue enhanced
DPY19L4	Expressed in all
DPY30	Expressed in all
DPYD	Expressed in all
DPYS	Group enriched
DPYSL2	Expressed in all
DPYSL4	Tissue enhanced
DPYSL5	Group enriched
DQX1	Tissue enriched
DR1	Expressed in all
DRAM1	Expressed in all
DRAM2	Expressed in all
DRAP1	Expressed in all
DRC1	Group enriched
DRD1	Tissue enhanced
DRD2	Tissue enhanced
DRD5	Group enriched
DRG1	Expressed in all
DRG2	Expressed in all
DRGX	Tissue enriched
DROSHA	Expressed in all
DRP2	Tissue enriched
DSC1	Tissue enriched
DSC2	Tissue enhanced
DSC3	Group enriched
DSCAM	Tissue enriched
DSCAML1	Tissue enhanced
DSCR3	Expressed in all
DSCR4	Tissue enhanced
DSCR8	Group enriched
DSE	Expressed in all
DSG1	Tissue enriched
DSG3	Group enriched
DSN1	Expressed in all
DSP	Group enriched
DST	Expressed in all
DSTN	Expressed in all
DTD1	Expressed in all
DTD2	Expressed in all
DTHD1	Tissue enhanced
DTL	Tissue enhanced
DTNA	Tissue enhanced
DTNB	Expressed in all
DTNBP1	Expressed in all
DTWD1	Expressed in all
DTX1	Tissue enhanced
DTX2	Expressed in all
DTX3	Expressed in all
DTX3L	Expressed in all
DTYMK	Expressed in all
DUOX1	Tissue enhanced
DUOX2	Tissue enhanced
DUOXA1	Tissue enhanced
DUOXA2	Tissue enhanced
DUPD1	Tissue enriched
DUS1L	Expressed in all
DUS2	Expressed in all
DUS3L	Expressed in all
DUS4L	Expressed in all
DUSP1	Expressed in all
DUSP10	Expressed in all
DUSP11	Expressed in all
DUSP12	Expressed in all
DUSP13	Tissue enriched
DUSP14	Expressed in all
DUSP15	Group enriched
DUSP16	Expressed in all
DUSP2	Tissue enhanced
DUSP21	Tissue enriched
DUSP22	Expressed in all
DUSP23	Expressed in all
DUSP26	Tissue enhanced
DUSP27	Group enriched
DUSP28	Expressed in all
DUSP3	Expressed in all
DUSP4	Tissue enhanced
DUSP6	Expressed in all
DUSP7	Expressed in all
DUSP9	Group enriched
DUT	Expressed in all
DVL1	Expressed in all
DVL2	Expressed in all
DVL3	Expressed in all
DXO	Expressed in all
DYDC1	Tissue enriched
DYDC2	Tissue enriched
DYM	Expressed in all
DYNAP	Tissue enriched
DYNC1H1	Expressed in all
DYNC1I1	Tissue enhanced
DYNC1I2	Expressed in all
DYNC1LI1	Expressed in all
DYNC1LI2	Expressed in all
DYNC2LI1	Expressed in all
DYNLL1	Expressed in all
DYNLL2	Expressed in all
DYNLRB1	Expressed in all
DYNLRB2	Group enriched
DYNLT1	Expressed in all
DYNLT3	Expressed in all
DYRK1A	Expressed in all
DYRK1B	Expressed in all
DYRK2	Expressed in all
DYRK3	Tissue enhanced
DYRK4	Expressed in all
DYX1C1	Tissue enhanced
DZIP1	Tissue enhanced
DZIP3	Expressed in all
E2F1	Tissue enhanced
E2F2	Tissue enhanced
E2F3	Expressed in all
E2F4	Expressed in all
E2F6	Expressed in all
E4F1	Expressed in all
EAF1	Expressed in all
EAPP	Expressed in all
EARS2	Expressed in all
EBAG9	Expressed in all
EBF1	Tissue enhanced
EBF2	Tissue enhanced
EBF3	Tissue enhanced
EBI3	Tissue enriched
EBLN1	Tissue enriched
EBLN2	Tissue enhanced
EBNA1BP2	Expressed in all
EBP	Expressed in all
EBPL	Expressed in all
ECD	Expressed in all
ECE1	Expressed in all
ECEL1	Tissue enriched
ECH1	Expressed in all
ECHDC1	Expressed in all
ECHDC2	Expressed in all
ECHS1	Expressed in all
ECI1	Expressed in all
ECI2	Expressed in all
ECM1	Tissue enriched
ECM2	Tissue enhanced
ECSCR	Expressed in all
ECSIT	Expressed in all
ECT2L	Tissue enriched
EDARADD	Tissue enhanced
EDC3	Expressed in all
EDC4	Expressed in all
EDDM3A	Tissue enhanced
EDEM1	Expressed in all
EDEM2	Expressed in all
EDEM3	Expressed in all
EDF1	Expressed in all
EDN2	Tissue enhanced
EDN3	Tissue enhanced
EDRF1	Expressed in all
EEA1	Expressed in all
EED	Expressed in all
EEF1A1	Expressed in all
EEF1A2	Tissue enhanced
EEF1B2	Expressed in all
EEF1D	Expressed in all
EEF1E1	Expressed in all
EEF1G	Expressed in all
EEF2	Expressed in all
EEF2K	Expressed in all
EEFSEC	Expressed in all
EEPD1	Expressed in all
EFCAB1	Tissue enhanced
EFCAB10	Group enriched
EFCAB11	Expressed in all
EFCAB12	Tissue enhanced
EFCAB13	Tissue enhanced
EFCAB14	Expressed in all
EFCAB2	Expressed in all
EFCAB3	Tissue enriched
EFCAB4A	Tissue enhanced
EFCAB4B	Tissue enhanced
EFCAB5	Tissue enriched
EFCAB6	Group enriched
EFCAB7	Expressed in all
EFCAB8	Tissue enhanced
EFCAB9	Tissue enriched
EFCC1	Tissue enhanced
EFEMP2	Expressed in all
EFHB	Tissue enhanced
EFHC1	Expressed in all
EFHC2	Tissue enhanced
EFHD1	Tissue enhanced
EFHD2	Expressed in all
EFNA2	Tissue enhanced
EFNA3	Group enriched
EFNB1	Expressed in all
EFNB3	Tissue enhanced
EFR3A	Expressed in all
EFR3B	Tissue enriched
EFTUD1	Expressed in all
EFTUD2	Expressed in all
EGF	Tissue enhanced
EGFL6	Tissue enriched
EGFL7	Expressed in all
EGFL8	Expressed in all
EGFR	Tissue enhanced
EGLN1	Expressed in all
EGLN2	Expressed in all
EGR1	Expressed in all
EGR2	Tissue enhanced
EGR4	Group enriched
EHBP1	Expressed in all
EHBP1L1	Expressed in all
EHD1	Expressed in all
EHD2	Tissue enhanced
EHD3	Tissue enhanced
EHD4	Expressed in all
EHHADH	Group enriched
EHMT1	Expressed in all
EHMT2	Expressed in all
EI24	Expressed in all
EID1	Expressed in all
EID2	Expressed in all
EID3	Tissue enriched
EIF1	Expressed in all
EIF1AD	Expressed in all
EIF1AX	Expressed in all
EIF1B	Expressed in all
EIF2A	Expressed in all
EIF2AK1	Expressed in all
EIF2AK2	Expressed in all
EIF2AK3	Expressed in all
EIF2AK4	Expressed in all
EIF2B1	Expressed in all
EIF2B2	Expressed in all
EIF2B3	Expressed in all
EIF2B4	Expressed in all
EIF2B5	Expressed in all
EIF2D	Expressed in all
EIF2S1	Expressed in all
EIF2S2	Expressed in all
EIF2S3	Expressed in all
EIF2S3L	Expressed in all
EIF3A	Expressed in all
EIF3B	Expressed in all
EIF3C	Expressed in all
EIF3CL	Expressed in all
EIF3D	Expressed in all
EIF3E	Expressed in all
EIF3F	Expressed in all
EIF3G	Expressed in all
EIF3H	Expressed in all
EIF3I	Expressed in all
EIF3J	Expressed in all
EIF3K	Expressed in all
EIF3L	Expressed in all
EIF3M	Expressed in all
EIF4A1	Expressed in all
EIF4A2	Expressed in all
EIF4A3	Expressed in all
EIF4B	Expressed in all
EIF4E	Expressed in all
EIF4E1B	Tissue enhanced
EIF4E2	Expressed in all
EIF4E3	Expressed in all
EIF4EBP1	Expressed in all
EIF4EBP2	Expressed in all
EIF4EBP3	Expressed in all
EIF4ENIF1	Expressed in all
EIF4G1	Expressed in all
EIF4G2	Expressed in all
EIF4G3	Expressed in all
EIF4H	Expressed in all
EIF5	Expressed in all
EIF5A	Expressed in all
EIF5A2	Tissue enhanced
EIF5AL1	Expressed in all
EIF5B	Expressed in all
EIF6	Expressed in all
ELAC1	Expressed in all
ELAC2	Expressed in all
ELANE	Tissue enriched
ELAVL1	Expressed in all
ELAVL2	Group enriched
ELAVL3	Tissue enriched
ELAVL4	Group enriched
ELF1	Expressed in all
ELF2	Expressed in all
ELF5	Tissue enriched
ELFN1	Tissue enhanced
ELFN2	Tissue enriched
ELK1	Expressed in all
ELK3	Expressed in all
ELK4	Expressed in all
ELL	Expressed in all
ELL2	Expressed in all
ELL3	Tissue enhanced
ELMO1	Expressed in all
ELMO2	Expressed in all
ELMOD1	Group enriched
ELMOD2	Expressed in all
ELMOD3	Expressed in all
ELMSAN1	Expressed in all
ELOF1	Expressed in all
ELOVL1	Expressed in all
ELOVL2	Group enriched
ELOVL3	Tissue enhanced
ELOVL4	Tissue enhanced
ELOVL5	Expressed in all
ELP2	Expressed in all
ELP3	Expressed in all
ELP4	Expressed in all
ELP5	Expressed in all
ELP6	Expressed in all
EMB	Tissue enhanced
EMC1	Expressed in all
EMC10	Expressed in all
EMC2	Expressed in all
EMC3	Expressed in all
EMC4	Expressed in all
EMC6	Expressed in all
EMC7	Expressed in all
EMC8	Expressed in all
EMC9	Expressed in all
EMD	Expressed in all
EME1	Tissue enhanced
EME2	Expressed in all
EMG1	Expressed in all
EMILIN3	Tissue enhanced
EML2	Expressed in all
EML3	Expressed in all
EML4	Expressed in all
EML5	Tissue enhanced
EML6	Tissue enhanced
EMP1	Expressed in all
EMP2	Tissue enhanced
EMP3	Expressed in all
EMR1	Tissue enhanced
EMR2	Tissue enhanced
EMR3	Tissue enhanced
EMX1	Tissue enriched
EMX2	Tissue enhanced
EN1	Tissue enhanced
ENAM	Tissue enhanced
ENC1	Tissue enriched
ENDOD1	Expressed in all
ENDOG	Expressed in all
ENDOU	Tissue enhanced
ENDOV	Expressed in all
ENG	Expressed in all
ENGASE	Expressed in all
ENHO	Tissue enriched
ENKD1	Expressed in all
ENKUR	Tissue enriched
ENO1	Expressed in all
ENO2	Expressed in all
ENO3	Tissue enriched
ENO4	Tissue enhanced
ENOPH1	Expressed in all
ENOSF1	Expressed in all
ENOX2	Expressed in all
ENPEP	Group enriched
ENPP1	Tissue enhanced
ENPP2	Expressed in all
ENPP3	Tissue enhanced
ENPP4	Expressed in all
ENPP5	Tissue enhanced
ENPP6	Tissue enhanced
ENPP7	Group enriched
ENSA	Expressed in all
ENTHD1	Tissue enriched
ENTHD2	Expressed in all
ENTPD1	Expressed in all
ENTPD4	Expressed in all
ENTPD5	Expressed in all
ENTPD6	Expressed in all
ENTPD8	Tissue enhanced
ENY2	Expressed in all
EOGT	Expressed in all
EOMES	Tissue enhanced
EP300	Expressed in all
EP400	Expressed in all
EP400NL	Expressed in all
EPAS1	Expressed in all
EPB41	Expressed in all
EPB41L2	Expressed in all
EPB41L3	Expressed in all
EPB42	Tissue enriched
EPC1	Expressed in all
EPC2	Expressed in all
EPCAM	Tissue enhanced
EPDR1	Expressed in all
EPG5	Expressed in all
EPGN	Tissue enriched
EPHA1	Tissue enhanced
EPHA10	Tissue enhanced
EPHA2	Tissue enhanced
EPHA5	Group enriched
EPHA6	Tissue enhanced
EPHA8	Tissue enhanced
EPHB1	Tissue enhanced
EPHB3	Tissue enhanced
EPHB4	Expressed in all
EPHB6	Tissue enriched
EPHX1	Expressed in all
EPHX2	Expressed in all
EPHX3	Group enriched
EPHX4	Tissue enhanced
EPM2A	Expressed in all
EPM2AIP1	Expressed in all
EPN1	Expressed in all
EPN2	Expressed in all
EPN3	Tissue enhanced
EPO	Tissue enhanced
EPOR	Expressed in all
EPPIN	Tissue enriched
EPPIN-WFDC6	Tissue enriched
EPPK1	Tissue enhanced
EPRS	Expressed in all
EPS15	Expressed in all
EPS15L1	Expressed in all
EPS8L1	Tissue enhanced
EPS8L3	Group enriched
EPSTI1	Expressed in all
EPT1	Expressed in all
EPX	Tissue enriched
EPYC	Tissue enriched
EQTN	Tissue enriched
ERAL1	Expressed in all
ERAP1	Expressed in all
ERAP2	Expressed in all
ERBB2	Expressed in all
ERBB2IP	Expressed in all
ERBB4	Group enriched
ERC1	Expressed in all
ERC2	Tissue enriched
ERCC1	Expressed in all
ERCC2	Expressed in all
ERCC3	Expressed in all
ERCC4	Expressed in all
ERCC5	Expressed in all
ERCC6	Expressed in all
ERCC6L2	Expressed in all
ERCC8	Expressed in all
EREG	Tissue enriched
ERF	Expressed in all
ERG	Expressed in all
ERGIC1	Expressed in all
ERGIC2	Expressed in all
ERGIC3	Expressed in all
ERH	Expressed in all
ERI2	Expressed in all
ERI3	Expressed in all
ERICH1	Expressed in all
ERICH2	Tissue enriched
ERLEC1	Expressed in all
ERLIN1	Expressed in all
ERLIN2	Expressed in all
ERMAP	Expressed in all
ERMARD	Expressed in all
ERMN	Tissue enriched
ERMP1	Expressed in all
ERN1	Expressed in all
ERN2	Group enriched
ERO1L	Tissue enriched
ERO1LB	Expressed in all
ERP27	Tissue enriched
ERP29	Expressed in all
ERP44	Expressed in all
ERRFI1	Tissue enhanced
ERVFRD-1	Tissue enriched
ERVMER34-1	Tissue enhanced
ERVV-1	Tissue enriched
ERVV-2	Tissue enriched
ERVW-1	Tissue enriched
ESAM	Expressed in all
ESCO1	Expressed in all
ESD	Expressed in all
ESF1	Expressed in all
ESM1	Tissue enhanced
ESPL1	Tissue enhanced
ESPN	Tissue enhanced
ESR1	Tissue enhanced
ESR2	Tissue enhanced
ESRRA	Expressed in all
ESRRB	Tissue enhanced
ESRRG	Tissue enhanced
ESX1	Tissue enriched
ESYT1	Expressed in all
ESYT2	Expressed in all
ESYT3	Tissue enhanced
ETAA1	Expressed in all
ETF1	Expressed in all
ETFA	Expressed in all
ETFB	Expressed in all
ETFDH	Expressed in all
ETHE1	Expressed in all
ETNK1	Expressed in all
ETNK2	Tissue enhanced
ETNPPL	Group enriched
ETS1	Expressed in all
ETS2	Expressed in all
ETV1	Tissue enhanced
ETV2	Tissue enhanced
ETV3	Expressed in all
ETV6	Expressed in all
EVA1A	Tissue enhanced
EVA1C	Expressed in all
EVI5	Expressed in all
EVI5L	Expressed in all
EVL	Expressed in all
EVPL	Group enriched
EVPLL	Tissue enhanced
EVX1	Tissue enhanced
EVX2	Tissue enhanced
EWSR1	Expressed in all
EXD1	Tissue enriched
EXD2	Expressed in all
EXD3	Expressed in all
EXO1	Tissue enhanced
EXO5	Expressed in all
EXOC1	Expressed in all
EXOC2	Expressed in all
EXOC3	Expressed in all
EXOC3L1	Tissue enhanced
EXOC3L2	Tissue enhanced
EXOC3L4	Tissue enhanced
EXOC4	Expressed in all
EXOC5	Expressed in all
EXOC6	Expressed in all
EXOC7	Expressed in all
EXOC8	Expressed in all
EXOG	Expressed in all
EXOSC1	Expressed in all
EXOSC10	Expressed in all
EXOSC2	Expressed in all
EXOSC3	Expressed in all
EXOSC4	Expressed in all
EXOSC5	Expressed in all
EXOSC6	Expressed in all
EXOSC7	Expressed in all
EXOSC8	Expressed in all
EXOSC9	Expressed in all
EXPH5	Tissue enhanced
EXT1	Expressed in all
EXT2	Expressed in all
EXTL1	Tissue enhanced
EXTL2	Expressed in all
EXTL3	Expressed in all
EYA1	Tissue enhanced
EYA2	Tissue enhanced
EYA3	Expressed in all
EYA4	Tissue enhanced
EYS	Tissue enhanced
EZH1	Expressed in all
EZR	Expressed in all
F10	Tissue enhanced
F11	Tissue enriched
F11R	Expressed in all
F12	Tissue enriched
F13A1	Expressed in all
F13B	Tissue enriched
F2	Tissue enriched
F2R	Expressed in all
F2RL2	Tissue enhanced
F3	Expressed in all
F5	Tissue enhanced
F7	Tissue enriched
F8	Expressed in all
F8A1	Expressed in all
F8A2	Expressed in all
F8A3	Expressed in all
F9	Tissue enriched
FA2H	Tissue enhanced
FAAH	Expressed in all
FABP1	Group enriched
FABP12	Group enriched
FABP2	Group enriched
FABP3	Group enriched
FABP4	Tissue enriched
FABP5	Expressed in all
FABP6	Tissue enriched
FABP7	Tissue enriched
FADD	Expressed in all
FADS1	Expressed in all
FADS2	Expressed in all
FADS3	Expressed in all
FADS6	Tissue enhanced
FAF1	Expressed in all
FAF2	Expressed in all
FAH	Expressed in all
FAHD1	Expressed in all
FAHD2A	Expressed in all
FAHD2B	Expressed in all
FAIM	Expressed in all
FAIM2	Group enriched
FAIM3	Tissue enhanced
FAM101A	Tissue enriched
FAM101B	Expressed in all
FAM102A	Expressed in all
FAM103A1	Expressed in all
FAM104A	Expressed in all
FAM104B	Expressed in all
FAM105A	Tissue enhanced
FAM105B	Expressed in all
FAM106A	Tissue enhanced
FAM107A	Tissue enhanced
FAM107B	Expressed in all
FAM110B	Tissue enhanced
FAM111A	Expressed in all
FAM111B	Tissue enhanced
FAM114A1	Expressed in all
FAM114A2	Expressed in all
FAM115A	Expressed in all
FAM117A	Expressed in all
FAM118A	Expressed in all
FAM118B	Expressed in all
FAM120A	Expressed in all
FAM120AOS	Expressed in all
FAM120B	Expressed in all
FAM122A	Expressed in all
FAM122B	Expressed in all
FAM124B	Tissue enhanced
FAM126A	Expressed in all
FAM126B	Expressed in all
FAM127A	Expressed in all
FAM127B	Expressed in all
FAM129A	Expressed in all
FAM129B	Expressed in all
FAM129C	Group enriched
FAM131A	Expressed in all
FAM131B	Tissue enriched
