#GeneName	Tissuespecficity
ACLY	Expressed in all
ACMSD	Group enriched
ACN9	Expressed in all
ACO1	Expressed in all
ACO2	Expressed in all
ACOT1	Expressed in all
ACOT12	Tissue enriched
ACOT13	Expressed in all
ACOT2	Expressed in all
ACOT4	Tissue enhanced
ACOT6	Group enriched
ACOT8	Expressed in all
ACOT9	Expressed in all
ACOX1	Expressed in all
ACOX2	Tissue enhanced
ACOX3	Expressed in all
ACOXL	Group enriched
ACP1	Expressed in all
ACP2	Expressed in all
ACP5	Expressed in all
ACP6	Expressed in all
ACPL2	Expressed in all
ACPP	Tissue enriched
ACPT	Tissue enhanced
ACR	Tissue enriched
ACRBP	Tissue enriched
ACRC	Tissue enhanced
ACRV1	Tissue enriched
ACSBG1	Tissue enhanced
ACSBG2	Tissue enriched
ACSF2	Expressed in all
ACSF3	Expressed in all
ACSL1	Expressed in all
ACSL3	Expressed in all
ACSL4	Expressed in all
ACSL5	Expressed in all
ACSL6	Tissue enhanced
ACSM1	Tissue enhanced
ACSM2A	Group enriched
ACSM2B	Group enriched
ACSM3	Tissue enhanced
ACSM5	Tissue enriched
ACSS1	Expressed in all
ACSS2	Expressed in all
ACTA1	Tissue enriched
ACTA2	Expressed in all
ACTB	Expressed in all
ACTC1	Tissue enriched
ACTG1	Expressed in all
ACTG2	Tissue enhanced
ACTL10	Tissue enriched
ACTL6A	Expressed in all
ACTL6B	Tissue enriched
ACTL7A	Tissue enriched
ACTL7B	Tissue enriched
ACTL8	Tissue enriched
ACTL9	Tissue enriched
ACTN1	Expressed in all
ACTN2	Group enriched
ACTN4	Expressed in all
ACTR10	Expressed in all
ACTR1A	Expressed in all
ACTR1B	Expressed in all
ACTR2	Expressed in all
ACTR3	Expressed in all
ACTR3B	Expressed in all
ACTR5	Expressed in all
ACTR6	Expressed in all
ACTR8	Expressed in all
ACTRT1	Tissue enriched
ACTRT2	Tissue enriched
ACTRT3	Tissue enriched
ACVR1	Expressed in all
ACVR1B	Expressed in all
ACVR1C	Tissue enriched
ACVR2A	Expressed in all
ACY1	Group enriched
ACY3	Tissue enhanced
ACYP1	Expressed in all
ACYP2	Expressed in all
ADA	Tissue enriched
ADAD1	Tissue enriched
ADAD2	Tissue enriched
ADAL	Expressed in all
ADAM10	Expressed in all
ADAM11	Tissue enhanced
ADAM12	Tissue enriched
ADAM15	Expressed in all
ADAM17	Expressed in all
ADAM18	Tissue enriched
ADAM2	Tissue enriched
ADAM20	Tissue enriched
ADAM21	Tissue enriched
ADAM22	Tissue enhanced
ADAM23	Tissue enhanced
ADAM28	Tissue enhanced
ADAM29	Tissue enriched
ADAM30	Tissue enriched
ADAM32	Tissue enriched
ADAM8	Tissue enhanced
ADAM9	Expressed in all
ADAMDEC1	Tissue enhanced
ADAMTS1	Tissue enhanced
ADAMTS10	Expressed in all
ADAMTS13	Tissue enhanced
ADAMTS14	Tissue enhanced
ADAMTS15	Tissue enhanced
ADAMTS16	Tissue enhanced
ADAMTS18	Tissue enriched
ADAMTS19	Group enriched
ADAMTS4	Tissue enhanced
ADAMTS5	Tissue enhanced
ADAMTS6	Tissue enhanced
ADAMTS8	Tissue enhanced
ADAMTSL2	Tissue enhanced
ADAMTSL4	Tissue enhanced
ADAR	Expressed in all
ADARB1	Expressed in all
ADARB2	Group enriched
ADAT1	Expressed in all
ADAT2	Expressed in all
ADC	Tissue enhanced
ADCK1	Expressed in all
ADCK2	Expressed in all
ADCK3	Tissue enriched
ADCK4	Expressed in all
ADCK5	Expressed in all
ADCY1	Tissue enriched
ADCY10	Tissue enriched
ADCY2	Tissue enhanced
ADCY3	Expressed in all
ADCY4	Expressed in all
ADCY5	Tissue enhanced
ADCY6	Expressed in all
ADCY7	Expressed in all
ADCY8	Group enriched
ADCY9	Expressed in all
ADCYAP1	Tissue enhanced
ADCYAP1R1	Tissue enhanced
ADD1	Expressed in all
ADD2	Group enriched
ADD3	Expressed in all
ADGB	Group enriched
ADH1A	Tissue enriched
ADH1B	Group enriched
ADH4	Tissue enriched
ADH5	Expressed in all
ADH6	Tissue enriched
ADH7	Tissue enriched
ADHFE1	Expressed in all
ADI1	Expressed in all
ADIG	Tissue enriched
ADIPOQ	Tissue enriched
ADIPOR1	Expressed in all
ADIPOR2	Expressed in all
ADIRF	Tissue enhanced
ADK	Expressed in all
ADM	Expressed in all
ADM2	Tissue enhanced
ADNP	Expressed in all
ADO	Expressed in all
ADORA1	Tissue enhanced
ADORA2A	Tissue enhanced
ADORA3	Tissue enhanced
ADPGK	Expressed in all
ADPRH	Expressed in all
ADPRHL1	Group enriched
ADPRHL2	Expressed in all
ADPRM	Expressed in all
ADRA1A	Tissue enhanced
ADRA1B	Tissue enhanced
ADRA1D	Tissue enhanced
ADRA2C	Tissue enhanced
ADRB1	Tissue enhanced
ADRB3	Tissue enhanced
ADRBK1	Expressed in all
ADRM1	Expressed in all
ADSL	Expressed in all
ADSS	Expressed in all
ADSSL1	Tissue enriched
ADTRP	Tissue enhanced
AEBP1	Expressed in all
AEBP2	Expressed in all
AEN	Expressed in all
AES	Expressed in all
AFAP1L2	Tissue enhanced
AFF1	Expressed in all
AFF2	Tissue enhanced
AFF4	Expressed in all
AFG3L2	Expressed in all
AFM	Tissue enriched
AFMID	Expressed in all
AFP	Group enriched
AFTPH	Expressed in all
AGA	Expressed in all
AGAP1	Expressed in all
AGAP10	Expressed in all
AGAP2	Tissue enhanced
AGAP3	Expressed in all
AGAP4	Expressed in all
AGAP5	Expressed in all
AGAP6	Expressed in all
AGAP8	Expressed in all
AGAP9	Expressed in all
AGBL1	Tissue enhanced
AGBL2	Tissue enhanced
AGBL4	Tissue enhanced
AGBL5	Tissue enriched
AGER	Tissue enriched
AGFG1	Expressed in all
AGFG2	Tissue enriched
AGGF1	Expressed in all
AGK	Expressed in all
AGL	Tissue enriched
AGMAT	Tissue enhanced
AGMO	Tissue enhanced
AGO1	Expressed in all
AGO2	Expressed in all
AGO3	Expressed in all
AGO4	Expressed in all
AGPAT1	Expressed in all
AGPAT2	Expressed in all
AGPAT3	Expressed in all
AGPAT5	Expressed in all
AGPAT6	Expressed in all
AGPAT9	Expressed in all
AGPS	Expressed in all
AGR2	Tissue enhanced
AGR3	Tissue enhanced
AGRN	Expressed in all
AGRP	Tissue enhanced
AGT	Tissue enhanced
AGTPBP1	Expressed in all
AGTR1	Tissue enhanced
AGTR2	Group enriched
AGTRAP	Expressed in all
AGXT	Tissue enriched
AGXT2	Group enriched
AHCTF1	Expressed in all
AHCY	Expressed in all
AHCYL1	Expressed in all
AHCYL2	Expressed in all
AHDC1	Expressed in all
AHI1	Expressed in all
AHNAK	Expressed in all
AHNAK2	Tissue enriched
AHR	Expressed in all
AHRR	Tissue enriched
AHSA1	Expressed in all
AHSA2	Expressed in all
AHSG	Tissue enriched
AHSP	Tissue enriched
AICDA	Group enriched
AIDA	Expressed in all
AIF1	Expressed in all
AIF1L	Tissue enhanced
AIFM1	Expressed in all
AIFM2	Expressed in all
AIFM3	Group enriched
AIG1	Expressed in all
AIM1L	Tissue enhanced
AIM2	Tissue enhanced
AIMP1	Expressed in all
AIMP2	Expressed in all
AIP	Expressed in all
AIRE	Tissue enhanced
AJAP1	Tissue enhanced
AJUBA	Tissue enhanced
AK1	Expressed in all
AK2	Expressed in all
AK3	Expressed in all
AK4	Tissue enhanced
AK5	Tissue enriched
AK7	Tissue enhanced
AK8	Tissue enhanced
AK9	Expressed in all
AKAP1	Expressed in all
AKAP10	Expressed in all
AKAP11	Expressed in all
AKAP12	Expressed in all
AKAP13	Expressed in all
AKAP14	Group enriched
