ACE	DOID:0010652
ACE	OMIM:267430
ACE	OMIM:612624
ACE	OMIM:614519
ACE1	DOID:0010652
ACE1	OMIM:267430
ACE1	OMIM:612624
ACE1	OMIM:614519
ACG1A	DOID:0080054
ACH	DOID:0004480
ACH	DOID:0011054
ACH	DOID:0001520
ACH	DOID:0009256
ACH	OMIM:146000
ACH	DOID:0050331
ACH	OMIM:162900
ACH	DOID:0013481
ACH	DOID:0013481
ACH	DOID:0005557
ACH	DOID:0004440
ACH	DOID:0002998
ACH	OMIM:602849
ACH	DOID:0002893
ACH	OMIM:610474
ACH	OMIM:612247
ACHE	OMIM:112100
ACHM1	DOID:0050817
ACHM1	DOID:0013911
ACHM2	DOID:0013911
ACHM3	DOID:0050817
ACHM3	DOID:0013911
ACHM4	DOID:0013911
ACHM6	DOID:0013911
ACHM6	DOID:0050795
ACHP	OMIM:135750
ACHP	DOID:0001148
ACHP	DOID:0011193
ACHP	OMIM:188740
ACHP	DOID:0050603
ACHRB	DOID:0003635
ACHRB	DOID:0003635
ACHRD	OMIM:253290
ACHRD	DOID:0003635
ACHRD	DOID:0003635
ACHRG	OMIM:253290
ACHRG	OMIM:265000
ACLS	DOID:0009250
ACLS	DOID:0050779
ACLSD	OMIM:615961
ACMICD	OMIM:102370
ACMICD	OMIM:129600
ACMICD	DOID:0014323
ACMICD	OMIM:184900
ACMICD	OMIM:604308
ACMICD	DOID:0050475
ACMICD	OMIM:614185
ACN9	OMIM:115080
ACO1	DOID:0005419
ACO2	DOID:0005419
ACO2	DOID:0050883
ACO2	OMIM:616289
ACOX	DOID:0050797
ACOX1	DOID:0050797
ACP2	OMIM:200950
ACP33	DOID:0060245
ACP5	OMIM:271550
ACP5	OMIM:607944
ACPHD	OMIM:616192
ACRDYS1	DOID:0014669
ACRDYS1	DOID:0050471
ACRDYS1	DOID:0003969
ACRDYS1	DOID:0060091
ACRDYS1	DOID:0060280
ACRDYS2	OMIM:606799
ACRDYS2	DOID:0014669
ACS3	DOID:0014768
ACS3	DOID:0002340
ACS3	OMIM:180750
ACS4	DOID:0050776
ACSF3	OMIM:614265
ACSL4	DOID:0005419
ACSL4	DOID:0050776
ACSL4	DOID:0012849
ACSL5	DOID:0005419
ACSTD1	OMIM:613217
ACSTD1	DOID:0003883
ACT1	DOID:0008893
ACT1	OMIM:615527
ACT35	OMIM:615593
ACTA1	DOID:0012930
ACTA1	DOID:0003191
ACTA1	OMIM:255300
ACTA1	OMIM:255310
ACTA2	DOID:0005419
ACTA2	DOID:0013099
ACTA2	DOID:0006713
ACTA2	DOID:0014004
ACTA2	OMIM:613834
ACTA2	DOID:0013099
ACTA3	OMIM:155310
ACTB	DOID:0060229
ACTB	OMIM:607371
ACTC1	DOID:0012930
ACTC1	DOID:0011984
ACTC1	DOID:0001882
ACTC1	DOID:0012930
ACTFS	OMIM:614401
ACTG1	DOID:0050564
ACTG1	DOID:0060229
ACTG2	OMIM:155310
ACTG2	OMIM:249210
ACTL7B	DOID:0005419
ACTN1	DOID:0005419
ACTN1	OMIM:615193
ACTN2	OMIM:115080
ACTN2	DOID:0012930
ACTN2	DOID:0012930
ACTN3	DOID:0000633
ACTN4	DOID:0001312
ACTR3C	DOID:0012849
ACTRIIB	DOID:0050545
ACTSA	DOID:0014004
ACTSA	OMIM:613834
ACTSA	DOID:0013099
ACUG	DOID:0050678
ACUG	DOID:0008577
ACUG	DOID:0050589
ACUG	OMIM:607507
ACUG	DOID:0011335
ACVR1	DOID:0013374
ACVR1	OMIM:140500
ACVR1	OMIM:234750
ACVR2B	DOID:0050545
ACVRL1	DOID:0014557
ACVRL1	DOID:0001270
ACVRLK1	DOID:0001270
ACVRLK2	DOID:0013374
ACVRLK3	DOID:0050787
ACVRLK3	OMIM:610069
ACY1	OMIM:609924
ACY1D	OMIM:609924
AD1	DOID:0010652
AD1	DOID:0009246
AD10	DOID:0010652
AD18	DOID:0060258
AD18	DOID:0010652
AD19	DOID:0010652
AD2	DOID:0010652
AD2	DOID:0004423
AD2	DOID:0010871
AD2	OMIM:611771
AD3	DOID:0011870
AD3	DOID:0009255
AD3	DOID:0010652
AD3	DOID:0012930
AD3	DOID:0002280
AD4	DOID:0010652
AD4	DOID:0012930
AD4BP	DOID:0005426
AD4BP	DOID:0014448
AD4BP	DOID:0014227
AD5	DOID:0010652
AD6	DOID:0010652
AD8	DOID:0010652
AD9	DOID:0010652
ADA	DOID:0005810
ADA	DOID:0005419
ADA	DOID:0012849
ADAM10	DOID:0010652
ADAM10	OMIM:150900
ADAM10	DOID:0060256
ADAM10	DOID:0060258
ADAM10	DOID:0010652
ADAM12	DOID:0008398
ADAM17	OMIM:614328
ADAM22	DOID:0012849
ADAM33	DOID:0012849
ADAM7	DOID:0005419
ADAM9	DOID:0050572
ADAM9	DOID:0010584
ADAM9	DOID:0010584
ADAM9	OMIM:604011
ADAM9	DOID:0050572
ADAMTS1	DOID:0005419
ADAMTS10	DOID:0005419
ADAMTS10	DOID:0050475
ADAMTS10	DOID:0050475
ADAMTS13	OMIM:114010
ADAMTS13	OMIM:274150
ADAMTS13	OMIM:601883
ADAMTS13	OMIM:604134
ADAMTS17	DOID:0005419
ADAMTS17	DOID:0050475
ADAMTS18	DOID:0050572
ADAMTS18	DOID:0010584
ADAMTS18	OMIM:187350
ADAMTS18	DOID:0010584
ADAMTS18	OMIM:604011
ADAMTS18	OMIM:615458
ADAMTS2	OMIM:225410
ADAMTS3	DOID:0005419
ADAMTS6	DOID:0005419
ADAMTSL2	OMIM:231050
ADAMTSL3	DOID:0005419
ADAMTSL4	OMIM:225100
ADAMTSL4	OMIM:225200
ADAR	DOID:0060257
ADAR	DOID:0050629
ADAR	DOID:0050629
ADAT3	OMIM:615286
ADCAD1	DOID:0003393
ADCAD2	DOID:0003393
ADCADN	OMIM:604121
ADCADN	DOID:0050548
ADCK3	DOID:0050730
ADCK3	DOID:0001441
ADCK3	DOID:0050730
ADCK4	DOID:0001184
ADCL2	DOID:0003144
ADCL2	DOID:0010871
ADCL2	DOID:0003144
ADCME	OMIM:2
ADCY1	DOID:0050565
ADCY10	OMIM:143870
ADCY3	OMIM:606641
ADCY5	DOID:0012849
ADCY5	OMIM:606703
ADCY6	OMIM:108110
ADCY6	OMIM:616287
ADCY9	DOID:0005419
ADCYAP1	DOID:0009007
ADD1	DOID:0001520
ADD1	DOID:0009256
ADD1	DOID:0010825
ADD1	DOID:0009849
ADD1	DOID:0010534
ADDH	OMIM:607694
ADERM	OMIM:136000
ADH1B	DOID:0050741
ADH1B	DOID:0003748
ADH1B	DOID:0006364
ADH1B	DOID:0002394
ADH1B	DOID:0004905
ADH1C	DOID:0050741
ADH1C	DOID:0001612
ADH1C	DOID:0014330
ADH1C	DOID:0004905
ADH2	DOID:0050741
ADH3	DOID:0050741
ADH3	DOID:0014330
ADHAPS	DOID:0002580
ADHD1	DOID:0001094
ADHD2	DOID:0001094
ADHD3	DOID:0001094
ADHD4	DOID:0001094
ADHD7	DOID:0001595
ADHD7	DOID:0001094
ADHR	DOID:0050445
ADHR	OMIM:211900
ADHR	OMIM:300539
ADHR	DOID:0012387
ADIPOQ	DOID:0006713
ADIPOQ	DOID:0009970
ADIPOQ	DOID:0014221
ADIPOQ	OMIM:612556
ADIPQTL1	OMIM:612556
ADK	DOID:0012849
ADK	OMIM:250850
ADK	DOID:0050544
ADL	DOID:0011724
ADLD	OMIM:169500
ADLTE	OMIM:600512
ADMCKD2	DOID:0060062
ADMCKD2	OMIM:603860
ADMCKD2	OMIM:609886
ADMD	OMIM:133190
ADMD	DOID:0050817
ADMD	OMIM:614457
ADMFD	OMIM:613385
ADMIO	DOID:0003261
ADMIO	OMIM:615952
ADMLX	OMIM:308700
ADN	OMIM:613912
ADNP	DOID:0012849
ADNP	DOID:0060307
ADNP1	DOID:0060307
ADPEAF	OMIM:600512
ADRB1	OMIM:115080
ADRB1	DOID:0010825
ADRB1	OMIM:607276
ADRB1R	OMIM:607276
ADRB2	DOID:0010652
ADRB2	OMIM:115080
ADRB2	DOID:0002841
ADRB2	DOID:0009970
ADRB2	DOID:0003310
ADRB2RL1	DOID:0009620
ADRB3	DOID:0009970
ADRB3	DOID:0014221
ADRB3	OMIM:606641
ADSD	DOID:0004751
ADSD	DOID:0060280
ADSL	OMIM:103050
ADSL	DOID:0012849
ADTB3A	DOID:0003753
ADWH	OMIM:194300
ADWH	DOID:0004535
ADWH	OMIM:614929
AE1	OMIM:110500
AE1	OMIM:112010
AE1	OMIM:112050
AE1	OMIM:179800
AE1	OMIM:601550
AE1	OMIM:601551
AE1	DOID:0012365
AE1	OMIM:611590
AE1	DOID:0012971
AEACEI	OMIM:300909
AEMK	DOID:0000963
AF10	DOID:0009119
AF15Q14	DOID:0010907
AFA1	OMIM:1
AFD1	DOID:0005768
AFF2	DOID:0012849
AFF2	OMIM:309548
AFF4	DOID:0009970
AFG3L2	DOID:0000891
AFG3L2	DOID:0001441
AFG3L2	OMIM:614487
AFND	DOID:0060342
AFP	OMIM:104150
AFP	OMIM:615969
AFP	OMIM:615970
AFPD	OMIM:615969
AFPD	OMIM:615970
AGA	DOID:0050461
AGA2	OMIM:2
AGA3	OMIM:3
AGAT	DOID:0050712
AGBL1	DOID:0011555
AGC1	DOID:0000084
AGC1	OMIM:608361
AGC1	OMIM:612813
AGER	DOID:0010652
AGER	DOID:0011054
AGER	DOID:0002394
AGGF1	DOID:0002926
AGK	DOID:0012849
AGK	OMIM:212350
AGK	OMIM:614691
AGL	DOID:0002748
AGM1	DOID:0002583
AGM1	OMIM:615816
AGM2	DOID:0002583
AGM4	DOID:0002583
AGM5	DOID:0002583
AGM6	DOID:0002583
AGM7	OMIM:269880
AGM7	DOID:0002583
AGM7	OMIM:616005
AGMX1	DOID:0014179
AGMX1	OMIM:307200
AGO1	DOID:0012849
AGO61	DOID:0050588
AGOTC	DOID:0060341
AGPAT2	DOID:0050585
AGPS	DOID:0002580
AGPS	OMIM:603051
AGRN	OMIM:615120
AGRP	DOID:0009970
AGRT	DOID:0009970
AGS	DOID:0009245
AGS	DOID:0006419
AGS1	DOID:0009074
AGS1	OMIM:192315
AGS1	DOID:0050629
AGS1	OMIM:610448
AGS2	DOID:0002736
AGS2	DOID:0050629
AGS2	DOID:0009245
AGS3	DOID:0050629
AGS4	DOID:0050629
AGS5	DOID:0050629
AGS5	OMIM:614415
AGS6	DOID:0060257
AGS6	DOID:0050629
AGS7	OMIM:182250
AGS7	DOID:0050629
AGT	OMIM:109100
AGT	DOID:0001612
AGT	DOID:0010825
AGT	DOID:0010591
AGT	OMIM:267430
AGT	DOID:0006713
AGTIL	OMIM:611742
AGTR1	OMIM:115080
AGTR1	DOID:0010825
AGTR1	OMIM:267430
AGTR1A	DOID:0010825
AGTR1A	OMIM:267430
AGTR2	DOID:0012849
AGXT	OMIM:259900
AGXT2	OMIM:210100
AGXT2L2	OMIM:615011
AHC	DOID:0014448
AHC	OMIM:300200
AHC2	OMIM:128235
AHC2	OMIM:601338
AHC2	DOID:0050635
AHCY	OMIM:180960
AHCY	OMIM:250850
AHCY	DOID:0050544
AHD	DOID:0009245
AHD	DOID:0006419
AHDC1	DOID:0005419
AHDC1	OMIM:615829
AHI1	DOID:0014791
AHI1	DOID:0050777
AHI1	DOID:0050777
AHMIO2	DOID:0050642
AHNAK2	DOID:0012849
AHO	DOID:0006255
AHO	DOID:0080053
AHO	OMIM:166350
AHO	OMIM:219080
AHO	DOID:0004184
AHO	DOID:0004184
AHO	DOID:0004183
AHO3	OMIM:600430
AHRR	DOID:0012849
AHRR	OMIM:607306
AHSG	DOID:0009970
AHUS1	DOID:0002569
AHUS1	DOID:0012554
AHUS1	OMIM:609814
AHUS1	DOID:0010871
AHUS2	DOID:0012554
AHUS3	DOID:0050419
AHUS3	DOID:0012554
AHUS3	DOID:0010871
AHUS4	DOID:0012554
AHUS4	DOID:0010871
AHUS4	OMIM:615561
AHUS5	DOID:0010871
AHUS5	DOID:0012554
AHUS5	DOID:0008354
AHUS6	DOID:0012554
AHUS6	OMIM:614486
AHX	DOID:0014448
AHX	OMIM:300200
AI1A	DOID:0002187
AI1A	OMIM:226650
AI1A	OMIM:226700
AI1C	DOID:0002187
AI1C	DOID:0002187
AI1E	DOID:0002187
AI1F	OMIM:616270
AI1G	OMIM:204690
AI1H	OMIM:616221
AI2A1	DOID:0002187
AI2A2	DOID:0002187
AI2A3	DOID:0002187
AI2A4	DOID:0002187
AI2A5	OMIM:210750
AI2A5	DOID:0002187
AI3	DOID:0002187
AI4	DOID:0002187
AI4	OMIM:190320
AICAR	OMIM:608688
AICDA	OMIM:308230
AICDA	OMIM:605258
AID	OMIM:605258
AIE2	DOID:0014227
AIED	DOID:0050534
AIED	DOID:0050572
AIED	DOID:0050630
AIF	DOID:0060286
AIF	DOID:0050542
AIFEC	OMIM:616050
AIFEC	OMIM:616115
AIFM1	DOID:0010908
AIFM1	DOID:0060286
AIFM1	DOID:0050542
AIGFS	OMIM:204690
AIH1	DOID:0002187
AIH2	DOID:0002187
AIH2	DOID:0002187
AIID	DOID:0009744
AIID	OMIM:304790
AIK	DOID:0001520
AIK	DOID:0009256
AILIM	DOID:0012177
AIM1	OMIM:227240
AIM1	DOID:0050632
AIMAH2	OMIM:615954
AIMP1	OMIM:260600
AIP	DOID:0006255
AIP	DOID:0007004
AIP	DOID:0005394
AIP4	OMIM:613385
AIPL1	DOID:0050572
AIPL1	DOID:0010584
AIPL1	DOID:0014791
AIPL1	DOID:0010584
AIPL1	OMIM:604011
AIPL1	DOID:0014791
AIRE	DOID:0000986
AIRE	OMIM:109100
AIRE	DOID:0007148
AIRE	DOID:0013774
AIRE	OMIM:240300
AIS1	OMIM:607836
AIS6	OMIM:613551
AITD3	OMIM:274700
AITD3	OMIM:608175
AK1	DOID:0000583
AK2	OMIM:242880
AK2	DOID:0060020
AK9	DOID:0005419
AKAP10	DOID:0001612
AKAP10	DOID:0001520
AKAP10	DOID:0009256
AKAP10	OMIM:115080
AKAP10	DOID:0001324
AKAP13	DOID:0001612
AKAP13	DOID:0012849
AKAP450	DOID:0002843
AKAP9	DOID:0001612
AKAP9	DOID:0001520
AKAP9	DOID:0009256
AKAP9	OMIM:115000
AKAP9	OMIM:115080
AKAP9	DOID:0005419
AKAP9	DOID:0012849
AKAP9	DOID:0009007
AKAP9	DOID:0002843
AKR1C2	DOID:0014448
AKR1C3	DOID:0001324
AKR1C4	DOID:0001520
AKR1C4	DOID:0009256
AKR1C4	DOID:0014448
AKR1D1	DOID:0050674
AKR7A3	DOID:0001324
AKT1	DOID:0001612
AKT1	DOID:0001520
AKT1	DOID:0009256
AKT1	DOID:0002394
AKT1	DOID:0013482
AKT1	DOID:0005419
AKT1	DOID:0006457
AKT1	DOID:0006457
AKT2	DOID:0009352
AKT2	OMIM:240900
AKT3	OMIM:155350
AKT3	OMIM:248000
AKT3	OMIM:602501
AKT3	OMIM:615937
AKTIP	DOID:0005419
AKU	DOID:0009270
ALAD	DOID:0003890
ALAD	DOID:0013271
ALAD	DOID:0003133
ALADH	DOID:0003133
ALAS1	DOID:0005419
ALAS2	DOID:0013270
ALAS2	DOID:0013271
ALAS2	DOID:0060063
ALAS2	DOID:0013270
ALAZS	OMIM:615071
ALB	OMIM:103600
ALB	OMIM:615999
ALB	OMIM:616000
ALCAM	DOID:0005419
ALD	DOID:0010588
ALDD	OMIM:256040
ALDH10	DOID:0014501
ALDH16A1	DOID:0005419
ALDH18A1	DOID:0003144
ALDH1A2	DOID:0006419
ALDH1A3	OMIM:615113
ALDH1L2	DOID:0005419
ALDH2	DOID:0050741
ALDH2	DOID:0003748
ALDH2	DOID:0001324
ALDH2	DOID:0004905
ALDH2	OMIM:610251
ALDH3A2	DOID:0014501
