ID	NAME
0	Y105E8A.16
0	F28C6.7
0	Y45F10D.12
0	W09C5.6
0	T05E11.1
0	R151.3
0	F25H2.10
0	F13B10.2
0	T01C3.6
0	T05F1.3
0	E04A4.8
0	R11D1.8
0	C09D4.5
0	C42C1.14
0	C16A3.9
0	F54E7.2
0	D1007.12
0	F36A2.6
0	C27A2.2
0	K02B2.5
0	C14B9.7
0	F54C9.5
0	D1007.6
0	B0336.10
0	F37C12.4
0	C53H9.1
0	F53A3.3
0	ZK652.4
0	Y71A12B.1
0	Y37E3.7
0	F13B10.2
0	C49H3.11
0	F40F11.1
0	M01F1.2
0	T22F3.4
0	F42C5.8
0	T24B8.1
0	F56F3.5
0	F10B5.1
0	F53G12.10
0	Y24D9A.4
0	C23G10.3
0	Y106G6H.3
0	B0250.1
0	F28C6.7
0	R13A5.8
0	F37C12.9
0	Y37E3.8
0	C32E8.2
0	B0393.1
0	F40F8.10
0	ZC434.2
0	C06B8.8
0	B0041.4
0	K11H12.2
0	C37A2.7
0	F56E10.4
0	F10E7.7
0	F28D1.7
0	C04F12.4
0	ZC434.4
0	F39B2.6
0	Y48B6A.2
0	JC8.3
0	Y43B11AR.4
0	F55D10.2
0	Y71F9AL.13
0	Y48G8AL.8
0	Y57G11C.16
1	C02F5.9
1	F23F12.6
1	Y110A7A.14
1	Y49E10.1
1	F35G12.12
1	ZK20.5
1	F23F1.8
1	ZK945.2
1	F29G9.5
1	K05C4.1
1	C15H11.7
1	C36B1.4
1	F40G9.17
1	R12E2.3
1	D1054.2
1	Y38A8.2
1	C30C11.2
1	F57B9.10
1	C44B7.1
1	K07D4.3
1	T20F5.2
1	NA
1	CD4.6
1	C56G2.7
1	NA
1	C47B2.4
1	K08D12.1
1	F25H2.9
1	C36B1.4
1	B0205.3
1	F39H11.5
1	C52E4.4
1	F49C12.8
1	F56H1.4
1	C23G10.4
1	T22D1.9
1	T06D8.8
1	F10G7.8
1	K05C4.1
2	NA
2	F25H5.3
2	NA
2	NA
2	F42G4.3
2	H14A12.2
2	Y55B1AR.1
2	NA
2	ZK418.9
2	C18A3.5
2	T07C4.9
2	B0286.3
2	NA
2	F26H9.5
2	F59B8.2
